Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
EUCA3,02/01/2020,62.50,62.50,60.00,62.50,EUCATEX
EUCA3,03/01/2020,55.00,59.00,54.98,55.60,EUCATEX
EUCA3,06/01/2020,53.60,53.60,43.00,50.00,EUCATEX
EUCA3,07/01/2020,50.10,50.10,50.00,50.00,EUCATEX
EUCA3,08/01/2020,49.90,50.00,49.90,50.00,EUCATEX
EUCA3,09/01/2020,44.99,49.96,41.50,41.50,EUCATEX
EUCA3,10/01/2020,41.75,41.75,34.10,36.99,EUCATEX
EUCA3,13/01/2020,32.63,33.00,30.00,30.00,EUCATEX
EUCA3,14/01/2020,28.00,28.00,21.40,25.00,EUCATEX
EUCA3,15/01/2020,25.20,25.20,23.01,24.36,EUCATEX
EUCA3,16/01/2020,24.37,26.00,24.37,25.22,EUCATEX
EUCA3,17/01/2020,25.00,25.00,24.53,24.98,EUCATEX
EUCA3,20/01/2020,24.50,25.45,23.10,24.10,EUCATEX
EUCA3,21/01/2020,24.10,24.10,22.80,22.80,EUCATEX
EUCA3,22/01/2020,22.40,23.10,21.40,23.10,EUCATEX
EUCA3,23/01/2020,23.40,23.50,23.00,23.50,EUCATEX
EUCA3,24/01/2020,23.50,23.50,22.75,23.45,EUCATEX
EUCA3,27/01/2020,21.15,23.00,20.99,23.00,EUCATEX
EUCA3,28/01/2020,22.99,23.00,22.90,23.00,EUCATEX
EUCA3,29/01/2020,22.02,22.10,21.50,22.10,EUCATEX
EUCA3,30/01/2020,21.10,21.50,20.50,21.00,EUCATEX
EUCA3,31/01/2020,21.00,21.00,19.50,20.15,EUCATEX
EUCA3,03/02/2020,20.15,24.16,20.10,23.99,EUCATEX
EUCA3,04/02/2020,24.50,30.50,22.99,23.70,EUCATEX
EUCA3,05/02/2020,23.70,25.90,23.03,24.13,EUCATEX
EUCA3,06/02/2020,24.50,24.99,22.99,23.00,EUCATEX
EUCA3,07/02/2020,24.35,24.35,21.80,22.50,EUCATEX
EUCA3,10/02/2020,21.12,22.99,20.31,20.64,EUCATEX
EUCA3,11/02/2020,20.70,20.93,19.70,20.93,EUCATEX
EUCA3,12/02/2020,20.90,20.90,20.90,20.90,EUCATEX
EUCA3,13/02/2020,20.89,20.89,20.00,20.50,EUCATEX
EUCA3,14/02/2020,20.93,20.93,20.01,20.01,EUCATEX
EUCA3,17/02/2020,20.02,20.02,19.00,19.30,EUCATEX
EUCA3,18/02/2020,19.42,19.45,18.10,18.50,EUCATEX
EUCA3,19/02/2020,18.50,18.50,17.15,18.15,EUCATEX
EUCA3,20/02/2020,17.35,23.50,17.35,23.50,EUCATEX
EUCA3,21/02/2020,22.50,23.00,19.50,20.00,EUCATEX
EUCA3,26/02/2020,18.03,19.35,18.00,18.20,EUCATEX
EUCA3,27/02/2020,17.05,18.75,17.05,18.01,EUCATEX
EUCA3,28/02/2020,17.35,17.78,16.14,16.35,EUCATEX
EUCA3,02/03/2020,16.61,20.00,16.40,17.70,EUCATEX
EUCA3,03/03/2020,18.00,18.99,17.20,17.25,EUCATEX
EUCA3,04/03/2020,17.85,18.00,17.25,17.30,EUCATEX
EUCA3,05/03/2020,17.31,17.31,16.50,16.97,EUCATEX
EUCA3,06/03/2020,16.00,16.50,15.20,15.20,EUCATEX
EUCA3,09/03/2020,14.11,14.12,13.91,13.91,EUCATEX
EUCA3,10/03/2020,13.90,15.15,13.00,15.15,EUCATEX
EUCA3,11/03/2020,15.02,15.19,13.50,13.60,EUCATEX
EUCA3,12/03/2020,14.50,14.50,11.00,14.26,EUCATEX
EUCA3,13/03/2020,16.70,16.70,14.00,15.29,EUCATEX
EUCA3,16/03/2020,11.00,13.88,11.00,13.70,EUCATEX
EUCA3,17/03/2020,13.70,13.77,13.48,13.48,EUCATEX
EUCA3,18/03/2020,11.23,13.00,10.50,11.50,EUCATEX
EUCA3,19/03/2020,11.49,11.75,11.11,11.50,EUCATEX
EUCA3,20/03/2020,11.50,13.50,11.50,13.50,EUCATEX
EUCA3,23/03/2020,11.48,11.48,11.47,11.47,EUCATEX
EUCA3,24/03/2020,11.70,12.49,11.70,12.29,EUCATEX
EUCA3,25/03/2020,12.35,14.00,12.35,13.00,EUCATEX
EUCA3,26/03/2020,13.00,13.60,13.00,13.40,EUCATEX
EUCA3,27/03/2020,14.00,14.00,13.00,14.00,EUCATEX
EUCA3,30/03/2020,13.10,13.11,12.80,12.80,EUCATEX
EUCA3,31/03/2020,12.80,12.80,12.20,12.20,EUCATEX
EUCA3,01/04/2020,12.20,12.20,12.20,12.20,EUCATEX
EUCA3,02/04/2020,12.20,12.20,12.01,12.01,EUCATEX
