Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
EVEN3,02/01/2020,15.42,16.42,15.40,16.25,EVEN
EVEN3,03/01/2020,16.10,16.36,15.83,16.16,EVEN
EVEN3,06/01/2020,16.15,16.39,15.76,16.22,EVEN
EVEN3,07/01/2020,16.23,16.83,16.20,16.75,EVEN
EVEN3,08/01/2020,16.59,16.73,16.27,16.54,EVEN
EVEN3,09/01/2020,16.68,16.69,16.27,16.50,EVEN
EVEN3,10/01/2020,16.73,16.73,16.15,16.49,EVEN
EVEN3,13/01/2020,16.69,16.94,16.49,16.80,EVEN
EVEN3,14/01/2020,16.78,17.62,16.66,17.48,EVEN
EVEN3,15/01/2020,17.64,17.64,16.72,16.90,EVEN
EVEN3,16/01/2020,17.11,17.17,16.66,16.89,EVEN
EVEN3,17/01/2020,17.00,17.10,16.82,17.05,EVEN
EVEN3,20/01/2020,17.06,17.63,16.99,17.60,EVEN
EVEN3,21/01/2020,17.80,18.80,17.62,18.61,EVEN
EVEN3,22/01/2020,18.62,18.89,18.15,18.85,EVEN
EVEN3,23/01/2020,18.85,19.35,18.46,19.21,EVEN
EVEN3,24/01/2020,19.17,19.17,18.15,18.15,EVEN
EVEN3,27/01/2020,17.56,17.97,16.95,17.03,EVEN
EVEN3,28/01/2020,17.16,17.77,17.03,17.14,EVEN
EVEN3,29/01/2020,17.26,17.80,17.12,17.45,EVEN
EVEN3,30/01/2020,17.30,17.30,16.54,17.00,EVEN
EVEN3,31/01/2020,17.05,17.16,16.59,16.73,EVEN
EVEN3,03/02/2020,16.66,17.26,16.62,17.02,EVEN
EVEN3,04/02/2020,17.40,18.08,17.40,17.48,EVEN
EVEN3,05/02/2020,17.66,18.04,17.36,17.78,EVEN
EVEN3,06/02/2020,17.94,18.13,17.12,17.20,EVEN
EVEN3,07/02/2020,17.15,17.33,16.52,16.72,EVEN
EVEN3,10/02/2020,16.63,16.93,15.73,15.80,EVEN
EVEN3,11/02/2020,16.00,16.64,15.97,16.39,EVEN
EVEN3,12/02/2020,16.51,16.77,16.21,16.43,EVEN
EVEN3,13/02/2020,16.19,16.47,15.76,16.13,EVEN
EVEN3,14/02/2020,16.25,16.35,15.81,15.85,EVEN
EVEN3,17/02/2020,15.90,16.26,15.76,16.02,EVEN
EVEN3,18/02/2020,15.97,16.17,15.53,15.88,EVEN
EVEN3,19/02/2020,16.00,16.66,15.94,16.62,EVEN
EVEN3,20/02/2020,16.62,16.62,15.77,15.95,EVEN
EVEN3,21/02/2020,15.76,16.16,15.62,15.66,EVEN
EVEN3,26/02/2020,14.82,14.98,14.36,14.66,EVEN
EVEN3,27/02/2020,14.24,15.05,13.66,14.31,EVEN
EVEN3,28/02/2020,14.19,14.41,13.45,14.34,EVEN
EVEN3,02/03/2020,14.34,14.84,14.19,14.29,EVEN
EVEN3,03/03/2020,14.40,15.20,14.11,14.32,EVEN
EVEN3,04/03/2020,14.60,15.05,14.05,14.43,EVEN
EVEN3,05/03/2020,14.36,14.43,12.97,13.50,EVEN
EVEN3,06/03/2020,12.60,13.13,12.49,12.66,EVEN
EVEN3,09/03/2020,11.54,11.91,10.54,11.00,EVEN
EVEN3,10/03/2020,11.60,12.23,11.18,11.90,EVEN
EVEN3,11/03/2020,11.79,11.86,10.19,11.09,EVEN
EVEN3,12/03/2020,9.61,9.64,8.52,9.36,EVEN
EVEN3,13/03/2020,10.16,11.55,9.67,11.03,EVEN
EVEN3,16/03/2020,9.69,9.81,8.70,8.84,EVEN
EVEN3,17/03/2020,9.03,9.37,8.56,9.00,EVEN
EVEN3,18/03/2020,8.50,8.50,6.39,6.51,EVEN
EVEN3,19/03/2020,6.37,7.50,5.70,7.39,EVEN
EVEN3,20/03/2020,7.80,8.29,6.57,6.93,EVEN
EVEN3,23/03/2020,6.75,6.93,5.60,5.77,EVEN
EVEN3,24/03/2020,6.74,7.35,6.22,7.08,EVEN
EVEN3,25/03/2020,7.15,7.63,6.81,7.55,EVEN
EVEN3,26/03/2020,7.51,8.10,7.21,7.60,EVEN
EVEN3,27/03/2020,7.26,7.40,6.84,7.06,EVEN
EVEN3,30/03/2020,7.14,7.50,6.72,6.92,EVEN
EVEN3,31/03/2020,7.15,7.20,6.11,6.11,EVEN
EVEN3,01/04/2020,5.88,5.88,5.32,5.55,EVEN
EVEN3,02/04/2020,5.74,5.78,5.20,5.31,EVEN
EVEN3,03/04/2020,5.25,5.45,5.09,5.45,EVEN
EVEN3,06/04/2020,5.72,5.90,5.41,5.46,EVEN
EVEN3,07/04/2020,5.81,6.13,5.67,5.70,EVEN
EVEN3,08/04/2020,5.80,6.40,5.60,6.20,EVEN
EVEN3,09/04/2020,6.33,6.66,6.18,6.35,EVEN
EVEN3,13/04/2020,6.30,6.50,6.05,6.32,EVEN
EVEN3,14/04/2020,6.53,6.89,6.30,6.30,EVEN
EVEN3,15/04/2020,6.09,6.48,6.00,6.35,EVEN
EVEN3,16/04/2020,6.42,6.69,6.26,6.32,EVEN
EVEN3,17/04/2020,6.50,6.63,6.33,6.55,EVEN
EVEN3,20/04/2020,6.40,6.95,6.32,6.87,EVEN
EVEN3,22/04/2020,6.96,7.35,6.85,7.23,EVEN
EVEN3,23/04/2020,7.35,7.65,6.92,7.36,EVEN
EVEN3,24/04/2020,7.21,7.44,6.13,6.22,EVEN
EVEN3,27/04/2020,6.38,6.74,6.29,6.53,EVEN
EVEN3,28/04/2020,6.80,7.26,6.71,7.26,EVEN
EVEN3,29/04/2020,7.43,7.57,7.14,7.22,EVEN
EVEN3,30/04/2020,7.04,7.18,6.74,6.74,EVEN
EVEN3,04/05/2020,6.40,6.56,6.20,6.29,EVEN
EVEN3,05/05/2020,6.45,6.80,6.43,6.61,EVEN
EVEN3,06/05/2020,6.61,6.77,6.37,6.48,EVEN
EVEN3,07/05/2020,6.58,6.60,5.97,5.97,EVEN
EVEN3,08/05/2020,6.06,6.07,5.82,5.92,EVEN
EVEN3,11/05/2020,5.83,5.87,5.65,5.71,EVEN
EVEN3,12/05/2020,5.72,5.96,5.64,5.69,EVEN
EVEN3,13/05/2020,5.70,5.71,5.20,5.27,EVEN
