Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
FESA4,02/01/2020,20.18,20.18,19.49,19.79,FERBASA
FESA4,03/01/2020,19.59,19.98,19.56,19.91,FERBASA
FESA4,06/01/2020,19.90,19.90,19.56,19.62,FERBASA
FESA4,07/01/2020,19.72,19.78,19.29,19.69,FERBASA
FESA4,08/01/2020,19.70,19.97,19.48,19.89,FERBASA
FESA4,09/01/2020,19.91,19.95,19.51,19.51,FERBASA
FESA4,10/01/2020,19.69,20.16,19.49,19.86,FERBASA
FESA4,13/01/2020,20.03,20.11,19.76,20.07,FERBASA
FESA4,14/01/2020,20.10,20.47,20.07,20.40,FERBASA
FESA4,15/01/2020,20.42,21.16,20.40,21.00,FERBASA
FESA4,16/01/2020,21.10,21.70,21.10,21.48,FERBASA
FESA4,17/01/2020,21.56,21.87,21.52,21.80,FERBASA
FESA4,20/01/2020,21.80,21.96,21.60,21.85,FERBASA
FESA4,21/01/2020,21.79,21.97,21.61,21.69,FERBASA
FESA4,22/01/2020,21.80,21.98,21.69,21.91,FERBASA
FESA4,23/01/2020,21.91,21.96,21.33,21.70,FERBASA
FESA4,24/01/2020,21.85,21.90,21.27,21.48,FERBASA
FESA4,27/01/2020,21.19,21.19,20.60,20.60,FERBASA
FESA4,28/01/2020,20.63,20.88,20.50,20.80,FERBASA
FESA4,29/01/2020,20.95,21.23,20.07,20.35,FERBASA
FESA4,30/01/2020,20.00,20.01,19.53,19.88,FERBASA
FESA4,31/01/2020,19.82,19.88,19.41,19.50,FERBASA
FESA4,03/02/2020,19.51,19.80,19.36,19.80,FERBASA
FESA4,04/02/2020,19.95,20.22,19.62,19.71,FERBASA
FESA4,05/02/2020,20.01,20.01,19.71,19.90,FERBASA
FESA4,06/02/2020,20.00,20.00,19.57,19.78,FERBASA
FESA4,07/02/2020,19.77,19.77,19.25,19.25,FERBASA
FESA4,10/02/2020,19.26,19.34,18.76,18.76,FERBASA
FESA4,11/02/2020,18.83,19.43,18.83,19.43,FERBASA
FESA4,12/02/2020,19.43,19.82,19.42,19.82,FERBASA
FESA4,13/02/2020,19.67,19.80,19.30,19.80,FERBASA
FESA4,14/02/2020,19.90,19.92,19.54,19.71,FERBASA
FESA4,17/02/2020,19.62,19.92,19.62,19.84,FERBASA
FESA4,18/02/2020,19.70,20.94,19.66,20.70,FERBASA
FESA4,19/02/2020,20.80,20.83,20.15,20.18,FERBASA
FESA4,20/02/2020,20.22,20.33,20.01,20.20,FERBASA
FESA4,21/02/2020,20.14,20.15,19.73,20.15,FERBASA
FESA4,26/02/2020,19.25,19.25,18.74,18.80,FERBASA
FESA4,27/02/2020,18.51,18.89,18.21,18.21,FERBASA
FESA4,28/02/2020,18.05,18.13,17.54,17.84,FERBASA
FESA4,02/03/2020,17.95,18.40,17.87,18.40,FERBASA
FESA4,03/03/2020,18.51,19.09,17.96,18.05,FERBASA
FESA4,04/03/2020,17.70,18.14,17.11,18.05,FERBASA
FESA4,05/03/2020,17.74,17.94,16.96,17.15,FERBASA
FESA4,06/03/2020,16.76,16.94,16.05,16.35,FERBASA
FESA4,09/03/2020,15.49,15.80,14.53,14.90,FERBASA
FESA4,10/03/2020,15.85,15.90,14.81,15.70,FERBASA
FESA4,11/03/2020,15.52,15.52,13.86,14.30,FERBASA
FESA4,12/03/2020,13.09,13.69,12.67,13.19,FERBASA
FESA4,13/03/2020,14.31,14.54,13.05,14.24,FERBASA
FESA4,16/03/2020,12.61,13.50,12.32,13.29,FERBASA
FESA4,17/03/2020,13.37,14.10,12.73,12.97,FERBASA
FESA4,18/03/2020,12.30,12.52,11.72,12.35,FERBASA
FESA4,19/03/2020,12.15,12.15,10.77,10.92,FERBASA
FESA4,20/03/2020,11.60,11.80,10.65,10.93,FERBASA
FESA4,23/03/2020,10.70,10.87,10.03,10.39,FERBASA
FESA4,24/03/2020,11.10,11.37,10.41,10.60,FERBASA
FESA4,25/03/2020,10.80,13.30,10.80,13.30,FERBASA
FESA4,26/03/2020,13.02,14.20,12.64,13.60,FERBASA
FESA4,27/03/2020,13.43,13.80,12.70,13.70,FERBASA
FESA4,30/03/2020,14.49,14.49,12.80,12.80,FERBASA
FESA4,31/03/2020,12.95,13.36,12.80,12.97,FERBASA
FESA4,01/04/2020,12.70,13.50,12.43,12.92,FERBASA
FESA4,02/04/2020,13.10,13.15,12.47,13.00,FERBASA
FESA4,03/04/2020,12.90,12.97,11.98,12.29,FERBASA
FESA4,06/04/2020,12.74,13.21,12.64,12.80,FERBASA
FESA4,07/04/2020,13.30,13.78,13.02,13.30,FERBASA
FESA4,08/04/2020,13.57,13.99,13.19,13.90,FERBASA
FESA4,09/04/2020,13.75,14.34,13.57,13.79,FERBASA
FESA4,13/04/2020,13.53,14.15,13.52,14.15,FERBASA
FESA4,14/04/2020,14.36,14.81,14.34,14.54,FERBASA
FESA4,15/04/2020,14.40,15.00,13.95,14.83,FERBASA
FESA4,16/04/2020,15.05,15.17,14.45,14.91,FERBASA
FESA4,17/04/2020,15.07,15.20,14.76,15.00,FERBASA
FESA4,20/04/2020,14.88,15.28,14.62,15.15,FERBASA
FESA4,22/04/2020,15.30,15.95,15.21,15.95,FERBASA
FESA4,23/04/2020,15.99,16.34,15.73,15.77,FERBASA
FESA4,24/04/2020,15.75,15.83,14.31,15.50,FERBASA
FESA4,27/04/2020,16.01,16.25,15.62,16.10,FERBASA
FESA4,28/04/2020,16.42,16.92,16.20,16.92,FERBASA
FESA4,29/04/2020,17.16,17.31,16.89,17.03,FERBASA
FESA4,30/04/2020,17.00,17.18,16.65,16.85,FERBASA
FESA4,04/05/2020,16.51,18.10,16.23,17.60,FERBASA
FESA4,05/05/2020,17.95,18.30,17.40,17.57,FERBASA
FESA4,06/05/2020,17.60,17.94,17.42,17.93,FERBASA
FESA4,07/05/2020,18.05,18.68,17.71,18.10,FERBASA
FESA4,08/05/2020,18.49,18.49,17.92,18.30,FERBASA
FESA4,11/05/2020,18.22,18.46,17.75,18.00,FERBASA
