Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
FIND11,02/01/2020,127.85,130.75,127.85,130.75,IT NOW IFNC
FIND11,03/01/2020,130.26,131.40,130.05,131.40,IT NOW IFNC
FIND11,06/01/2020,130.01,130.01,128.84,128.92,IT NOW IFNC
FIND11,07/01/2020,128.18,128.41,128.00,128.39,IT NOW IFNC
FIND11,08/01/2020,128.10,128.10,127.16,127.16,IT NOW IFNC
FIND11,09/01/2020,127.01,127.01,125.88,125.94,IT NOW IFNC
FIND11,10/01/2020,126.48,126.48,124.80,124.80,IT NOW IFNC
FIND11,13/01/2020,122.81,126.00,122.80,125.10,IT NOW IFNC
FIND11,14/01/2020,125.10,125.56,124.77,125.33,IT NOW IFNC
FIND11,15/01/2020,124.51,124.87,123.73,124.21,IT NOW IFNC
FIND11,16/01/2020,124.20,124.93,124.20,124.57,IT NOW IFNC
FIND11,17/01/2020,125.88,126.50,125.88,126.50,IT NOW IFNC
FIND11,20/01/2020,125.80,125.97,125.61,125.61,IT NOW IFNC
FIND11,21/01/2020,124.50,125.30,123.00,123.00,IT NOW IFNC
FIND11,22/01/2020,124.30,125.50,123.71,125.50,IT NOW IFNC
FIND11,23/01/2020,125.00,128.50,124.56,128.30,IT NOW IFNC
FIND11,24/01/2020,127.00,127.00,126.63,126.68,IT NOW IFNC
FIND11,27/01/2020,127.00,127.00,124.00,124.00,IT NOW IFNC
FIND11,28/01/2020,124.28,125.65,124.28,125.43,IT NOW IFNC
FIND11,29/01/2020,125.00,125.00,123.98,124.30,IT NOW IFNC
FIND11,30/01/2020,122.27,124.30,121.91,124.28,IT NOW IFNC
FIND11,31/01/2020,122.90,123.50,122.09,123.50,IT NOW IFNC
FIND11,03/02/2020,121.60,124.13,121.60,123.65,IT NOW IFNC
FIND11,04/02/2020,123.65,123.65,122.95,123.60,IT NOW IFNC
FIND11,05/02/2020,125.50,126.00,125.26,125.30,IT NOW IFNC
FIND11,06/02/2020,125.69,125.69,123.50,123.50,IT NOW IFNC
FIND11,07/02/2020,124.13,124.32,123.18,123.22,IT NOW IFNC
FIND11,10/02/2020,122.71,123.45,122.01,122.01,IT NOW IFNC
FIND11,11/02/2020,125.00,125.76,124.22,125.21,IT NOW IFNC
FIND11,12/02/2020,125.65,126.72,125.65,126.72,IT NOW IFNC
FIND11,13/02/2020,124.78,124.78,123.88,124.02,IT NOW IFNC
FIND11,14/02/2020,124.00,124.00,123.18,123.19,IT NOW IFNC
FIND11,17/02/2020,123.35,123.50,123.35,123.40,IT NOW IFNC
FIND11,18/02/2020,122.10,122.15,121.60,122.10,IT NOW IFNC
FIND11,19/02/2020,122.10,125.25,122.10,124.65,IT NOW IFNC
FIND11,20/02/2020,124.42,124.42,122.95,123.12,IT NOW IFNC
FIND11,21/02/2020,121.29,121.63,121.20,121.49,IT NOW IFNC
FIND11,26/02/2020,118.68,118.68,114.46,114.49,IT NOW IFNC
FIND11,27/02/2020,114.00,117.70,114.00,114.00,IT NOW IFNC
FIND11,28/02/2020,114.00,116.85,111.70,116.85,IT NOW IFNC
FIND11,02/03/2020,116.91,117.81,115.75,117.50,IT NOW IFNC
FIND11,03/03/2020,117.50,117.50,113.80,114.85,IT NOW IFNC
FIND11,04/03/2020,114.00,114.00,111.00,113.92,IT NOW IFNC
FIND11,05/03/2020,111.28,111.31,107.27,107.27,IT NOW IFNC
FIND11,06/03/2020,105.21,106.90,105.06,106.90,IT NOW IFNC
FIND11,09/03/2020,100.01,106.89,96.69,96.80,IT NOW IFNC
FIND11,10/03/2020,99.62,99.62,96.80,97.80,IT NOW IFNC
FIND11,11/03/2020,97.02,98.49,93.66,95.00,IT NOW IFNC
FIND11,12/03/2020,89.99,89.99,89.85,89.85,IT NOW IFNC
FIND11,13/03/2020,89.60,90.00,84.00,87.87,IT NOW IFNC
FIND11,16/03/2020,88.45,88.45,80.00,80.29,IT NOW IFNC
FIND11,17/03/2020,79.61,84.67,79.61,83.51,IT NOW IFNC
FIND11,18/03/2020,76.00,80.00,75.00,77.00,IT NOW IFNC
FIND11,19/03/2020,75.00,75.49,71.00,75.00,IT NOW IFNC
FIND11,20/03/2020,76.74,77.00,72.20,72.20,IT NOW IFNC
FIND11,23/03/2020,68.96,69.29,66.26,67.00,IT NOW IFNC
FIND11,24/03/2020,73.60,76.50,73.60,76.50,IT NOW IFNC
FIND11,25/03/2020,76.60,83.77,76.50,83.77,IT NOW IFNC
FIND11,26/03/2020,84.00,84.12,82.33,83.50,IT NOW IFNC
FIND11,27/03/2020,80.40,80.40,79.68,79.80,IT NOW IFNC
FIND11,30/03/2020,80.43,80.50,80.42,80.50,IT NOW IFNC
FIND11,31/03/2020,80.31,80.31,78.15,78.15,IT NOW IFNC
FIND11,01/04/2020,75.09,75.16,73.35,74.19,IT NOW IFNC
FIND11,02/04/2020,75.62,77.00,75.00,75.45,IT NOW IFNC
FIND11,03/04/2020,74.21,74.21,72.00,73.11,IT NOW IFNC
FIND11,06/04/2020,73.15,80.17,73.15,78.16,IT NOW IFNC
FIND11,07/04/2020,89.99,89.99,83.50,84.13,IT NOW IFNC
FIND11,08/04/2020,82.11,84.81,82.06,84.76,IT NOW IFNC
FIND11,09/04/2020,84.77,84.79,83.68,83.68,IT NOW IFNC
FIND11,13/04/2020,82.00,84.53,82.00,84.53,IT NOW IFNC
FIND11,14/04/2020,88.03,88.55,87.49,87.49,IT NOW IFNC
FIND11,15/04/2020,84.35,85.76,84.06,85.30,IT NOW IFNC
FIND11,16/04/2020,85.70,85.70,82.78,82.78,IT NOW IFNC
FIND11,17/04/2020,83.21,83.50,83.00,83.50,IT NOW IFNC
FIND11,20/04/2020,83.50,83.50,81.82,82.64,IT NOW IFNC
FIND11,22/04/2020,83.51,84.57,83.51,83.65,IT NOW IFNC
FIND11,23/04/2020,84.47,84.47,81.00,82.12,IT NOW IFNC
FIND11,24/04/2020,80.00,80.00,72.01,74.90,IT NOW IFNC
FIND11,27/04/2020,77.53,79.45,77.00,77.30,IT NOW IFNC
FIND11,28/04/2020,83.30,83.90,82.91,83.15,IT NOW IFNC
FIND11,29/04/2020,83.90,86.00,83.13,85.04,IT NOW IFNC
FIND11,30/04/2020,81.85,82.40,81.12,81.32,IT NOW IFNC
FIND11,04/05/2020,78.86,78.86,78.33,78.82,IT NOW IFNC
FIND11,05/05/2020,80.25,80.34,80.25,80.34,IT NOW IFNC
FIND11,06/05/2020,77.44,80.89,77.44,78.27,IT NOW IFNC
FIND11,07/05/2020,77.70,77.70,75.30,75.30,IT NOW IFNC
FIND11,08/05/2020,76.72,78.20,76.72,77.94,IT NOW IFNC
FIND11,11/05/2020,77.92,78.20,76.99,77.01,IT NOW IFNC
FIND11,12/05/2020,77.30,77.30,73.80,73.80,IT NOW IFNC
FIND11,13/05/2020,75.20,75.20,73.20,74.30,IT NOW IFNC
FIND11,14/05/2020,73.50,75.53,71.58,75.53,IT NOW IFNC
FIND11,15/05/2020,75.50,76.80,75.50,75.64,IT NOW IFNC
FIND11,18/05/2020,77.51,79.10,77.26,79.06,IT NOW IFNC
FIND11,19/05/2020,78.52,78.91,77.35,77.35,IT NOW IFNC
FIND11,20/05/2020,77.35,78.03,77.00,77.21,IT NOW IFNC
FIND11,21/05/2020,79.33,81.84,79.33,81.69,IT NOW IFNC
FIND11,22/05/2020,81.40,82.00,80.57,81.54,IT NOW IFNC
FIND11,25/05/2020,83.26,87.00,83.26,86.94,IT NOW IFNC
FIND11,26/05/2020,88.00,88.00,85.55,85.55,IT NOW IFNC
FIND11,27/05/2020,85.06,86.55,85.06,85.90,IT NOW IFNC
FIND11,28/05/2020,85.90,86.46,85.50,85.50,IT NOW IFNC
FIND11,29/05/2020,84.00,84.78,83.46,84.52,IT NOW IFNC
FIND11,01/06/2020,84.55,87.21,84.55,87.21,IT NOW IFNC
FIND11,02/06/2020,88.00,90.70,88.00,90.70,IT NOW IFNC
FIND11,03/06/2020,94.40,95.07,93.83,94.87,IT NOW IFNC
FIND11,04/06/2020,94.84,96.40,94.77,96.20,IT NOW IFNC
FIND11,05/06/2020,98.72,99.29,96.50,96.50,IT NOW IFNC
FIND11,08/06/2020,96.50,101.50,96.50,101.50,IT NOW IFNC
FIND11,09/06/2020,101.50,101.50,99.50,100.30,IT NOW IFNC
FIND11,10/06/2020,100.00,100.00,97.43,97.52,IT NOW IFNC
