Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
FLRY3,02/01/2020,31.09,31.39,30.86,31.02,FLEURY
FLRY3,03/01/2020,30.92,31.25,30.11,30.11,FLEURY
FLRY3,06/01/2020,30.19,31.00,30.01,31.00,FLEURY
FLRY3,07/01/2020,31.01,31.52,30.63,31.32,FLEURY
FLRY3,08/01/2020,31.30,31.58,30.82,31.13,FLEURY
FLRY3,09/01/2020,31.30,31.97,31.13,31.71,FLEURY
FLRY3,10/01/2020,32.00,32.00,30.95,31.15,FLEURY
FLRY3,13/01/2020,31.41,31.41,30.88,31.00,FLEURY
FLRY3,14/01/2020,31.00,31.46,30.89,31.46,FLEURY
FLRY3,15/01/2020,31.40,31.71,31.05,31.23,FLEURY
FLRY3,16/01/2020,31.36,31.48,30.67,31.24,FLEURY
FLRY3,17/01/2020,31.24,31.39,30.71,31.39,FLEURY
FLRY3,20/01/2020,31.35,32.23,30.90,32.23,FLEURY
FLRY3,21/01/2020,32.23,32.33,31.78,32.15,FLEURY
FLRY3,22/01/2020,32.30,32.87,32.11,32.87,FLEURY
FLRY3,23/01/2020,32.51,32.62,32.12,32.25,FLEURY
FLRY3,24/01/2020,32.47,32.50,31.94,32.36,FLEURY
FLRY3,27/01/2020,31.98,32.39,30.91,32.15,FLEURY
FLRY3,28/01/2020,32.16,32.60,32.07,32.50,FLEURY
FLRY3,29/01/2020,32.65,32.69,31.16,31.16,FLEURY
FLRY3,30/01/2020,30.80,31.66,30.07,31.66,FLEURY
FLRY3,31/01/2020,31.65,31.65,30.65,31.00,FLEURY
FLRY3,03/02/2020,31.00,32.00,30.78,31.71,FLEURY
FLRY3,04/02/2020,32.01,32.66,31.95,32.66,FLEURY
FLRY3,05/02/2020,32.77,34.09,32.73,33.50,FLEURY
FLRY3,06/02/2020,33.50,33.69,31.82,32.10,FLEURY
FLRY3,07/02/2020,32.11,32.13,31.20,31.20,FLEURY
FLRY3,10/02/2020,31.32,31.47,29.89,30.93,FLEURY
FLRY3,11/02/2020,31.05,31.73,30.82,31.17,FLEURY
FLRY3,12/02/2020,31.30,32.23,31.06,31.79,FLEURY
FLRY3,13/02/2020,31.60,31.65,30.68,30.68,FLEURY
FLRY3,14/02/2020,30.75,31.25,30.72,30.99,FLEURY
FLRY3,17/02/2020,31.12,31.30,30.90,31.08,FLEURY
FLRY3,18/02/2020,30.90,31.13,30.30,30.95,FLEURY
FLRY3,19/02/2020,30.85,32.08,30.85,31.99,FLEURY
FLRY3,20/02/2020,32.12,32.42,31.03,31.45,FLEURY
FLRY3,21/02/2020,31.36,31.50,30.85,31.25,FLEURY
FLRY3,26/02/2020,30.50,30.50,29.72,30.10,FLEURY
FLRY3,27/02/2020,29.21,29.52,28.52,28.57,FLEURY
FLRY3,28/02/2020,28.89,29.76,28.44,29.76,FLEURY
FLRY3,02/03/2020,30.05,31.18,29.90,30.90,FLEURY
FLRY3,03/03/2020,30.90,32.05,30.62,30.62,FLEURY
FLRY3,04/03/2020,31.37,32.15,30.79,31.01,FLEURY
FLRY3,05/03/2020,31.00,31.06,29.58,29.99,FLEURY
FLRY3,06/03/2020,29.00,30.12,28.02,29.56,FLEURY
FLRY3,09/03/2020,27.50,27.78,26.55,27.01,FLEURY
FLRY3,10/03/2020,28.36,28.78,26.32,27.27,FLEURY
FLRY3,11/03/2020,26.87,27.00,24.40,26.20,FLEURY
FLRY3,12/03/2020,23.98,24.23,22.57,22.80,FLEURY
FLRY3,13/03/2020,25.51,25.90,22.00,23.60,FLEURY
FLRY3,16/03/2020,22.00,22.06,19.90,20.00,FLEURY
FLRY3,17/03/2020,20.50,21.39,20.13,21.11,FLEURY
FLRY3,18/03/2020,19.44,19.99,17.50,18.14,FLEURY
FLRY3,19/03/2020,17.83,20.09,17.15,19.50,FLEURY
FLRY3,20/03/2020,20.02,20.62,19.06,19.24,FLEURY
FLRY3,23/03/2020,19.50,19.51,18.05,18.76,FLEURY
FLRY3,24/03/2020,19.80,20.47,19.44,19.44,FLEURY
FLRY3,25/03/2020,19.40,20.35,18.90,20.08,FLEURY
FLRY3,26/03/2020,20.11,21.76,20.11,20.90,FLEURY
FLRY3,27/03/2020,20.40,20.96,19.70,19.70,FLEURY
FLRY3,30/03/2020,20.27,21.21,20.03,20.65,FLEURY
FLRY3,31/03/2020,20.80,20.93,19.67,20.24,FLEURY
FLRY3,01/04/2020,19.90,20.09,19.09,20.00,FLEURY
FLRY3,02/04/2020,20.10,20.32,19.70,20.20,FLEURY
FLRY3,03/04/2020,20.15,20.20,18.98,19.21,FLEURY
FLRY3,06/04/2020,20.55,21.10,19.80,20.00,FLEURY
FLRY3,07/04/2020,21.00,22.71,21.00,21.39,FLEURY
FLRY3,08/04/2020,21.64,22.40,21.52,21.64,FLEURY
FLRY3,09/04/2020,22.02,22.30,21.39,21.55,FLEURY
FLRY3,13/04/2020,21.66,21.74,21.16,21.34,FLEURY
FLRY3,14/04/2020,21.94,22.69,21.73,22.40,FLEURY
FLRY3,15/04/2020,22.00,22.85,21.65,22.48,FLEURY
FLRY3,16/04/2020,22.91,23.10,22.35,22.72,FLEURY
FLRY3,17/04/2020,23.10,23.82,23.03,23.72,FLEURY
FLRY3,20/04/2020,23.30,24.75,23.13,24.58,FLEURY
FLRY3,22/04/2020,25.20,25.25,24.16,24.25,FLEURY
FLRY3,23/04/2020,24.35,24.86,23.52,24.20,FLEURY
FLRY3,24/04/2020,23.60,24.03,21.60,23.11,FLEURY
FLRY3,27/04/2020,23.84,24.10,23.34,23.40,FLEURY
FLRY3,28/04/2020,23.94,24.14,23.41,23.41,FLEURY
FLRY3,29/04/2020,23.74,24.07,22.84,23.29,FLEURY
FLRY3,30/04/2020,23.00,23.45,22.48,22.80,FLEURY
FLRY3,04/05/2020,21.95,22.50,21.50,21.71,FLEURY
FLRY3,05/05/2020,22.07,22.41,21.52,21.52,FLEURY
FLRY3,06/05/2020,21.65,21.98,21.00,21.60,FLEURY
FLRY3,07/05/2020,21.68,21.97,20.86,20.98,FLEURY
FLRY3,08/05/2020,21.58,21.65,20.66,20.66,FLEURY
FLRY3,11/05/2020,20.69,20.91,19.86,19.86,FLEURY
FLRY3,12/05/2020,20.00,20.84,19.88,20.00,FLEURY
FLRY3,13/05/2020,20.13,20.19,19.34,19.61,FLEURY
FLRY3,14/05/2020,19.48,21.24,19.25,20.83,FLEURY
FLRY3,15/05/2020,20.40,20.46,19.50,20.15,FLEURY
