Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
FNAM11,02/01/2020,0.16,0.17,0.16,0.17,FINAM
FNAM11,03/01/2020,0.17,0.18,0.15,0.16,FINAM
FNAM11,06/01/2020,0.16,0.17,0.14,0.15,FINAM
FNAM11,07/01/2020,0.14,0.16,0.14,0.15,FINAM
FNAM11,08/01/2020,0.16,0.16,0.15,0.15,FINAM
FNAM11,09/01/2020,0.15,0.16,0.15,0.16,FINAM
FNAM11,10/01/2020,0.16,0.16,0.15,0.15,FINAM
FNAM11,13/01/2020,0.15,0.16,0.15,0.16,FINAM
FNAM11,14/01/2020,0.16,0.16,0.15,0.16,FINAM
FNAM11,15/01/2020,0.16,0.16,0.15,0.15,FINAM
FNAM11,16/01/2020,0.15,0.16,0.15,0.15,FINAM
FNAM11,17/01/2020,0.16,0.16,0.15,0.16,FINAM
FNAM11,20/01/2020,0.15,0.17,0.15,0.17,FINAM
FNAM11,21/01/2020,0.17,0.18,0.16,0.17,FINAM
FNAM11,22/01/2020,0.17,0.18,0.16,0.16,FINAM
FNAM11,23/01/2020,0.17,0.18,0.16,0.18,FINAM
FNAM11,24/01/2020,0.18,0.18,0.16,0.17,FINAM
FNAM11,27/01/2020,0.16,0.17,0.16,0.17,FINAM
FNAM11,28/01/2020,0.16,0.17,0.16,0.16,FINAM
FNAM11,29/01/2020,0.16,0.17,0.16,0.16,FINAM
FNAM11,30/01/2020,0.17,0.17,0.16,0.17,FINAM
FNAM11,31/01/2020,0.17,0.17,0.16,0.17,FINAM
FNAM11,03/02/2020,0.17,0.17,0.16,0.16,FINAM
FNAM11,04/02/2020,0.17,0.17,0.16,0.16,FINAM
FNAM11,05/02/2020,0.16,0.17,0.16,0.16,FINAM
FNAM11,06/02/2020,0.17,0.17,0.16,0.17,FINAM
FNAM11,07/02/2020,0.17,0.17,0.16,0.17,FINAM
FNAM11,10/02/2020,0.17,0.17,0.16,0.16,FINAM
FNAM11,11/02/2020,0.16,0.17,0.16,0.17,FINAM
FNAM11,12/02/2020,0.17,0.17,0.16,0.17,FINAM
FNAM11,13/02/2020,0.17,0.17,0.16,0.17,FINAM
FNAM11,14/02/2020,0.17,0.17,0.16,0.17,FINAM
FNAM11,17/02/2020,0.17,0.17,0.16,0.17,FINAM
FNAM11,18/02/2020,0.17,0.17,0.16,0.16,FINAM
FNAM11,19/02/2020,0.17,0.17,0.16,0.16,FINAM
FNAM11,20/02/2020,0.17,0.17,0.16,0.16,FINAM
FNAM11,21/02/2020,0.16,0.17,0.16,0.16,FINAM
FNAM11,26/02/2020,0.16,0.17,0.16,0.17,FINAM
FNAM11,27/02/2020,0.17,0.17,0.16,0.17,FINAM
FNAM11,28/02/2020,0.16,0.16,0.15,0.15,FINAM
FNAM11,02/03/2020,0.16,0.16,0.15,0.15,FINAM
FNAM11,03/03/2020,0.16,0.17,0.15,0.16,FINAM
FNAM11,04/03/2020,0.16,0.17,0.16,0.17,FINAM
FNAM11,05/03/2020,0.17,0.17,0.16,0.16,FINAM
FNAM11,06/03/2020,0.16,0.18,0.15,0.17,FINAM
FNAM11,09/03/2020,0.17,0.18,0.16,0.17,FINAM
FNAM11,10/03/2020,0.17,0.20,0.16,0.20,FINAM
FNAM11,11/03/2020,0.19,0.19,0.18,0.18,FINAM
FNAM11,12/03/2020,0.18,0.21,0.15,0.17,FINAM
FNAM11,13/03/2020,0.17,0.18,0.16,0.17,FINAM
FNAM11,16/03/2020,0.16,0.16,0.14,0.15,FINAM
FNAM11,17/03/2020,0.16,0.17,0.15,0.17,FINAM
FNAM11,18/03/2020,0.17,0.17,0.14,0.15,FINAM
FNAM11,19/03/2020,0.15,0.16,0.14,0.14,FINAM
FNAM11,20/03/2020,0.15,0.15,0.14,0.14,FINAM
FNAM11,23/03/2020,0.14,0.15,0.14,0.14,FINAM
FNAM11,24/03/2020,0.14,0.14,0.13,0.14,FINAM
FNAM11,25/03/2020,0.14,0.15,0.13,0.14,FINAM
FNAM11,26/03/2020,0.14,0.15,0.14,0.15,FINAM
FNAM11,27/03/2020,0.15,0.15,0.14,0.15,FINAM
FNAM11,30/03/2020,0.15,0.15,0.14,0.15,FINAM
FNAM11,31/03/2020,0.14,0.15,0.14,0.15,FINAM
FNAM11,01/04/2020,0.15,0.15,0.13,0.14,FINAM
FNAM11,02/04/2020,0.13,0.14,0.12,0.13,FINAM
FNAM11,03/04/2020,0.13,0.14,0.12,0.13,FINAM
FNAM11,06/04/2020,0.14,0.14,0.13,0.13,FINAM
FNAM11,07/04/2020,0.13,0.14,0.13,0.13,FINAM
FNAM11,08/04/2020,0.13,0.14,0.13,0.14,FINAM
FNAM11,09/04/2020,0.14,0.14,0.12,0.13,FINAM
FNAM11,13/04/2020,0.13,0.13,0.12,0.13,FINAM
FNAM11,14/04/2020,0.13,0.13,0.12,0.13,FINAM
FNAM11,15/04/2020,0.13,0.13,0.12,0.13,FINAM
FNAM11,16/04/2020,0.13,0.13,0.12,0.12,FINAM
FNAM11,17/04/2020,0.12,0.14,0.12,0.14,FINAM
FNAM11,20/04/2020,0.14,0.14,0.13,0.14,FINAM
FNAM11,22/04/2020,0.14,0.14,0.13,0.14,FINAM
FNAM11,23/04/2020,0.14,0.14,0.13,0.13,FINAM
FNAM11,24/04/2020,0.13,0.14,0.12,0.13,FINAM
FNAM11,27/04/2020,0.13,0.13,0.12,0.12,FINAM
FNAM11,28/04/2020,0.12,0.14,0.12,0.14,FINAM
FNAM11,29/04/2020,0.14,0.14,0.13,0.13,FINAM
FNAM11,30/04/2020,0.14,0.14,0.13,0.14,FINAM
FNAM11,04/05/2020,0.14,0.14,0.13,0.14,FINAM
FNAM11,05/05/2020,0.14,0.14,0.13,0.14,FINAM
FNAM11,06/05/2020,0.14,0.14,0.13,0.13,FINAM
FNAM11,07/05/2020,0.13,0.14,0.12,0.13,FINAM
FNAM11,08/05/2020,0.12,0.13,0.12,0.12,FINAM
FNAM11,11/05/2020,0.13,0.14,0.12,0.12,FINAM
FNAM11,12/05/2020,0.12,0.13,0.12,0.12,FINAM
FNAM11,13/05/2020,0.12,0.13,0.12,0.13,FINAM
FNAM11,14/05/2020,0.13,0.13,0.12,0.12,FINAM
FNAM11,15/05/2020,0.12,0.13,0.12,0.12,FINAM
FNAM11,18/05/2020,0.12,0.13,0.12,0.13,FINAM
FNAM11,19/05/2020,0.13,0.13,0.11,0.12,FINAM
FNAM11,20/05/2020,0.12,0.12,0.11,0.12,FINAM
FNAM11,21/05/2020,0.12,0.13,0.12,0.12,FINAM
FNAM11,22/05/2020,0.13,0.13,0.12,0.13,FINAM
FNAM11,25/05/2020,0.12,0.13,0.12,0.13,FINAM
FNAM11,26/05/2020,0.13,0.13,0.12,0.12,FINAM
FNAM11,27/05/2020,0.12,0.13,0.12,0.13,FINAM
FNAM11,28/05/2020,0.13,0.13,0.12,0.13,FINAM
FNAM11,29/05/2020,0.13,0.14,0.12,0.12,FINAM
FNAM11,01/06/2020,0.13,0.14,0.13,0.13,FINAM
FNAM11,02/06/2020,0.13,0.14,0.13,0.14,FINAM
FNAM11,03/06/2020,0.13,0.15,0.13,0.14,FINAM
FNAM11,04/06/2020,0.14,0.16,0.14,0.15,FINAM
FNAM11,05/06/2020,0.15,0.16,0.15,0.15,FINAM
FNAM11,08/06/2020,0.15,0.16,0.15,0.15,FINAM
FNAM11,09/06/2020,0.15,0.16,0.15,0.16,FINAM
FNAM11,10/06/2020,0.16,0.16,0.15,0.16,FINAM
FNAM11,12/06/2020,0.16,0.17,0.15,0.17,FINAM
FNAM11,15/06/2020,0.17,0.18,0.15,0.18,FINAM
FNAM11,16/06/2020,0.18,0.18,0.16,0.16,FINAM
FNAM11,17/06/2020,0.16,0.18,0.15,0.17,FINAM
FNAM11,18/06/2020,0.17,0.17,0.16,0.17,FINAM
FNAM11,19/06/2020,0.17,0.17,0.16,0.17,FINAM
