Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
GBIO33,02/01/2020,9.94,9.94,9.87,9.93,BIOTOSCANA
GBIO33,03/01/2020,9.85,9.93,9.85,9.89,BIOTOSCANA
GBIO33,06/01/2020,9.93,9.93,9.87,9.90,BIOTOSCANA
GBIO33,07/01/2020,9.89,9.95,9.87,9.92,BIOTOSCANA
GBIO33,08/01/2020,9.92,9.93,9.89,9.92,BIOTOSCANA
GBIO33,09/01/2020,9.93,9.93,9.90,9.91,BIOTOSCANA
GBIO33,10/01/2020,9.95,9.95,9.90,9.93,BIOTOSCANA
GBIO33,13/01/2020,9.93,9.95,9.90,9.93,BIOTOSCANA
GBIO33,14/01/2020,9.95,9.95,9.90,9.93,BIOTOSCANA
GBIO33,15/01/2020,9.91,9.94,9.90,9.90,BIOTOSCANA
GBIO33,16/01/2020,9.90,9.93,9.87,9.90,BIOTOSCANA
GBIO33,17/01/2020,9.89,9.93,9.88,9.90,BIOTOSCANA
GBIO33,20/01/2020,9.88,9.95,9.88,9.93,BIOTOSCANA
GBIO33,21/01/2020,9.90,9.94,9.88,9.89,BIOTOSCANA
GBIO33,22/01/2020,9.91,9.93,9.85,9.89,BIOTOSCANA
GBIO33,23/01/2020,9.90,9.92,9.87,9.88,BIOTOSCANA
GBIO33,24/01/2020,9.88,9.95,9.86,9.91,BIOTOSCANA
GBIO33,27/01/2020,9.94,9.94,9.86,9.89,BIOTOSCANA
GBIO33,28/01/2020,9.90,9.95,9.88,9.89,BIOTOSCANA
GBIO33,29/01/2020,9.86,9.93,9.86,9.90,BIOTOSCANA
GBIO33,30/01/2020,9.89,9.95,9.88,9.91,BIOTOSCANA
GBIO33,31/01/2020,9.91,9.95,9.86,9.92,BIOTOSCANA
GBIO33,03/02/2020,9.88,9.92,9.87,9.91,BIOTOSCANA
GBIO33,04/02/2020,9.91,9.95,9.90,9.90,BIOTOSCANA
GBIO33,05/02/2020,9.90,9.93,9.88,9.90,BIOTOSCANA
GBIO33,06/02/2020,9.91,9.93,9.86,9.89,BIOTOSCANA
GBIO33,07/02/2020,9.89,9.92,9.85,9.92,BIOTOSCANA
GBIO33,10/02/2020,9.91,9.92,9.85,9.92,BIOTOSCANA
GBIO33,11/02/2020,9.93,9.93,9.85,9.90,BIOTOSCANA
