Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
GGBR3,02/01/2020,17.23,17.90,17.15,17.63,GERDAU
GGBR3,03/01/2020,17.89,18.00,17.20,17.65,GERDAU
GGBR3,06/01/2020,17.64,17.64,17.12,17.40,GERDAU
GGBR3,07/01/2020,17.41,17.73,17.02,17.60,GERDAU
GGBR3,08/01/2020,17.51,17.88,17.51,17.69,GERDAU
GGBR3,09/01/2020,17.79,17.79,17.31,17.56,GERDAU
GGBR3,10/01/2020,17.75,17.97,17.56,17.76,GERDAU
GGBR3,13/01/2020,18.00,18.74,17.92,18.60,GERDAU
GGBR3,14/01/2020,18.68,19.25,18.28,18.40,GERDAU
GGBR3,15/01/2020,18.41,18.72,18.10,18.45,GERDAU
GGBR3,16/01/2020,18.71,18.72,18.39,18.56,GERDAU
GGBR3,17/01/2020,18.73,18.92,18.56,18.74,GERDAU
GGBR3,20/01/2020,18.75,19.46,18.61,19.46,GERDAU
GGBR3,21/01/2020,19.25,19.46,19.00,19.00,GERDAU
GGBR3,22/01/2020,19.44,19.44,18.95,19.12,GERDAU
GGBR3,23/01/2020,19.10,19.56,18.71,19.15,GERDAU
GGBR3,24/01/2020,19.46,19.50,18.89,18.89,GERDAU
GGBR3,27/01/2020,18.78,18.78,17.80,18.00,GERDAU
GGBR3,28/01/2020,17.80,18.31,17.40,18.01,GERDAU
GGBR3,29/01/2020,18.01,18.27,17.78,18.15,GERDAU
GGBR3,30/01/2020,17.65,18.30,17.51,18.27,GERDAU
GGBR3,31/01/2020,18.16,18.28,17.81,18.28,GERDAU
GGBR3,03/02/2020,17.98,18.38,17.70,18.20,GERDAU
GGBR3,04/02/2020,18.20,18.70,18.20,18.70,GERDAU
GGBR3,05/02/2020,18.71,19.00,18.58,19.00,GERDAU
GGBR3,06/02/2020,19.00,19.13,18.55,18.80,GERDAU
GGBR3,07/02/2020,18.79,18.79,17.93,18.00,GERDAU
GGBR3,10/02/2020,18.20,18.20,17.54,17.83,GERDAU
GGBR3,11/02/2020,17.83,18.84,17.83,18.54,GERDAU
GGBR3,12/02/2020,18.90,18.90,18.50,18.50,GERDAU
GGBR3,13/02/2020,18.27,18.54,18.00,18.53,GERDAU
GGBR3,14/02/2020,18.50,18.50,17.99,18.13,GERDAU
GGBR3,17/02/2020,18.14,18.50,17.92,18.32,GERDAU
GGBR3,18/02/2020,18.32,18.32,17.71,17.93,GERDAU
GGBR3,19/02/2020,17.93,18.16,17.33,17.88,GERDAU
GGBR3,20/02/2020,18.16,18.16,17.38,17.38,GERDAU
GGBR3,21/02/2020,17.38,17.55,16.68,16.70,GERDAU
GGBR3,26/02/2020,15.43,16.00,15.00,15.00,GERDAU
GGBR3,27/02/2020,14.43,15.62,14.17,15.06,GERDAU
GGBR3,28/02/2020,15.00,15.05,14.01,14.78,GERDAU
GGBR3,02/03/2020,14.59,15.63,14.59,15.48,GERDAU
GGBR3,03/03/2020,16.79,16.79,15.13,15.57,GERDAU
GGBR3,04/03/2020,15.95,16.00,15.50,16.00,GERDAU
GGBR3,05/03/2020,16.00,16.00,14.58,15.29,GERDAU
GGBR3,06/03/2020,14.17,14.48,13.90,14.00,GERDAU
GGBR3,09/03/2020,12.69,13.02,11.81,11.81,GERDAU
GGBR3,10/03/2020,12.34,13.05,11.95,12.69,GERDAU
GGBR3,11/03/2020,12.68,12.69,10.53,11.50,GERDAU
GGBR3,12/03/2020,10.70,10.87,8.97,10.11,GERDAU
GGBR3,13/03/2020,11.00,11.55,9.39,11.20,GERDAU
GGBR3,16/03/2020,10.00,10.47,9.35,10.08,GERDAU
GGBR3,17/03/2020,10.25,10.40,9.42,9.79,GERDAU
GGBR3,18/03/2020,9.34,9.34,7.91,8.80,GERDAU
GGBR3,19/03/2020,7.89,9.15,7.54,8.70,GERDAU
GGBR3,20/03/2020,9.02,9.40,7.85,8.10,GERDAU
