Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
GOAU3,02/01/2020,8.88,9.18,8.70,9.18,GERDAU MET
GOAU3,03/01/2020,8.94,9.10,8.83,9.10,GERDAU MET
GOAU3,06/01/2020,9.14,9.14,8.87,8.97,GERDAU MET
GOAU3,07/01/2020,9.05,9.05,8.87,8.97,GERDAU MET
GOAU3,08/01/2020,8.97,9.00,8.85,8.94,GERDAU MET
GOAU3,09/01/2020,8.91,8.96,8.81,8.94,GERDAU MET
GOAU3,10/01/2020,8.95,9.10,8.92,9.03,GERDAU MET
GOAU3,13/01/2020,9.06,9.35,9.06,9.35,GERDAU MET
GOAU3,14/01/2020,9.39,9.59,9.31,9.41,GERDAU MET
GOAU3,15/01/2020,9.44,9.56,9.25,9.37,GERDAU MET
GOAU3,16/01/2020,9.47,9.50,9.23,9.32,GERDAU MET
GOAU3,17/01/2020,9.36,9.47,9.30,9.44,GERDAU MET
GOAU3,20/01/2020,9.57,9.75,9.45,9.73,GERDAU MET
GOAU3,21/01/2020,9.82,9.94,9.51,9.60,GERDAU MET
GOAU3,22/01/2020,9.76,9.76,9.52,9.60,GERDAU MET
GOAU3,23/01/2020,9.65,9.65,9.40,9.54,GERDAU MET
GOAU3,24/01/2020,9.54,9.60,9.30,9.42,GERDAU MET
GOAU3,27/01/2020,9.21,9.22,8.90,8.92,GERDAU MET
GOAU3,28/01/2020,8.86,9.16,8.85,9.06,GERDAU MET
GOAU3,29/01/2020,9.14,9.14,8.73,8.88,GERDAU MET
GOAU3,30/01/2020,8.55,8.80,8.26,8.78,GERDAU MET
GOAU3,31/01/2020,8.55,8.74,8.49,8.55,GERDAU MET
GOAU3,03/02/2020,8.49,8.80,8.31,8.78,GERDAU MET
GOAU3,04/02/2020,8.90,8.99,8.79,8.94,GERDAU MET
GOAU3,05/02/2020,8.99,9.13,8.99,9.13,GERDAU MET
GOAU3,06/02/2020,9.19,9.31,8.81,9.03,GERDAU MET
GOAU3,07/02/2020,8.99,8.99,8.66,8.70,GERDAU MET
GOAU3,10/02/2020,8.70,8.70,8.29,8.52,GERDAU MET
GOAU3,11/02/2020,8.59,8.90,8.52,8.90,GERDAU MET
GOAU3,12/02/2020,8.95,9.17,8.80,8.91,GERDAU MET
GOAU3,13/02/2020,8.75,8.99,8.67,8.98,GERDAU MET
GOAU3,14/02/2020,8.99,8.99,8.67,8.70,GERDAU MET
GOAU3,17/02/2020,8.71,8.81,8.58,8.79,GERDAU MET
GOAU3,18/02/2020,8.69,8.70,8.47,8.70,GERDAU MET
GOAU3,19/02/2020,8.54,8.94,8.20,8.92,GERDAU MET
GOAU3,20/02/2020,9.00,9.02,8.44,8.44,GERDAU MET
GOAU3,21/02/2020,8.41,8.50,8.12,8.50,GERDAU MET
GOAU3,26/02/2020,7.85,7.95,7.32,7.39,GERDAU MET
GOAU3,27/02/2020,7.39,7.53,7.00,7.10,GERDAU MET
GOAU3,28/02/2020,7.05,7.17,6.96,7.11,GERDAU MET
GOAU3,02/03/2020,7.48,7.71,7.26,7.62,GERDAU MET
GOAU3,03/03/2020,7.83,7.90,7.48,7.62,GERDAU MET
GOAU3,04/03/2020,7.70,7.99,7.63,7.86,GERDAU MET
GOAU3,05/03/2020,7.76,7.76,7.02,7.34,GERDAU MET
GOAU3,06/03/2020,7.02,7.15,6.77,6.99,GERDAU MET
GOAU3,09/03/2020,6.65,6.65,5.00,5.55,GERDAU MET
GOAU3,10/03/2020,6.01,6.30,5.59,6.21,GERDAU MET
GOAU3,11/03/2020,5.98,6.02,5.07,5.45,GERDAU MET
GOAU3,12/03/2020,4.75,4.75,3.98,4.64,GERDAU MET
GOAU3,13/03/2020,5.16,5.32,4.44,5.10,GERDAU MET
GOAU3,16/03/2020,4.77,4.87,4.35,4.66,GERDAU MET
GOAU3,17/03/2020,4.68,4.92,4.41,4.73,GERDAU MET
GOAU3,18/03/2020,4.44,4.44,3.72,3.93,GERDAU MET
GOAU3,19/03/2020,3.62,4.22,3.38,4.00,GERDAU MET
