Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
GOLL4,02/01/2020,36.68,37.24,36.60,37.17,GOL
GOLL4,03/01/2020,36.00,36.45,35.59,35.90,GOL
GOLL4,06/01/2020,35.50,35.50,34.20,34.25,GOL
GOLL4,07/01/2020,34.65,34.84,34.21,34.45,GOL
GOLL4,08/01/2020,34.61,36.30,34.61,35.81,GOL
GOLL4,09/01/2020,36.05,36.90,35.98,36.65,GOL
GOLL4,10/01/2020,36.73,37.50,36.70,37.24,GOL
GOLL4,13/01/2020,37.21,38.20,37.20,38.00,GOL
GOLL4,14/01/2020,37.99,38.39,37.55,37.99,GOL
GOLL4,15/01/2020,37.85,37.99,36.72,36.97,GOL
GOLL4,16/01/2020,37.24,37.49,36.40,36.64,GOL
GOLL4,17/01/2020,36.98,37.93,36.83,37.93,GOL
GOLL4,20/01/2020,37.74,37.92,37.25,37.80,GOL
GOLL4,21/01/2020,37.80,37.80,36.15,36.68,GOL
GOLL4,22/01/2020,36.98,37.90,36.32,37.18,GOL
GOLL4,23/01/2020,36.66,39.17,36.44,39.05,GOL
GOLL4,24/01/2020,39.21,39.26,37.27,37.82,GOL
GOLL4,27/01/2020,36.40,36.63,35.23,35.30,GOL
GOLL4,28/01/2020,36.00,36.83,35.40,36.19,GOL
GOLL4,29/01/2020,36.46,36.83,34.94,34.94,GOL
GOLL4,30/01/2020,34.20,35.21,33.21,35.04,GOL
GOLL4,31/01/2020,34.10,34.92,33.94,34.25,GOL
GOLL4,03/02/2020,34.05,35.24,33.32,34.35,GOL
GOLL4,04/02/2020,35.49,36.25,35.10,35.16,GOL
GOLL4,05/02/2020,35.85,36.35,35.33,36.19,GOL
GOLL4,06/02/2020,36.39,36.86,35.54,35.75,GOL
GOLL4,07/02/2020,35.45,35.88,34.24,34.46,GOL
GOLL4,10/02/2020,34.60,34.80,33.70,34.16,GOL
GOLL4,11/02/2020,34.30,36.38,34.29,36.20,GOL
GOLL4,12/02/2020,36.50,36.85,35.49,36.30,GOL
GOLL4,13/02/2020,35.60,36.08,35.17,35.40,GOL
GOLL4,14/02/2020,35.67,36.18,35.44,36.00,GOL
GOLL4,17/02/2020,36.05,36.51,35.84,36.39,GOL
GOLL4,18/02/2020,35.96,36.25,35.07,35.87,GOL
GOLL4,19/02/2020,35.92,36.35,35.68,36.35,GOL
GOLL4,20/02/2020,36.50,36.77,34.24,34.80,GOL
GOLL4,21/02/2020,34.21,34.44,33.44,33.82,GOL
GOLL4,26/02/2020,31.20,31.49,28.35,28.98,GOL
GOLL4,27/02/2020,28.10,28.47,26.40,26.40,GOL
GOLL4,28/02/2020,25.74,26.74,24.62,25.60,GOL
GOLL4,02/03/2020,25.60,27.00,24.92,26.11,GOL
GOLL4,03/03/2020,26.38,26.78,24.75,25.12,GOL
GOLL4,04/03/2020,26.00,26.21,24.72,24.81,GOL
GOLL4,05/03/2020,24.20,24.40,19.82,20.65,GOL
GOLL4,06/03/2020,18.10,21.72,18.10,21.05,GOL
GOLL4,09/03/2020,19.50,19.66,17.36,17.38,GOL
GOLL4,10/03/2020,18.86,19.62,17.07,18.32,GOL
GOLL4,11/03/2020,17.82,18.10,14.60,15.65,GOL
GOLL4,12/03/2020,13.10,13.10,9.72,9.97,GOL
GOLL4,13/03/2020,12.15,12.21,9.54,11.17,GOL
GOLL4,16/03/2020,8.90,9.47,8.02,8.04,GOL
GOLL4,17/03/2020,8.41,8.65,7.38,7.78,GOL
GOLL4,18/03/2020,7.19,7.19,5.30,5.60,GOL
GOLL4,19/03/2020,5.54,6.93,4.81,6.25,GOL
GOLL4,20/03/2020,7.35,9.04,6.75,7.28,GOL
GOLL4,23/03/2020,7.30,7.44,6.40,6.93,GOL
GOLL4,24/03/2020,8.60,8.60,7.63,8.10,GOL
GOLL4,25/03/2020,8.20,11.25,8.20,10.94,GOL
GOLL4,26/03/2020,11.00,14.79,11.00,13.04,GOL
GOLL4,27/03/2020,11.79,14.18,11.38,12.59,GOL
GOLL4,30/03/2020,13.63,14.28,12.29,12.30,GOL
GOLL4,31/03/2020,12.45,12.69,11.25,11.37,GOL
GOLL4,01/04/2020,10.21,10.44,9.70,9.98,GOL
GOLL4,02/04/2020,10.39,11.14,9.71,10.13,GOL
GOLL4,03/04/2020,9.90,10.03,9.06,9.47,GOL
GOLL4,06/04/2020,10.46,10.77,9.80,10.15,GOL
GOLL4,07/04/2020,11.28,11.44,10.80,10.95,GOL
GOLL4,08/04/2020,10.80,12.19,10.34,11.99,GOL
GOLL4,09/04/2020,12.46,12.89,11.40,11.63,GOL
GOLL4,13/04/2020,11.30,11.89,11.14,11.45,GOL
GOLL4,14/04/2020,11.75,11.99,11.36,11.46,GOL
GOLL4,15/04/2020,11.14,12.34,10.97,12.28,GOL
GOLL4,16/04/2020,12.76,12.84,11.65,11.76,GOL
GOLL4,17/04/2020,12.25,12.36,11.80,12.00,GOL
GOLL4,20/04/2020,11.70,12.39,11.61,12.07,GOL
GOLL4,22/04/2020,12.05,12.24,11.87,11.90,GOL
GOLL4,23/04/2020,12.00,12.69,11.90,12.11,GOL
GOLL4,24/04/2020,11.90,12.02,10.55,10.67,GOL
GOLL4,27/04/2020,11.15,11.28,10.52,10.92,GOL
GOLL4,28/04/2020,11.36,12.33,11.08,12.19,GOL
GOLL4,29/04/2020,12.62,13.40,12.37,13.34,GOL
GOLL4,30/04/2020,12.87,13.10,12.23,12.40,GOL
GOLL4,04/05/2020,11.38,11.59,10.79,11.15,GOL
