Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
HAGA4,02/01/2020,2.60,2.60,2.29,2.41,HAGA S/A
HAGA4,03/01/2020,2.33,2.49,2.33,2.46,HAGA S/A
HAGA4,06/01/2020,2.46,2.46,2.32,2.35,HAGA S/A
HAGA4,07/01/2020,2.36,2.36,2.21,2.22,HAGA S/A
HAGA4,08/01/2020,2.33,2.48,2.21,2.37,HAGA S/A
HAGA4,09/01/2020,2.39,2.50,2.37,2.39,HAGA S/A
HAGA4,10/01/2020,2.45,2.62,2.44,2.55,HAGA S/A
HAGA4,13/01/2020,2.63,2.93,2.61,2.93,HAGA S/A
HAGA4,14/01/2020,2.96,3.22,2.96,3.19,HAGA S/A
HAGA4,15/01/2020,3.23,3.40,2.94,3.03,HAGA S/A
HAGA4,16/01/2020,3.10,3.21,2.91,2.98,HAGA S/A
HAGA4,17/01/2020,2.98,3.00,2.83,2.86,HAGA S/A
HAGA4,20/01/2020,3.03,3.09,2.90,2.99,HAGA S/A
HAGA4,21/01/2020,3.01,3.09,2.92,2.93,HAGA S/A
HAGA4,22/01/2020,2.94,2.96,2.85,2.95,HAGA S/A
HAGA4,23/01/2020,2.93,2.94,2.89,2.89,HAGA S/A
HAGA4,24/01/2020,2.93,2.93,2.84,2.88,HAGA S/A
HAGA4,27/01/2020,2.83,2.84,2.65,2.75,HAGA S/A
HAGA4,28/01/2020,2.72,2.78,2.62,2.62,HAGA S/A
HAGA4,29/01/2020,2.75,2.75,2.60,2.60,HAGA S/A
HAGA4,30/01/2020,2.54,2.54,2.30,2.49,HAGA S/A
HAGA4,31/01/2020,2.45,2.49,2.40,2.43,HAGA S/A
HAGA4,03/02/2020,2.44,2.90,2.32,2.79,HAGA S/A
HAGA4,04/02/2020,2.90,2.90,2.71,2.74,HAGA S/A
HAGA4,05/02/2020,2.73,2.79,2.62,2.62,HAGA S/A
HAGA4,06/02/2020,2.63,2.64,2.50,2.53,HAGA S/A
HAGA4,07/02/2020,2.49,2.53,2.43,2.43,HAGA S/A
HAGA4,10/02/2020,2.42,2.42,2.31,2.33,HAGA S/A
HAGA4,11/02/2020,2.45,2.69,2.35,2.57,HAGA S/A
HAGA4,12/02/2020,2.51,2.76,2.51,2.63,HAGA S/A
HAGA4,13/02/2020,2.63,2.63,2.50,2.60,HAGA S/A
HAGA4,14/02/2020,2.53,2.58,2.49,2.53,HAGA S/A
HAGA4,17/02/2020,2.54,2.54,2.46,2.48,HAGA S/A
HAGA4,18/02/2020,2.50,2.50,2.44,2.46,HAGA S/A
HAGA4,19/02/2020,2.43,2.56,2.36,2.46,HAGA S/A
HAGA4,20/02/2020,2.50,2.50,2.42,2.45,HAGA S/A
HAGA4,21/02/2020,2.42,2.47,2.38,2.40,HAGA S/A
HAGA4,26/02/2020,2.34,2.34,2.16,2.30,HAGA S/A
HAGA4,27/02/2020,2.13,2.27,2.13,2.21,HAGA S/A
HAGA4,28/02/2020,2.15,2.33,1.99,2.24,HAGA S/A
HAGA4,02/03/2020,2.24,2.39,2.20,2.31,HAGA S/A
HAGA4,03/03/2020,2.36,2.39,2.25,2.33,HAGA S/A
HAGA4,04/03/2020,2.33,2.34,2.26,2.34,HAGA S/A
HAGA4,05/03/2020,2.34,2.34,2.20,2.33,HAGA S/A
HAGA4,06/03/2020,2.20,2.24,2.01,2.23,HAGA S/A
HAGA4,09/03/2020,2.05,2.05,1.88,1.89,HAGA S/A
