Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
HBOR3,02/01/2020,4.60,4.66,4.52,4.60,HELBOR
HBOR3,03/01/2020,4.51,4.82,4.46,4.82,HELBOR
HBOR3,06/01/2020,4.78,4.78,4.62,4.65,HELBOR
HBOR3,07/01/2020,4.67,4.75,4.63,4.70,HELBOR
HBOR3,08/01/2020,4.68,4.69,4.53,4.60,HELBOR
HBOR3,09/01/2020,4.64,4.73,4.54,4.65,HELBOR
HBOR3,10/01/2020,4.71,4.88,4.66,4.67,HELBOR
HBOR3,13/01/2020,4.68,4.97,4.68,4.95,HELBOR
HBOR3,14/01/2020,4.97,5.05,4.87,4.96,HELBOR
HBOR3,15/01/2020,5.02,5.05,4.76,4.79,HELBOR
HBOR3,16/01/2020,4.81,4.88,4.55,4.66,HELBOR
HBOR3,17/01/2020,4.84,4.85,4.58,4.71,HELBOR
HBOR3,20/01/2020,4.74,4.78,4.66,4.78,HELBOR
HBOR3,21/01/2020,4.74,4.76,4.57,4.58,HELBOR
HBOR3,22/01/2020,4.61,4.66,4.43,4.64,HELBOR
HBOR3,23/01/2020,4.64,4.78,4.45,4.78,HELBOR
HBOR3,24/01/2020,4.80,4.83,4.55,4.59,HELBOR
HBOR3,27/01/2020,4.49,4.49,4.14,4.24,HELBOR
HBOR3,28/01/2020,4.31,4.42,4.18,4.40,HELBOR
HBOR3,29/01/2020,4.41,4.50,4.29,4.35,HELBOR
HBOR3,30/01/2020,4.22,4.44,4.02,4.38,HELBOR
HBOR3,31/01/2020,4.25,4.39,4.18,4.31,HELBOR
HBOR3,03/02/2020,4.26,4.46,4.24,4.39,HELBOR
HBOR3,04/02/2020,4.45,4.60,4.35,4.36,HELBOR
HBOR3,05/02/2020,4.42,4.48,4.18,4.26,HELBOR
HBOR3,06/02/2020,4.28,4.32,4.02,4.12,HELBOR
HBOR3,07/02/2020,4.03,4.11,3.89,4.00,HELBOR
HBOR3,10/02/2020,3.99,4.06,3.75,3.77,HELBOR
HBOR3,11/02/2020,3.85,4.12,3.82,3.97,HELBOR
HBOR3,12/02/2020,4.05,4.16,3.91,4.03,HELBOR
HBOR3,13/02/2020,3.91,4.09,3.91,4.05,HELBOR
HBOR3,14/02/2020,4.10,4.10,3.86,3.93,HELBOR
HBOR3,17/02/2020,4.00,4.13,3.84,4.12,HELBOR
HBOR3,18/02/2020,4.02,4.31,3.98,4.31,HELBOR
HBOR3,19/02/2020,4.26,4.29,4.19,4.20,HELBOR
HBOR3,20/02/2020,4.21,4.28,4.14,4.18,HELBOR
HBOR3,21/02/2020,4.16,4.29,4.04,4.19,HELBOR
HBOR3,26/02/2020,3.93,4.00,3.81,3.95,HELBOR
HBOR3,27/02/2020,3.88,3.97,3.52,3.52,HELBOR
HBOR3,28/02/2020,3.50,3.63,3.30,3.40,HELBOR
HBOR3,02/03/2020,3.48,3.84,3.48,3.67,HELBOR
HBOR3,03/03/2020,3.76,3.94,3.55,3.64,HELBOR
HBOR3,04/03/2020,3.79,3.81,3.64,3.70,HELBOR
HBOR3,05/03/2020,3.69,3.69,3.18,3.27,HELBOR
HBOR3,06/03/2020,3.05,3.35,3.00,3.17,HELBOR
HBOR3,09/03/2020,2.72,2.98,2.65,2.72,HELBOR
HBOR3,10/03/2020,2.97,3.07,2.76,2.90,HELBOR
HBOR3,11/03/2020,2.88,2.97,2.53,2.70,HELBOR
HBOR3,12/03/2020,2.40,2.50,2.01,2.08,HELBOR
HBOR3,13/03/2020,2.42,2.46,2.05,2.30,HELBOR
