Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
HGTX3,02/01/2020,34.40,34.83,34.06,34.56,CIA HERING
HGTX3,03/01/2020,34.05,35.50,33.83,34.98,CIA HERING
HGTX3,06/01/2020,34.98,34.98,34.00,34.00,CIA HERING
HGTX3,07/01/2020,34.24,34.24,32.51,32.64,CIA HERING
HGTX3,08/01/2020,32.75,32.79,31.79,31.88,CIA HERING
HGTX3,09/01/2020,31.99,32.35,31.73,31.93,CIA HERING
HGTX3,10/01/2020,32.27,32.27,31.39,32.08,CIA HERING
HGTX3,13/01/2020,31.87,33.24,31.02,32.87,CIA HERING
HGTX3,14/01/2020,32.91,33.40,32.29,33.30,CIA HERING
HGTX3,15/01/2020,33.16,33.16,32.02,32.21,CIA HERING
HGTX3,16/01/2020,32.34,32.74,32.08,32.30,CIA HERING
HGTX3,17/01/2020,32.37,32.56,31.73,31.80,CIA HERING
HGTX3,20/01/2020,31.80,31.80,30.87,31.37,CIA HERING
HGTX3,21/01/2020,29.50,29.50,27.23,27.42,CIA HERING
HGTX3,22/01/2020,27.85,28.20,27.11,27.40,CIA HERING
HGTX3,23/01/2020,27.48,27.48,26.71,26.80,CIA HERING
HGTX3,24/01/2020,26.90,27.55,26.85,27.28,CIA HERING
HGTX3,27/01/2020,26.81,27.04,26.19,26.30,CIA HERING
HGTX3,28/01/2020,26.50,26.74,26.29,26.45,CIA HERING
HGTX3,29/01/2020,26.56,26.74,26.03,26.38,CIA HERING
HGTX3,30/01/2020,26.01,26.01,25.14,25.79,CIA HERING
HGTX3,31/01/2020,25.60,25.71,24.78,24.82,CIA HERING
HGTX3,03/02/2020,24.85,25.78,24.71,25.00,CIA HERING
HGTX3,04/02/2020,25.26,26.30,25.26,25.86,CIA HERING
HGTX3,05/02/2020,26.22,26.40,25.21,25.52,CIA HERING
HGTX3,06/02/2020,25.65,25.94,25.17,25.30,CIA HERING
HGTX3,07/02/2020,25.28,25.30,24.42,24.68,CIA HERING
HGTX3,10/02/2020,24.80,25.46,24.33,24.50,CIA HERING
HGTX3,11/02/2020,24.75,24.97,24.38,24.50,CIA HERING
HGTX3,12/02/2020,24.65,25.45,24.45,24.92,CIA HERING
HGTX3,13/02/2020,24.94,25.80,24.58,25.50,CIA HERING
HGTX3,14/02/2020,25.71,25.98,24.87,24.95,CIA HERING
HGTX3,17/02/2020,25.02,25.43,25.00,25.06,CIA HERING
HGTX3,18/02/2020,24.95,25.66,24.73,25.66,CIA HERING
HGTX3,19/02/2020,25.66,25.69,24.92,24.92,CIA HERING
HGTX3,20/02/2020,24.92,24.93,23.93,24.11,CIA HERING
HGTX3,21/02/2020,23.96,24.29,23.61,23.83,CIA HERING
HGTX3,26/02/2020,22.80,23.02,22.51,22.71,CIA HERING
HGTX3,27/02/2020,22.27,22.80,21.61,21.90,CIA HERING
HGTX3,28/02/2020,21.87,22.54,21.17,22.54,CIA HERING
HGTX3,02/03/2020,22.76,22.99,22.00,22.99,CIA HERING
HGTX3,03/03/2020,22.80,23.51,22.39,22.74,CIA HERING
HGTX3,04/03/2020,23.01,23.37,22.56,23.10,CIA HERING
HGTX3,05/03/2020,22.94,23.14,21.22,21.75,CIA HERING
HGTX3,06/03/2020,20.80,21.32,20.07,20.95,CIA HERING
HGTX3,09/03/2020,19.20,19.90,18.50,18.90,CIA HERING
HGTX3,10/03/2020,19.60,20.54,19.00,20.45,CIA HERING
HGTX3,11/03/2020,19.52,19.80,17.50,19.09,CIA HERING
HGTX3,12/03/2020,17.95,17.95,14.69,15.01,CIA HERING
HGTX3,13/03/2020,16.21,18.34,15.56,16.61,CIA HERING
HGTX3,16/03/2020,14.95,14.95,13.66,13.99,CIA HERING
HGTX3,17/03/2020,14.54,15.20,13.21,15.18,CIA HERING
HGTX3,18/03/2020,13.55,14.39,11.73,12.64,CIA HERING
HGTX3,19/03/2020,10.88,13.95,10.51,13.42,CIA HERING
HGTX3,20/03/2020,14.00,15.07,12.88,13.50,CIA HERING
HGTX3,23/03/2020,13.56,13.56,10.71,11.18,CIA HERING
HGTX3,24/03/2020,12.00,12.65,11.42,12.28,CIA HERING
HGTX3,25/03/2020,12.22,15.78,12.14,14.99,CIA HERING
HGTX3,26/03/2020,15.00,16.95,14.85,16.41,CIA HERING
HGTX3,27/03/2020,15.80,15.89,15.04,15.65,CIA HERING
HGTX3,30/03/2020,15.77,16.11,15.05,15.25,CIA HERING
HGTX3,31/03/2020,15.31,15.66,14.51,14.88,CIA HERING
HGTX3,01/04/2020,14.10,14.33,13.04,13.53,CIA HERING
HGTX3,02/04/2020,13.69,14.53,13.59,14.15,CIA HERING
HGTX3,03/04/2020,13.98,14.10,12.87,13.29,CIA HERING
HGTX3,06/04/2020,14.10,14.51,13.56,13.80,CIA HERING
HGTX3,07/04/2020,14.50,15.15,13.61,13.79,CIA HERING
HGTX3,08/04/2020,13.91,14.19,13.31,13.93,CIA HERING
HGTX3,09/04/2020,14.02,15.35,14.00,14.45,CIA HERING
HGTX3,13/04/2020,14.45,14.60,13.75,14.06,CIA HERING
HGTX3,14/04/2020,14.40,15.15,14.00,14.08,CIA HERING
HGTX3,15/04/2020,14.00,14.75,13.66,14.46,CIA HERING
HGTX3,16/04/2020,14.60,14.87,14.11,14.47,CIA HERING
HGTX3,17/04/2020,14.95,15.09,13.46,13.70,CIA HERING
HGTX3,20/04/2020,13.56,14.44,13.25,14.44,CIA HERING
HGTX3,22/04/2020,14.35,15.64,14.27,15.40,CIA HERING
HGTX3,23/04/2020,15.50,15.81,14.41,14.87,CIA HERING
HGTX3,24/04/2020,14.47,14.54,12.72,13.28,CIA HERING
HGTX3,27/04/2020,13.69,13.82,13.20,13.66,CIA HERING
HGTX3,28/04/2020,14.02,15.42,13.88,15.29,CIA HERING
HGTX3,29/04/2020,15.60,16.22,15.19,15.38,CIA HERING
HGTX3,30/04/2020,15.11,15.30,14.28,14.96,CIA HERING
HGTX3,04/05/2020,14.30,14.51,13.70,14.31,CIA HERING
HGTX3,05/05/2020,14.40,14.82,13.81,13.86,CIA HERING
HGTX3,06/05/2020,13.94,14.18,13.37,13.45,CIA HERING
HGTX3,07/05/2020,13.68,13.71,12.56,12.70,CIA HERING
