Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
HYPE3,02/01/2020,35.55,36.16,35.32,36.00,HYPERA
HYPE3,03/01/2020,35.55,36.97,35.06,36.74,HYPERA
HYPE3,06/01/2020,36.59,36.60,35.75,35.90,HYPERA
HYPE3,07/01/2020,36.05,36.05,35.38,35.55,HYPERA
HYPE3,08/01/2020,35.88,35.88,34.73,35.09,HYPERA
HYPE3,09/01/2020,35.10,35.89,35.04,35.84,HYPERA
HYPE3,10/01/2020,35.98,36.29,35.70,36.03,HYPERA
HYPE3,13/01/2020,36.03,37.26,36.03,37.19,HYPERA
HYPE3,14/01/2020,37.21,37.81,36.72,37.81,HYPERA
HYPE3,15/01/2020,37.68,37.89,37.27,37.32,HYPERA
HYPE3,16/01/2020,37.47,37.81,37.15,37.50,HYPERA
HYPE3,17/01/2020,37.51,37.67,37.08,37.42,HYPERA
HYPE3,20/01/2020,37.57,37.75,37.05,37.75,HYPERA
HYPE3,21/01/2020,37.75,37.75,36.51,36.51,HYPERA
HYPE3,22/01/2020,36.66,37.14,35.09,35.60,HYPERA
HYPE3,23/01/2020,35.60,35.79,34.64,35.48,HYPERA
HYPE3,24/01/2020,35.62,35.73,34.65,35.03,HYPERA
HYPE3,27/01/2020,34.60,34.69,33.98,34.13,HYPERA
HYPE3,28/01/2020,34.07,34.52,33.59,33.81,HYPERA
HYPE3,29/01/2020,33.81,35.20,33.69,34.75,HYPERA
HYPE3,30/01/2020,34.37,35.45,34.12,35.45,HYPERA
HYPE3,31/01/2020,35.31,36.14,34.72,35.57,HYPERA
HYPE3,03/02/2020,35.44,36.71,35.33,36.51,HYPERA
HYPE3,04/02/2020,36.87,37.78,36.55,37.74,HYPERA
HYPE3,05/02/2020,38.00,38.46,37.59,38.29,HYPERA
HYPE3,06/02/2020,38.44,39.11,37.80,38.05,HYPERA
HYPE3,07/02/2020,37.90,38.88,37.40,38.63,HYPERA
HYPE3,10/02/2020,38.72,38.84,37.75,38.05,HYPERA
HYPE3,11/02/2020,38.20,38.79,37.27,38.65,HYPERA
HYPE3,12/02/2020,38.80,39.71,37.96,39.00,HYPERA
HYPE3,13/02/2020,38.46,38.50,37.65,38.50,HYPERA
HYPE3,14/02/2020,38.23,38.23,36.78,37.33,HYPERA
HYPE3,17/02/2020,37.32,37.77,37.15,37.48,HYPERA
HYPE3,18/02/2020,37.33,37.35,36.06,36.39,HYPERA
HYPE3,19/02/2020,36.39,36.69,36.01,36.65,HYPERA
HYPE3,20/02/2020,36.45,36.89,35.88,36.22,HYPERA
HYPE3,21/02/2020,36.07,36.72,35.55,36.20,HYPERA
HYPE3,26/02/2020,34.87,35.80,34.53,34.95,HYPERA
HYPE3,27/02/2020,34.46,34.89,33.90,34.06,HYPERA
HYPE3,28/02/2020,33.94,34.43,32.68,34.30,HYPERA
HYPE3,02/03/2020,37.01,40.99,36.94,40.00,HYPERA
HYPE3,03/03/2020,40.10,42.80,40.07,41.05,HYPERA
HYPE3,04/03/2020,42.00,42.68,40.83,41.78,HYPERA
HYPE3,05/03/2020,41.69,41.75,40.08,40.70,HYPERA
HYPE3,06/03/2020,39.00,40.06,38.55,39.62,HYPERA
HYPE3,09/03/2020,37.25,37.99,34.73,35.50,HYPERA
HYPE3,10/03/2020,36.30,37.82,35.34,37.21,HYPERA
HYPE3,11/03/2020,35.98,36.58,33.27,34.80,HYPERA
HYPE3,12/03/2020,32.00,32.60,29.98,31.07,HYPERA
HYPE3,13/03/2020,35.73,37.28,30.27,33.40,HYPERA
HYPE3,16/03/2020,30.00,30.83,28.11,28.32,HYPERA
HYPE3,17/03/2020,29.00,33.09,28.21,31.19,HYPERA
HYPE3,18/03/2020,28.96,31.19,26.07,29.24,HYPERA
HYPE3,19/03/2020,29.16,31.42,27.34,31.26,HYPERA
HYPE3,20/03/2020,32.01,32.39,28.78,29.25,HYPERA
HYPE3,23/03/2020,29.00,29.39,26.10,26.80,HYPERA
HYPE3,24/03/2020,28.67,31.53,28.03,28.97,HYPERA
HYPE3,25/03/2020,28.17,33.81,28.17,32.72,HYPERA
HYPE3,26/03/2020,32.96,33.98,31.54,31.95,HYPERA
HYPE3,27/03/2020,30.00,32.05,29.84,31.33,HYPERA
HYPE3,30/03/2020,30.91,31.36,30.18,30.70,HYPERA
HYPE3,31/03/2020,30.70,30.70,28.14,28.59,HYPERA
HYPE3,01/04/2020,27.59,28.29,26.52,27.21,HYPERA
HYPE3,02/04/2020,27.31,29.52,27.21,29.52,HYPERA
HYPE3,03/04/2020,29.40,30.30,27.91,28.72,HYPERA
HYPE3,06/04/2020,30.49,30.88,28.88,29.76,HYPERA
HYPE3,07/04/2020,31.45,32.21,30.05,30.05,HYPERA
HYPE3,08/04/2020,30.30,32.70,29.96,32.12,HYPERA
HYPE3,09/04/2020,31.75,32.54,31.23,31.46,HYPERA
HYPE3,13/04/2020,31.30,31.55,30.10,31.16,HYPERA
