Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
IDNT3,02/01/2020,3.30,3.50,3.30,3.44,IDEIASNET
IDNT3,03/01/2020,3.40,3.65,3.35,3.55,IDEIASNET
IDNT3,06/01/2020,3.48,3.51,3.38,3.38,IDEIASNET
IDNT3,07/01/2020,3.38,3.42,3.33,3.41,IDEIASNET
IDNT3,08/01/2020,3.40,3.46,3.33,3.34,IDEIASNET
IDNT3,09/01/2020,3.35,3.40,3.26,3.33,IDEIASNET
IDNT3,10/01/2020,3.37,3.44,3.32,3.34,IDEIASNET
IDNT3,13/01/2020,3.34,3.83,3.31,3.82,IDEIASNET
IDNT3,14/01/2020,4.01,4.13,3.82,3.84,IDEIASNET
IDNT3,15/01/2020,3.92,4.03,3.82,3.88,IDEIASNET
IDNT3,16/01/2020,3.92,4.03,3.71,3.76,IDEIASNET
IDNT3,17/01/2020,3.76,3.94,3.75,3.89,IDEIASNET
IDNT3,20/01/2020,4.06,5.05,4.06,4.99,IDEIASNET
IDNT3,21/01/2020,5.11,5.33,4.31,4.40,IDEIASNET
IDNT3,22/01/2020,4.60,4.78,4.40,4.70,IDEIASNET
IDNT3,23/01/2020,4.86,4.87,4.55,4.58,IDEIASNET
IDNT3,24/01/2020,4.50,4.57,4.34,4.47,IDEIASNET
IDNT3,27/01/2020,4.35,4.35,4.00,4.05,IDEIASNET
IDNT3,28/01/2020,4.20,4.28,4.00,4.08,IDEIASNET
IDNT3,29/01/2020,4.10,4.14,3.80,3.90,IDEIASNET
IDNT3,30/01/2020,3.72,3.75,3.40,3.55,IDEIASNET
IDNT3,31/01/2020,3.56,3.70,3.55,3.56,IDEIASNET
IDNT3,03/02/2020,3.52,4.00,3.45,3.99,IDEIASNET
IDNT3,04/02/2020,4.13,4.21,3.95,4.04,IDEIASNET
IDNT3,05/02/2020,4.09,4.29,3.96,3.99,IDEIASNET
IDNT3,06/02/2020,4.05,4.06,3.70,3.76,IDEIASNET
IDNT3,07/02/2020,3.77,3.88,3.56,3.74,IDEIASNET
IDNT3,10/02/2020,3.64,3.83,3.53,3.60,IDEIASNET
IDNT3,11/02/2020,3.61,3.70,3.55,3.61,IDEIASNET
IDNT3,12/02/2020,3.61,3.70,3.50,3.63,IDEIASNET
