Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
IDVL3,02/01/2020,3.89,3.98,3.70,3.90,INDUSVAL
IDVL3,03/01/2020,3.89,3.89,3.55,3.60,INDUSVAL
IDVL3,06/01/2020,3.71,3.73,3.45,3.60,INDUSVAL
IDVL3,07/01/2020,3.66,3.70,3.45,3.70,INDUSVAL
IDVL3,08/01/2020,3.71,3.71,3.42,3.42,INDUSVAL
IDVL3,09/01/2020,3.56,3.57,3.45,3.45,INDUSVAL
IDVL3,10/01/2020,3.45,3.57,3.43,3.45,INDUSVAL
IDVL3,13/01/2020,3.45,3.70,3.44,3.60,INDUSVAL
IDVL3,14/01/2020,3.80,4.58,3.67,3.96,INDUSVAL
IDVL3,15/01/2020,4.05,4.27,3.81,3.98,INDUSVAL
IDVL3,16/01/2020,4.00,4.04,3.82,3.90,INDUSVAL
IDVL3,17/01/2020,3.90,3.92,3.53,3.73,INDUSVAL
IDVL3,20/01/2020,3.77,3.99,3.76,3.90,INDUSVAL
IDVL3,21/01/2020,3.93,4.03,3.75,3.75,INDUSVAL
IDVL3,22/01/2020,3.84,3.85,3.70,3.76,INDUSVAL
IDVL3,23/01/2020,3.67,3.80,3.67,3.75,INDUSVAL
IDVL3,24/01/2020,3.81,3.81,3.74,3.75,INDUSVAL
IDVL3,27/01/2020,3.75,3.75,3.46,3.64,INDUSVAL
IDVL3,28/01/2020,3.65,3.84,3.60,3.70,INDUSVAL
IDVL3,29/01/2020,3.70,3.70,3.59,3.63,INDUSVAL
IDVL3,30/01/2020,3.55,3.68,3.47,3.65,INDUSVAL
IDVL3,31/01/2020,3.64,4.15,3.57,3.93,INDUSVAL
IDVL3,03/02/2020,3.90,3.90,3.70,3.75,INDUSVAL
IDVL3,04/02/2020,3.85,3.89,3.71,3.71,INDUSVAL
IDVL3,05/02/2020,3.85,3.85,3.69,3.71,INDUSVAL
IDVL3,06/02/2020,3.80,3.80,3.66,3.66,INDUSVAL
IDVL3,07/02/2020,3.72,3.79,3.65,3.77,INDUSVAL
IDVL3,10/02/2020,3.87,3.87,3.64,3.76,INDUSVAL
IDVL3,11/02/2020,3.70,3.79,3.70,3.79,INDUSVAL
