Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
IRBR3,02/01/2020,39.00,40.07,38.51,39.89,IRBBRASIL RE
IRBR3,03/01/2020,39.05,40.05,39.05,39.58,IRBBRASIL RE
IRBR3,06/01/2020,39.60,39.74,38.77,39.21,IRBBRASIL RE
IRBR3,07/01/2020,39.23,39.54,38.86,39.47,IRBBRASIL RE
IRBR3,08/01/2020,39.50,39.77,39.01,39.62,IRBBRASIL RE
IRBR3,09/01/2020,39.56,41.40,39.46,41.15,IRBBRASIL RE
IRBR3,10/01/2020,41.30,41.39,40.80,41.17,IRBBRASIL RE
IRBR3,13/01/2020,41.40,42.44,41.09,41.52,IRBBRASIL RE
IRBR3,14/01/2020,41.35,41.78,40.95,41.24,IRBBRASIL RE
IRBR3,15/01/2020,41.00,42.49,40.87,42.21,IRBBRASIL RE
IRBR3,16/01/2020,42.70,42.70,41.25,41.80,IRBBRASIL RE
IRBR3,17/01/2020,41.70,43.21,41.70,43.21,IRBBRASIL RE
IRBR3,20/01/2020,43.03,44.19,42.82,43.85,IRBBRASIL RE
IRBR3,21/01/2020,43.50,43.81,43.00,43.01,IRBBRASIL RE
IRBR3,22/01/2020,43.20,44.90,43.17,44.90,IRBBRASIL RE
IRBR3,23/01/2020,44.27,44.78,43.81,43.88,IRBBRASIL RE
IRBR3,24/01/2020,43.86,44.17,42.82,42.82,IRBBRASIL RE
IRBR3,27/01/2020,42.40,42.78,41.58,41.90,IRBBRASIL RE
IRBR3,28/01/2020,42.25,44.45,42.06,44.31,IRBBRASIL RE
IRBR3,29/01/2020,44.58,44.78,43.69,44.00,IRBBRASIL RE
IRBR3,30/01/2020,43.94,44.65,43.23,44.17,IRBBRASIL RE
IRBR3,31/01/2020,44.17,45.09,43.37,44.83,IRBBRASIL RE
IRBR3,03/02/2020,38.00,42.98,37.76,40.77,IRBBRASIL RE
IRBR3,04/02/2020,41.80,42.40,40.10,41.29,IRBBRASIL RE
IRBR3,05/02/2020,41.56,42.70,40.90,42.50,IRBBRASIL RE
IRBR3,06/02/2020,42.84,43.76,42.36,42.65,IRBBRASIL RE
IRBR3,07/02/2020,42.23,42.64,39.27,39.53,IRBBRASIL RE
IRBR3,10/02/2020,37.95,38.15,32.72,33.01,IRBBRASIL RE
IRBR3,11/02/2020,34.10,34.99,32.20,34.65,IRBBRASIL RE
IRBR3,12/02/2020,35.11,35.20,33.61,33.70,IRBBRASIL RE
IRBR3,13/02/2020,33.09,33.41,32.40,32.80,IRBBRASIL RE
IRBR3,14/02/2020,33.00,34.89,32.87,34.65,IRBBRASIL RE
IRBR3,17/02/2020,34.91,37.00,34.00,36.60,IRBBRASIL RE
IRBR3,18/02/2020,36.19,37.69,35.00,36.30,IRBBRASIL RE
IRBR3,19/02/2020,38.75,39.00,36.31,36.67,IRBBRASIL RE
IRBR3,20/02/2020,36.60,37.20,34.11,34.39,IRBBRASIL RE
IRBR3,21/02/2020,34.43,34.43,32.31,32.52,IRBBRASIL RE
IRBR3,26/02/2020,30.14,32.20,29.72,32.00,IRBBRASIL RE
IRBR3,27/02/2020,32.05,35.24,32.05,34.13,IRBBRASIL RE
IRBR3,28/02/2020,33.02,33.91,31.81,33.25,IRBBRASIL RE
IRBR3,02/03/2020,32.80,33.43,30.35,30.35,IRBBRASIL RE
IRBR3,03/03/2020,30.85,31.69,28.00,28.00,IRBBRASIL RE
IRBR3,04/03/2020,21.10,22.00,16.31,19.05,IRBBRASIL RE
IRBR3,05/03/2020,20.00,20.15,15.36,15.97,IRBBRASIL RE
IRBR3,06/03/2020,15.50,17.77,15.36,16.37,IRBBRASIL RE
IRBR3,09/03/2020,15.00,15.60,13.61,13.76,IRBBRASIL RE
IRBR3,10/03/2020,15.15,15.38,13.03,13.70,IRBBRASIL RE
IRBR3,11/03/2020,13.50,14.45,12.16,12.70,IRBBRASIL RE
IRBR3,12/03/2020,11.00,11.69,8.82,9.15,IRBBRASIL RE
IRBR3,13/03/2020,11.00,11.00,9.01,10.00,IRBBRASIL RE
IRBR3,16/03/2020,8.85,9.36,8.61,8.75,IRBBRASIL RE
IRBR3,17/03/2020,9.10,9.39,8.50,8.85,IRBBRASIL RE
IRBR3,18/03/2020,8.32,8.33,6.75,7.20,IRBBRASIL RE
IRBR3,19/03/2020,6.90,7.94,6.43,7.59,IRBBRASIL RE
IRBR3,20/03/2020,8.08,8.99,7.21,7.30,IRBBRASIL RE
IRBR3,23/03/2020,7.45,7.46,6.56,7.00,IRBBRASIL RE
IRBR3,24/03/2020,7.78,8.40,7.31,8.18,IRBBRASIL RE
IRBR3,25/03/2020,8.18,9.15,7.94,9.00,IRBBRASIL RE
IRBR3,26/03/2020,8.57,10.91,8.57,9.93,IRBBRASIL RE
IRBR3,27/03/2020,9.54,10.84,9.27,10.40,IRBBRASIL RE
IRBR3,30/03/2020,10.80,11.82,10.59,10.74,IRBBRASIL RE
IRBR3,31/03/2020,10.99,10.99,9.37,9.68,IRBBRASIL RE
IRBR3,01/04/2020,9.05,9.35,8.78,9.31,IRBBRASIL RE
IRBR3,02/04/2020,9.49,9.78,8.90,9.17,IRBBRASIL RE
IRBR3,03/04/2020,9.01,9.10,8.23,8.59,IRBBRASIL RE
IRBR3,06/04/2020,9.25,10.18,9.03,10.18,IRBBRASIL RE
IRBR3,07/04/2020,11.30,11.46,10.18,10.20,IRBBRASIL RE
IRBR3,08/04/2020,9.75,10.20,9.65,10.14,IRBBRASIL RE
IRBR3,09/04/2020,10.28,10.70,9.86,10.10,IRBBRASIL RE
IRBR3,13/04/2020,10.10,10.52,9.96,10.39,IRBBRASIL RE
IRBR3,14/04/2020,10.67,12.41,10.58,11.98,IRBBRASIL RE
IRBR3,15/04/2020,11.67,12.83,11.40,11.84,IRBBRASIL RE
IRBR3,16/04/2020,12.31,12.39,11.66,11.81,IRBBRASIL RE
IRBR3,17/04/2020,12.21,12.38,11.81,11.92,IRBBRASIL RE
