Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ITSA3,02/01/2020,14.12,14.21,14.01,14.21,ITAUSA
ITSA3,03/01/2020,14.03,14.25,14.03,14.24,ITAUSA
ITSA3,06/01/2020,14.20,14.20,14.01,14.10,ITAUSA
ITSA3,07/01/2020,14.10,14.12,13.86,13.96,ITAUSA
ITSA3,08/01/2020,14.00,14.05,13.65,13.78,ITAUSA
ITSA3,09/01/2020,13.78,13.80,13.48,13.58,ITAUSA
ITSA3,10/01/2020,13.58,13.74,13.41,13.52,ITAUSA
ITSA3,13/01/2020,13.55,13.72,13.48,13.70,ITAUSA
ITSA3,14/01/2020,13.74,13.75,13.53,13.75,ITAUSA
ITSA3,15/01/2020,13.77,13.95,13.31,13.55,ITAUSA
ITSA3,16/01/2020,13.58,13.64,13.51,13.54,ITAUSA
ITSA3,17/01/2020,13.56,13.73,13.56,13.68,ITAUSA
ITSA3,20/01/2020,13.68,13.72,13.46,13.55,ITAUSA
ITSA3,21/01/2020,13.55,13.58,13.30,13.30,ITAUSA
ITSA3,22/01/2020,13.31,13.53,13.31,13.50,ITAUSA
ITSA3,23/01/2020,13.50,13.77,13.39,13.74,ITAUSA
ITSA3,24/01/2020,13.75,13.82,13.53,13.61,ITAUSA
ITSA3,27/01/2020,13.58,13.58,13.22,13.30,ITAUSA
ITSA3,28/01/2020,13.46,13.46,13.30,13.35,ITAUSA
ITSA3,29/01/2020,13.35,13.42,13.18,13.32,ITAUSA
ITSA3,30/01/2020,13.20,13.49,12.98,13.49,ITAUSA
ITSA3,31/01/2020,13.44,13.44,13.10,13.12,ITAUSA
ITSA3,03/02/2020,13.12,13.27,13.05,13.21,ITAUSA
ITSA3,04/02/2020,13.26,13.40,13.12,13.23,ITAUSA
ITSA3,05/02/2020,13.27,13.50,13.17,13.25,ITAUSA
ITSA3,06/02/2020,13.27,13.36,13.11,13.15,ITAUSA
ITSA3,07/02/2020,13.16,13.32,13.05,13.11,ITAUSA
ITSA3,10/02/2020,13.14,13.35,13.05,13.26,ITAUSA
ITSA3,11/02/2020,13.31,13.57,13.31,13.45,ITAUSA
ITSA3,12/02/2020,13.48,13.68,13.45,13.55,ITAUSA
ITSA3,13/02/2020,13.48,13.59,13.37,13.54,ITAUSA
ITSA3,14/02/2020,13.53,13.55,13.38,13.40,ITAUSA
ITSA3,17/02/2020,13.43,13.54,13.37,13.38,ITAUSA
ITSA3,18/02/2020,13.44,13.55,13.23,13.55,ITAUSA
ITSA3,19/02/2020,13.60,13.89,13.49,13.89,ITAUSA
ITSA3,20/02/2020,13.90,13.90,13.65,13.68,ITAUSA
ITSA3,21/02/2020,13.19,13.28,13.09,13.15,ITAUSA
ITSA3,26/02/2020,12.79,12.79,12.41,12.64,ITAUSA
ITSA3,27/02/2020,12.50,12.85,12.36,12.55,ITAUSA
ITSA3,28/02/2020,12.49,12.74,12.33,12.74,ITAUSA
ITSA3,02/03/2020,12.89,13.11,12.76,13.01,ITAUSA
ITSA3,03/03/2020,13.09,13.13,12.75,12.76,ITAUSA
ITSA3,04/03/2020,13.00,13.00,12.76,12.92,ITAUSA
ITSA3,05/03/2020,12.85,12.96,12.55,12.85,ITAUSA
ITSA3,06/03/2020,12.58,12.68,12.31,12.60,ITAUSA
ITSA3,09/03/2020,11.90,12.13,11.65,12.10,ITAUSA
ITSA3,10/03/2020,12.35,12.88,12.15,12.45,ITAUSA
ITSA3,11/03/2020,12.28,12.32,11.41,11.70,ITAUSA
ITSA3,12/03/2020,10.95,11.55,10.40,10.79,ITAUSA
ITSA3,13/03/2020,11.56,12.15,10.83,11.10,ITAUSA
ITSA3,16/03/2020,10.68,11.48,10.25,10.99,ITAUSA
ITSA3,17/03/2020,11.11,11.36,10.69,10.90,ITAUSA
ITSA3,18/03/2020,10.66,10.84,10.10,10.68,ITAUSA
ITSA3,19/03/2020,10.35,10.59,9.86,10.26,ITAUSA
ITSA3,20/03/2020,10.90,10.92,9.92,9.95,ITAUSA
ITSA3,23/03/2020,9.89,10.12,9.19,9.29,ITAUSA
ITSA3,24/03/2020,9.78,10.06,9.57,9.75,ITAUSA
ITSA3,25/03/2020,9.79,10.27,9.78,9.82,ITAUSA
ITSA3,26/03/2020,9.81,10.22,9.75,9.81,ITAUSA
ITSA3,27/03/2020,9.74,10.00,9.41,9.89,ITAUSA
