Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
JBDU4,02/01/2020,2.13,2.40,2.13,2.17,J B DUARTE
JBDU4,03/01/2020,2.28,2.28,2.08,2.11,J B DUARTE
JBDU4,06/01/2020,2.10,2.12,2.05,2.05,J B DUARTE
JBDU4,07/01/2020,2.09,2.09,1.98,2.00,J B DUARTE
JBDU4,08/01/2020,2.01,2.71,2.00,2.71,J B DUARTE
JBDU4,09/01/2020,2.90,3.10,2.33,2.36,J B DUARTE
JBDU4,10/01/2020,2.49,2.52,2.20,2.20,J B DUARTE
JBDU4,13/01/2020,2.26,2.36,2.12,2.17,J B DUARTE
JBDU4,14/01/2020,2.15,2.30,2.14,2.22,J B DUARTE
JBDU4,15/01/2020,2.28,2.28,2.21,2.21,J B DUARTE
JBDU4,16/01/2020,2.21,2.38,2.18,2.28,J B DUARTE
JBDU4,17/01/2020,2.27,2.75,2.25,2.55,J B DUARTE
JBDU4,20/01/2020,2.83,3.94,2.62,3.94,J B DUARTE
JBDU4,21/01/2020,4.37,4.54,2.90,3.16,J B DUARTE
JBDU4,22/01/2020,3.39,3.39,2.89,3.30,J B DUARTE
JBDU4,23/01/2020,3.30,3.45,3.06,3.18,J B DUARTE
JBDU4,24/01/2020,3.18,3.27,3.11,3.20,J B DUARTE
JBDU4,27/01/2020,3.00,3.07,2.90,2.91,J B DUARTE
JBDU4,28/01/2020,2.95,3.12,2.80,2.84,J B DUARTE
JBDU4,29/01/2020,2.85,2.90,2.70,2.81,J B DUARTE
JBDU4,30/01/2020,2.71,2.72,2.58,2.65,J B DUARTE
JBDU4,31/01/2020,2.56,2.69,2.50,2.56,J B DUARTE
JBDU4,03/02/2020,2.56,2.73,2.49,2.71,J B DUARTE
JBDU4,04/02/2020,2.73,2.83,2.66,2.68,J B DUARTE
JBDU4,05/02/2020,2.70,2.70,2.62,2.63,J B DUARTE
JBDU4,06/02/2020,2.68,2.68,2.58,2.61,J B DUARTE
JBDU4,07/02/2020,2.57,2.57,2.42,2.50,J B DUARTE
JBDU4,10/02/2020,2.48,2.48,2.25,2.33,J B DUARTE
JBDU4,11/02/2020,2.33,2.63,2.33,2.47,J B DUARTE
JBDU4,12/02/2020,2.57,2.58,2.40,2.45,J B DUARTE
JBDU4,13/02/2020,2.37,2.48,2.37,2.45,J B DUARTE
JBDU4,14/02/2020,2.46,2.46,2.40,2.41,J B DUARTE
JBDU4,17/02/2020,2.41,2.41,2.30,2.31,J B DUARTE
JBDU4,18/02/2020,2.30,2.31,2.22,2.25,J B DUARTE
JBDU4,19/02/2020,2.23,2.31,2.22,2.22,J B DUARTE
JBDU4,20/02/2020,2.24,2.29,2.21,2.28,J B DUARTE
JBDU4,21/02/2020,2.28,2.39,2.28,2.28,J B DUARTE
JBDU4,26/02/2020,2.10,2.15,1.90,2.12,J B DUARTE
JBDU4,27/02/2020,2.10,2.26,2.01,2.15,J B DUARTE
JBDU4,28/02/2020,2.10,2.10,1.95,1.99,J B DUARTE
