Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
JBSS3,02/01/2020,26.14,27.20,25.70,27.20,JBS
JBSS3,03/01/2020,27.00,27.86,26.61,27.47,JBS
JBSS3,06/01/2020,27.23,27.44,26.53,26.82,JBS
JBSS3,07/01/2020,27.00,27.30,26.51,27.30,JBS
JBSS3,08/01/2020,27.93,28.50,27.55,27.97,JBS
JBSS3,09/01/2020,27.97,28.31,27.90,28.31,JBS
JBSS3,10/01/2020,28.34,28.63,27.73,28.16,JBS
JBSS3,13/01/2020,28.27,28.73,28.21,28.73,JBS
JBSS3,14/01/2020,28.75,28.95,28.37,28.70,JBS
JBSS3,15/01/2020,28.41,29.01,28.28,28.61,JBS
JBSS3,16/01/2020,28.80,29.00,28.33,28.81,JBS
JBSS3,17/01/2020,28.90,29.85,28.75,29.75,JBS
JBSS3,20/01/2020,29.76,29.88,29.25,29.82,JBS
JBSS3,21/01/2020,29.70,30.68,29.67,30.09,JBS
JBSS3,22/01/2020,29.85,30.18,28.88,30.05,JBS
JBSS3,23/01/2020,29.95,30.08,29.04,29.82,JBS
JBSS3,24/01/2020,29.80,29.80,29.10,29.30,JBS
JBSS3,27/01/2020,28.57,28.57,27.00,27.30,JBS
JBSS3,28/01/2020,28.30,28.73,27.61,28.19,JBS
JBSS3,29/01/2020,28.50,28.71,27.36,27.39,JBS
JBSS3,30/01/2020,27.00,27.20,26.30,26.95,JBS
JBSS3,31/01/2020,26.90,27.69,26.58,27.58,JBS
JBSS3,03/02/2020,28.20,28.60,27.62,28.12,JBS
JBSS3,04/02/2020,28.70,28.78,27.31,27.48,JBS
JBSS3,05/02/2020,27.98,28.11,27.02,27.22,JBS
JBSS3,06/02/2020,27.45,27.52,26.46,26.79,JBS
JBSS3,07/02/2020,26.60,26.66,25.57,25.67,JBS
JBSS3,10/02/2020,25.67,26.08,24.98,25.51,JBS
JBSS3,11/02/2020,25.72,26.00,25.53,25.96,JBS
JBSS3,12/02/2020,26.29,26.36,25.24,25.81,JBS
JBSS3,13/02/2020,25.41,26.65,25.26,26.29,JBS
JBSS3,14/02/2020,26.30,26.39,25.62,25.78,JBS
JBSS3,17/02/2020,25.98,26.49,25.68,25.81,JBS
JBSS3,18/02/2020,25.81,26.17,25.21,25.70,JBS
JBSS3,19/02/2020,25.98,26.80,25.87,26.80,JBS
JBSS3,20/02/2020,26.85,26.87,25.53,25.79,JBS
JBSS3,21/02/2020,25.53,26.09,25.32,25.98,JBS
JBSS3,26/02/2020,24.77,24.85,22.93,23.51,JBS
JBSS3,27/02/2020,23.04,23.92,21.87,22.59,JBS
JBSS3,28/02/2020,22.45,22.70,21.40,22.70,JBS
JBSS3,02/03/2020,22.42,23.59,22.35,23.42,JBS
JBSS3,03/03/2020,23.40,24.49,22.62,22.68,JBS
JBSS3,04/03/2020,23.44,23.70,22.51,23.70,JBS
JBSS3,05/03/2020,23.50,23.50,21.16,22.20,JBS
JBSS3,06/03/2020,21.01,21.44,20.07,21.01,JBS
JBSS3,09/03/2020,19.26,19.30,17.52,18.00,JBS
JBSS3,10/03/2020,19.50,20.92,18.69,20.76,JBS
JBSS3,11/03/2020,19.75,20.34,17.38,18.98,JBS
JBSS3,12/03/2020,14.50,18.96,13.65,16.75,JBS
JBSS3,13/03/2020,19.50,21.05,17.53,20.87,JBS
JBSS3,16/03/2020,16.75,19.06,16.04,17.89,JBS
JBSS3,17/03/2020,18.30,21.00,18.03,18.63,JBS
JBSS3,18/03/2020,17.46,17.76,16.00,16.85,JBS
JBSS3,19/03/2020,16.50,20.88,15.29,20.00,JBS
JBSS3,20/03/2020,21.65,22.44,18.48,19.18,JBS
JBSS3,23/03/2020,19.40,19.69,18.30,19.34,JBS
JBSS3,24/03/2020,21.20,22.06,20.55,21.22,JBS
JBSS3,25/03/2020,21.10,23.65,20.41,22.05,JBS
JBSS3,26/03/2020,23.10,24.66,20.92,21.87,JBS
JBSS3,27/03/2020,21.00,22.26,20.43,20.89,JBS
JBSS3,30/03/2020,20.80,22.20,20.62,21.57,JBS
JBSS3,31/03/2020,21.19,21.48,20.34,20.34,JBS
JBSS3,01/04/2020,19.17,22.21,19.03,21.77,JBS
JBSS3,02/04/2020,21.99,22.00,20.90,20.90,JBS
JBSS3,03/04/2020,21.20,21.30,18.89,20.40,JBS
JBSS3,06/04/2020,21.20,22.07,20.84,21.09,JBS
JBSS3,07/04/2020,22.30,22.66,19.85,19.85,JBS
JBSS3,08/04/2020,20.10,20.37,19.06,19.36,JBS
JBSS3,09/04/2020,19.60,19.85,19.00,19.00,JBS
JBSS3,13/04/2020,18.97,19.93,18.75,19.76,JBS
JBSS3,14/04/2020,20.05,20.25,19.90,20.10,JBS
JBSS3,15/04/2020,19.70,20.85,19.59,20.76,JBS
JBSS3,16/04/2020,21.00,21.12,20.31,20.81,JBS
JBSS3,17/04/2020,21.20,21.45,20.92,21.31,JBS
JBSS3,20/04/2020,20.90,21.55,20.40,21.35,JBS
JBSS3,22/04/2020,21.50,21.93,21.12,21.80,JBS
JBSS3,23/04/2020,22.00,22.28,21.00,21.80,JBS
JBSS3,24/04/2020,21.41,21.91,20.31,21.54,JBS
JBSS3,27/04/2020,21.85,23.50,21.64,23.38,JBS
JBSS3,28/04/2020,24.09,24.47,23.45,23.92,JBS
JBSS3,29/04/2020,23.96,24.36,23.25,24.00,JBS
JBSS3,30/04/2020,23.80,24.07,23.15,23.84,JBS
JBSS3,04/05/2020,23.04,23.53,22.32,22.77,JBS
JBSS3,05/05/2020,23.10,23.38,22.52,22.76,JBS
JBSS3,06/05/2020,22.89,23.65,22.43,23.08,JBS
JBSS3,07/05/2020,23.50,24.52,23.19,24.39,JBS
JBSS3,08/05/2020,24.72,24.97,23.45,23.45,JBS
JBSS3,11/05/2020,23.46,24.22,22.93,23.16,JBS
JBSS3,12/05/2020,23.33,24.20,22.71,23.74,JBS
JBSS3,13/05/2020,24.10,25.46,23.95,25.25,JBS
JBSS3,14/05/2020,25.37,25.56,23.97,24.45,JBS
JBSS3,15/05/2020,23.80,23.89,22.75,23.33,JBS
JBSS3,18/05/2020,23.89,23.89,21.53,21.79,JBS
JBSS3,19/05/2020,21.95,22.38,21.05,21.30,JBS
JBSS3,20/05/2020,21.55,21.75,20.68,21.05,JBS
JBSS3,21/05/2020,21.15,21.25,20.00,20.40,JBS
JBSS3,22/05/2020,20.36,21.18,20.21,20.65,JBS
JBSS3,25/05/2020,21.00,21.09,20.50,20.78,JBS
JBSS3,26/05/2020,21.04,21.27,20.41,20.67,JBS
JBSS3,27/05/2020,20.85,21.83,20.65,21.76,JBS
JBSS3,28/05/2020,21.89,22.35,21.60,22.00,JBS
JBSS3,29/05/2020,21.97,22.21,21.32,21.97,JBS
JBSS3,01/06/2020,21.97,22.20,21.42,21.96,JBS
JBSS3,02/06/2020,22.01,22.19,21.65,21.81,JBS
JBSS3,03/06/2020,21.98,21.99,20.07,20.60,JBS
JBSS3,04/06/2020,20.75,21.69,20.42,21.47,JBS
JBSS3,05/06/2020,21.70,21.79,20.95,20.95,JBS
JBSS3,08/06/2020,20.98,22.08,20.95,21.89,JBS
JBSS3,09/06/2020,22.02,22.85,21.73,22.06,JBS
JBSS3,10/06/2020,22.36,22.45,21.53,22.09,JBS
JBSS3,12/06/2020,21.50,22.09,21.21,21.98,JBS
JBSS3,15/06/2020,21.51,22.17,21.36,21.49,JBS
JBSS3,16/06/2020,21.83,22.00,21.40,21.55,JBS
JBSS3,17/06/2020,21.95,22.60,21.87,22.38,JBS
JBSS3,18/06/2020,22.49,22.79,21.97,22.45,JBS
JBSS3,19/06/2020,22.55,22.69,22.06,22.36,JBS
JBSS3,22/06/2020,22.36,22.37,21.56,21.65,JBS
JBSS3,23/06/2020,21.78,21.99,21.46,21.53,JBS
JBSS3,24/06/2020,21.50,22.00,21.02,21.83,JBS
JBSS3,25/06/2020,21.84,21.99,21.52,21.71,JBS
JBSS3,26/06/2020,21.71,21.99,21.10,21.18,JBS
JBSS3,29/06/2020,21.24,21.47,20.73,21.09,JBS
