Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
KEPL3,02/01/2020,29.97,30.72,29.52,30.25,KEPLER WEBER
KEPL3,03/01/2020,30.16,30.50,30.00,30.50,KEPLER WEBER
KEPL3,06/01/2020,30.39,30.50,30.22,30.45,KEPLER WEBER
KEPL3,07/01/2020,31.10,31.10,30.18,30.25,KEPLER WEBER
KEPL3,08/01/2020,30.49,30.59,29.90,30.00,KEPLER WEBER
KEPL3,09/01/2020,30.10,30.27,29.85,30.00,KEPLER WEBER
KEPL3,10/01/2020,29.96,30.43,29.42,30.20,KEPLER WEBER
KEPL3,13/01/2020,30.94,30.94,30.35,30.50,KEPLER WEBER
KEPL3,14/01/2020,30.50,30.80,30.14,30.39,KEPLER WEBER
KEPL3,15/01/2020,30.65,30.75,30.14,30.59,KEPLER WEBER
KEPL3,16/01/2020,30.80,31.00,30.25,30.75,KEPLER WEBER
KEPL3,17/01/2020,31.00,31.00,30.40,30.58,KEPLER WEBER
KEPL3,20/01/2020,30.67,30.84,30.10,30.20,KEPLER WEBER
KEPL3,21/01/2020,30.19,30.40,29.99,30.15,KEPLER WEBER
KEPL3,22/01/2020,30.30,30.38,30.06,30.20,KEPLER WEBER
KEPL3,23/01/2020,30.09,30.30,30.06,30.30,KEPLER WEBER
KEPL3,24/01/2020,30.42,30.42,29.70,30.20,KEPLER WEBER
KEPL3,27/01/2020,29.95,30.20,29.68,30.19,KEPLER WEBER
KEPL3,28/01/2020,30.20,30.60,30.12,30.32,KEPLER WEBER
KEPL3,29/01/2020,30.35,30.39,30.01,30.10,KEPLER WEBER
KEPL3,30/01/2020,29.90,30.10,29.71,30.00,KEPLER WEBER
KEPL3,31/01/2020,30.04,30.04,29.90,29.90,KEPLER WEBER
KEPL3,03/02/2020,30.00,30.30,29.88,30.04,KEPLER WEBER
KEPL3,04/02/2020,30.29,30.60,30.15,30.49,KEPLER WEBER
KEPL3,05/02/2020,30.60,31.38,30.11,30.50,KEPLER WEBER
KEPL3,06/02/2020,30.60,31.00,30.27,30.40,KEPLER WEBER
KEPL3,07/02/2020,30.32,30.52,30.00,30.40,KEPLER WEBER
KEPL3,10/02/2020,30.45,30.45,28.53,30.00,KEPLER WEBER
KEPL3,11/02/2020,30.02,30.19,29.85,30.00,KEPLER WEBER
KEPL3,12/02/2020,30.10,30.11,29.79,30.00,KEPLER WEBER
KEPL3,13/02/2020,29.90,29.99,29.74,29.99,KEPLER WEBER
KEPL3,14/02/2020,29.95,30.00,29.76,29.76,KEPLER WEBER
KEPL3,17/02/2020,29.76,29.98,29.60,29.85,KEPLER WEBER
KEPL3,18/02/2020,29.74,29.90,29.55,29.90,KEPLER WEBER
KEPL3,19/02/2020,29.92,29.95,29.79,29.89,KEPLER WEBER
KEPL3,20/02/2020,29.97,30.09,29.75,30.03,KEPLER WEBER
KEPL3,21/02/2020,29.96,30.25,29.79,30.00,KEPLER WEBER
KEPL3,26/02/2020,29.00,29.86,28.00,28.00,KEPLER WEBER
KEPL3,27/02/2020,27.90,28.37,27.24,28.35,KEPLER WEBER
KEPL3,28/02/2020,28.18,28.89,26.87,28.89,KEPLER WEBER
KEPL3,02/03/2020,29.00,29.35,28.48,29.35,KEPLER WEBER
KEPL3,03/03/2020,29.50,30.01,29.26,29.87,KEPLER WEBER
KEPL3,04/03/2020,30.11,30.35,29.90,30.35,KEPLER WEBER
KEPL3,05/03/2020,30.07,30.48,29.24,30.04,KEPLER WEBER
KEPL3,06/03/2020,29.50,29.71,28.07,28.97,KEPLER WEBER
KEPL3,09/03/2020,28.05,28.05,25.30,27.20,KEPLER WEBER
KEPL3,10/03/2020,28.30,28.30,26.43,27.60,KEPLER WEBER
KEPL3,11/03/2020,27.10,27.28,25.02,27.28,KEPLER WEBER
