Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
KLBN4,02/01/2020,3.58,3.62,3.55,3.59,KLABIN S/A
KLBN4,03/01/2020,3.60,3.70,3.55,3.69,KLABIN S/A
KLBN4,06/01/2020,3.73,3.76,3.66,3.69,KLABIN S/A
KLBN4,07/01/2020,3.70,3.81,3.66,3.71,KLABIN S/A
KLBN4,08/01/2020,3.70,3.80,3.70,3.74,KLABIN S/A
KLBN4,09/01/2020,3.74,3.83,3.73,3.73,KLABIN S/A
KLBN4,10/01/2020,3.77,3.88,3.77,3.81,KLABIN S/A
KLBN4,13/01/2020,3.81,4.03,3.81,4.03,KLABIN S/A
KLBN4,14/01/2020,4.05,4.19,4.02,4.15,KLABIN S/A
KLBN4,15/01/2020,4.18,4.20,4.02,4.02,KLABIN S/A
KLBN4,16/01/2020,4.05,4.15,4.02,4.08,KLABIN S/A
KLBN4,17/01/2020,4.11,4.14,4.07,4.07,KLABIN S/A
KLBN4,20/01/2020,4.08,4.15,4.08,4.15,KLABIN S/A
KLBN4,21/01/2020,4.15,4.17,4.07,4.07,KLABIN S/A
KLBN4,22/01/2020,4.11,4.38,4.10,4.31,KLABIN S/A
KLBN4,23/01/2020,4.31,4.37,4.21,4.29,KLABIN S/A
KLBN4,24/01/2020,4.30,4.35,4.28,4.28,KLABIN S/A
KLBN4,27/01/2020,4.25,4.25,4.10,4.10,KLABIN S/A
KLBN4,28/01/2020,4.11,4.21,4.04,4.10,KLABIN S/A
KLBN4,29/01/2020,4.13,4.23,4.09,4.23,KLABIN S/A
KLBN4,30/01/2020,4.11,4.19,4.00,4.11,KLABIN S/A
KLBN4,31/01/2020,4.17,4.22,4.08,4.08,KLABIN S/A
KLBN4,03/02/2020,4.09,4.17,4.06,4.11,KLABIN S/A
KLBN4,04/02/2020,4.14,4.20,4.12,4.18,KLABIN S/A
KLBN4,05/02/2020,4.19,4.30,4.11,4.15,KLABIN S/A
KLBN4,06/02/2020,4.22,4.39,4.18,4.24,KLABIN S/A
KLBN4,07/02/2020,4.24,4.29,4.10,4.11,KLABIN S/A
KLBN4,10/02/2020,4.11,4.15,4.02,4.06,KLABIN S/A
KLBN4,11/02/2020,4.10,4.17,4.05,4.17,KLABIN S/A
KLBN4,12/02/2020,4.16,4.39,4.16,4.39,KLABIN S/A
KLBN4,13/02/2020,4.31,4.43,4.27,4.33,KLABIN S/A
KLBN4,14/02/2020,4.32,4.38,4.21,4.23,KLABIN S/A
KLBN4,17/02/2020,4.26,4.28,4.18,4.21,KLABIN S/A
KLBN4,18/02/2020,4.19,4.21,4.10,4.19,KLABIN S/A
KLBN4,19/02/2020,4.19,4.25,4.15,4.20,KLABIN S/A
KLBN4,20/02/2020,4.21,4.25,4.17,4.19,KLABIN S/A
KLBN4,21/02/2020,4.18,4.41,4.16,4.34,KLABIN S/A
KLBN4,26/02/2020,4.12,4.18,4.00,4.01,KLABIN S/A
KLBN4,27/02/2020,4.00,4.02,3.84,3.91,KLABIN S/A
KLBN4,28/02/2020,3.90,3.90,3.69,3.90,KLABIN S/A
KLBN4,02/03/2020,3.95,4.15,3.91,4.15,KLABIN S/A
KLBN4,03/03/2020,4.15,4.25,4.05,4.13,KLABIN S/A
KLBN4,04/03/2020,4.20,4.46,4.20,4.38,KLABIN S/A
KLBN4,05/03/2020,4.39,4.54,4.24,4.30,KLABIN S/A
KLBN4,06/03/2020,4.20,4.33,4.06,4.20,KLABIN S/A
KLBN4,09/03/2020,3.90,4.07,3.83,3.90,KLABIN S/A
KLBN4,10/03/2020,4.15,4.15,3.84,3.95,KLABIN S/A
KLBN4,11/03/2020,3.92,3.94,3.32,3.67,KLABIN S/A
KLBN4,12/03/2020,3.44,3.49,3.00,3.18,KLABIN S/A
KLBN4,13/03/2020,3.50,3.65,3.06,3.25,KLABIN S/A
KLBN4,16/03/2020,3.05,3.15,2.79,2.82,KLABIN S/A
KLBN4,17/03/2020,2.90,3.05,2.76,2.84,KLABIN S/A
KLBN4,18/03/2020,2.80,2.82,2.36,2.55,KLABIN S/A
KLBN4,19/03/2020,2.55,2.91,2.35,2.88,KLABIN S/A
KLBN4,20/03/2020,2.95,3.15,2.50,2.80,KLABIN S/A
KLBN4,23/03/2020,2.70,2.85,2.57,2.67,KLABIN S/A
KLBN4,24/03/2020,2.95,2.95,2.60,2.67,KLABIN S/A
KLBN4,25/03/2020,2.71,2.97,2.66,2.80,KLABIN S/A
KLBN4,26/03/2020,2.80,2.97,2.70,2.82,KLABIN S/A
KLBN4,27/03/2020,2.75,3.21,2.65,3.03,KLABIN S/A
KLBN4,30/03/2020,3.45,3.47,3.10,3.13,KLABIN S/A
KLBN4,31/03/2020,3.15,3.38,3.13,3.22,KLABIN S/A
KLBN4,01/04/2020,3.20,3.22,3.02,3.19,KLABIN S/A
KLBN4,02/04/2020,3.29,3.43,3.10,3.34,KLABIN S/A
KLBN4,03/04/2020,3.34,3.41,3.13,3.28,KLABIN S/A
KLBN4,06/04/2020,3.36,3.44,3.21,3.27,KLABIN S/A
KLBN4,07/04/2020,3.39,3.40,3.06,3.11,KLABIN S/A
KLBN4,08/04/2020,3.10,3.28,3.10,3.23,KLABIN S/A
KLBN4,09/04/2020,3.25,3.30,3.12,3.17,KLABIN S/A
KLBN4,13/04/2020,3.19,3.25,3.12,3.22,KLABIN S/A
KLBN4,14/04/2020,3.27,3.39,3.22,3.27,KLABIN S/A
KLBN4,15/04/2020,3.20,3.33,3.16,3.20,KLABIN S/A
KLBN4,16/04/2020,3.22,3.25,3.12,3.17,KLABIN S/A
KLBN4,17/04/2020,3.20,3.24,3.11,3.15,KLABIN S/A
KLBN4,20/04/2020,3.11,3.22,3.09,3.19,KLABIN S/A
KLBN4,22/04/2020,3.22,3.30,3.18,3.28,KLABIN S/A
KLBN4,23/04/2020,3.30,3.44,3.23,3.35,KLABIN S/A
KLBN4,24/04/2020,3.35,3.48,3.14,3.36,KLABIN S/A
KLBN4,27/04/2020,3.41,3.60,3.40,3.56,KLABIN S/A
KLBN4,28/04/2020,3.59,3.64,3.51,3.54,KLABIN S/A
KLBN4,29/04/2020,3.58,3.62,3.46,3.48,KLABIN S/A
KLBN4,30/04/2020,3.48,3.62,3.42,3.53,KLABIN S/A
KLBN4,04/05/2020,3.49,3.62,3.25,3.51,KLABIN S/A
KLBN4,05/05/2020,3.58,3.77,3.49,3.77,KLABIN S/A
KLBN4,06/05/2020,3.77,3.82,3.66,3.73,KLABIN S/A
KLBN4,07/05/2020,3.78,4.24,3.76,4.04,KLABIN S/A
KLBN4,08/05/2020,4.09,4.32,4.07,4.32,KLABIN S/A
KLBN4,11/05/2020,4.25,4.49,4.02,4.30,KLABIN S/A
KLBN4,12/05/2020,4.35,4.43,4.23,4.23,KLABIN S/A
KLBN4,13/05/2020,4.30,4.65,4.28,4.65,KLABIN S/A
KLBN4,14/05/2020,4.65,4.79,4.28,4.43,KLABIN S/A
KLBN4,15/05/2020,4.46,4.48,4.17,4.34,KLABIN S/A
KLBN4,18/05/2020,4.34,4.42,3.91,3.96,KLABIN S/A
KLBN4,19/05/2020,3.96,4.14,3.87,3.96,KLABIN S/A
KLBN4,20/05/2020,3.97,4.07,3.85,3.94,KLABIN S/A
KLBN4,21/05/2020,3.95,3.96,3.74,3.79,KLABIN S/A
KLBN4,22/05/2020,3.80,3.88,3.76,3.80,KLABIN S/A
KLBN4,25/05/2020,3.82,3.90,3.71,3.75,KLABIN S/A
KLBN4,26/05/2020,3.78,3.78,3.69,3.73,KLABIN S/A
KLBN4,27/05/2020,3.74,3.93,3.71,3.93,KLABIN S/A
KLBN4,28/05/2020,3.94,3.98,3.83,3.89,KLABIN S/A
KLBN4,29/05/2020,3.90,3.94,3.81,3.91,KLABIN S/A
KLBN4,01/06/2020,3.95,4.04,3.76,3.90,KLABIN S/A
KLBN4,02/06/2020,3.94,3.97,3.86,3.92,KLABIN S/A
KLBN4,03/06/2020,3.92,3.97,3.84,3.90,KLABIN S/A
KLBN4,04/06/2020,3.91,3.98,3.85,3.95,KLABIN S/A
KLBN4,05/06/2020,3.95,4.00,3.78,3.80,KLABIN S/A
KLBN4,08/06/2020,3.82,3.89,3.74,3.87,KLABIN S/A
KLBN4,09/06/2020,3.88,3.97,3.84,3.88,KLABIN S/A
KLBN4,10/06/2020,3.90,3.94,3.84,3.90,KLABIN S/A
KLBN4,12/06/2020,3.76,3.89,3.73,3.79,KLABIN S/A
KLBN4,15/06/2020,3.75,3.92,3.73,3.84,KLABIN S/A
