Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
LAME4,02/01/2020,26.00,26.80,25.95,26.80,LOJAS AMERIC
LAME4,03/01/2020,26.46,27.33,26.25,26.85,LOJAS AMERIC
LAME4,06/01/2020,26.77,26.92,26.04,26.54,LOJAS AMERIC
LAME4,07/01/2020,26.53,26.60,25.83,26.01,LOJAS AMERIC
LAME4,08/01/2020,26.03,26.12,25.50,25.82,LOJAS AMERIC
LAME4,09/01/2020,25.86,26.52,25.77,26.52,LOJAS AMERIC
LAME4,10/01/2020,26.65,26.77,26.20,26.47,LOJAS AMERIC
LAME4,13/01/2020,26.56,27.07,26.42,26.99,LOJAS AMERIC
LAME4,14/01/2020,27.11,28.12,27.10,27.87,LOJAS AMERIC
LAME4,15/01/2020,27.68,27.80,27.33,27.50,LOJAS AMERIC
LAME4,16/01/2020,27.90,28.10,27.42,27.85,LOJAS AMERIC
LAME4,17/01/2020,28.00,28.33,27.67,28.33,LOJAS AMERIC
LAME4,20/01/2020,28.16,29.15,27.93,29.01,LOJAS AMERIC
LAME4,21/01/2020,28.86,29.31,28.75,29.01,LOJAS AMERIC
LAME4,22/01/2020,29.32,29.32,28.26,28.52,LOJAS AMERIC
LAME4,23/01/2020,28.37,29.21,27.93,29.06,LOJAS AMERIC
LAME4,24/01/2020,29.06,29.17,28.63,28.95,LOJAS AMERIC
LAME4,27/01/2020,28.26,28.50,28.00,28.22,LOJAS AMERIC
LAME4,28/01/2020,28.65,28.71,28.12,28.47,LOJAS AMERIC
LAME4,29/01/2020,28.60,28.65,28.03,28.40,LOJAS AMERIC
LAME4,30/01/2020,28.00,28.13,26.92,27.71,LOJAS AMERIC
LAME4,31/01/2020,27.15,27.75,27.14,27.55,LOJAS AMERIC
LAME4,03/02/2020,27.55,27.77,27.30,27.30,LOJAS AMERIC
LAME4,04/02/2020,27.61,28.00,27.53,27.80,LOJAS AMERIC
LAME4,05/02/2020,28.00,28.25,27.35,27.45,LOJAS AMERIC
LAME4,06/02/2020,27.80,27.80,26.39,26.69,LOJAS AMERIC
LAME4,07/02/2020,26.50,26.65,25.83,26.20,LOJAS AMERIC
LAME4,10/02/2020,26.05,26.72,25.42,25.99,LOJAS AMERIC
LAME4,11/02/2020,26.25,27.23,25.89,27.11,LOJAS AMERIC
LAME4,12/02/2020,27.11,27.57,27.03,27.29,LOJAS AMERIC
LAME4,13/02/2020,26.91,27.63,26.62,27.59,LOJAS AMERIC
LAME4,14/02/2020,27.31,27.50,26.85,27.12,LOJAS AMERIC
LAME4,17/02/2020,27.25,27.91,26.97,27.43,LOJAS AMERIC
