Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
LCAM3,02/01/2020,22.86,23.33,22.33,23.19,LOCAMERICA
LCAM3,03/01/2020,22.90,24.10,22.52,24.03,LOCAMERICA
LCAM3,06/01/2020,23.93,23.93,23.00,23.50,LOCAMERICA
LCAM3,07/01/2020,23.49,23.99,23.25,23.99,LOCAMERICA
LCAM3,08/01/2020,24.25,24.25,23.54,24.09,LOCAMERICA
LCAM3,09/01/2020,24.26,24.70,23.90,24.45,LOCAMERICA
LCAM3,10/01/2020,24.70,25.16,24.00,24.44,LOCAMERICA
LCAM3,13/01/2020,24.44,24.97,24.42,24.45,LOCAMERICA
LCAM3,14/01/2020,24.45,24.66,24.32,24.40,LOCAMERICA
LCAM3,15/01/2020,24.33,24.40,24.00,24.00,LOCAMERICA
LCAM3,16/01/2020,24.10,24.38,23.58,24.10,LOCAMERICA
LCAM3,17/01/2020,24.10,24.49,23.94,24.49,LOCAMERICA
LCAM3,20/01/2020,24.50,24.74,24.10,24.65,LOCAMERICA
LCAM3,21/01/2020,24.65,24.74,24.24,24.70,LOCAMERICA
LCAM3,22/01/2020,24.95,24.97,24.03,24.64,LOCAMERICA
LCAM3,23/01/2020,24.58,25.49,24.05,25.49,LOCAMERICA
LCAM3,24/01/2020,25.50,25.56,24.58,24.90,LOCAMERICA
LCAM3,27/01/2020,24.64,24.74,23.75,24.26,LOCAMERICA
LCAM3,28/01/2020,24.26,24.99,24.26,24.80,LOCAMERICA
LCAM3,29/01/2020,24.92,25.10,24.73,24.75,LOCAMERICA
LCAM3,30/01/2020,24.00,24.57,23.46,24.53,LOCAMERICA
LCAM3,31/01/2020,24.54,24.54,23.59,23.61,LOCAMERICA
LCAM3,03/02/2020,23.66,25.08,23.66,24.90,LOCAMERICA
LCAM3,04/02/2020,25.30,25.49,24.63,25.20,LOCAMERICA
LCAM3,05/02/2020,25.49,26.10,25.14,25.70,LOCAMERICA
LCAM3,06/02/2020,25.76,26.09,24.55,24.97,LOCAMERICA
LCAM3,07/02/2020,24.98,24.98,23.75,24.03,LOCAMERICA
LCAM3,10/02/2020,24.03,24.08,22.67,23.15,LOCAMERICA
LCAM3,11/02/2020,23.20,23.99,23.15,23.71,LOCAMERICA
LCAM3,12/02/2020,23.90,23.98,22.54,23.90,LOCAMERICA
LCAM3,13/02/2020,23.30,23.94,23.19,23.88,LOCAMERICA
LCAM3,14/02/2020,23.90,24.03,23.54,23.65,LOCAMERICA
LCAM3,17/02/2020,23.97,23.97,23.27,23.61,LOCAMERICA
LCAM3,18/02/2020,23.50,23.97,23.36,23.90,LOCAMERICA
LCAM3,19/02/2020,23.98,24.62,23.81,24.20,LOCAMERICA
LCAM3,20/02/2020,24.21,24.21,23.29,23.71,LOCAMERICA
LCAM3,21/02/2020,23.54,23.95,23.30,23.77,LOCAMERICA
LCAM3,26/02/2020,22.58,22.68,21.62,22.03,LOCAMERICA
LCAM3,27/02/2020,21.72,22.38,21.26,21.39,LOCAMERICA
LCAM3,28/02/2020,21.10,21.50,20.37,21.16,LOCAMERICA
