Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
LEVE3,02/01/2020,28.80,29.85,28.50,29.85,METAL LEVE
LEVE3,03/01/2020,29.22,29.88,28.99,28.99,METAL LEVE
LEVE3,06/01/2020,29.00,29.58,28.16,29.51,METAL LEVE
LEVE3,07/01/2020,29.83,29.86,28.88,29.30,METAL LEVE
LEVE3,08/01/2020,29.30,29.88,28.98,29.34,METAL LEVE
LEVE3,09/01/2020,29.47,29.50,28.93,28.93,METAL LEVE
LEVE3,10/01/2020,29.08,30.00,28.93,29.83,METAL LEVE
LEVE3,13/01/2020,29.83,30.50,29.68,30.45,METAL LEVE
LEVE3,14/01/2020,30.36,31.00,30.01,31.00,METAL LEVE
LEVE3,15/01/2020,31.00,31.47,30.55,30.91,METAL LEVE
LEVE3,16/01/2020,30.92,31.18,30.47,30.98,METAL LEVE
LEVE3,17/01/2020,30.98,31.19,30.62,31.08,METAL LEVE
LEVE3,20/01/2020,31.08,31.60,30.86,31.60,METAL LEVE
LEVE3,21/01/2020,31.55,31.78,31.30,31.67,METAL LEVE
LEVE3,22/01/2020,31.75,32.11,31.53,32.08,METAL LEVE
LEVE3,23/01/2020,32.12,32.64,31.64,32.38,METAL LEVE
LEVE3,24/01/2020,32.38,33.06,32.38,32.77,METAL LEVE
LEVE3,27/01/2020,32.55,33.00,31.82,32.20,METAL LEVE
LEVE3,28/01/2020,32.22,32.67,31.91,32.33,METAL LEVE
LEVE3,29/01/2020,32.35,32.65,32.10,32.37,METAL LEVE
LEVE3,30/01/2020,32.05,32.10,30.81,30.97,METAL LEVE
LEVE3,31/01/2020,30.95,31.78,30.87,31.10,METAL LEVE
LEVE3,03/02/2020,31.07,32.66,30.91,32.65,METAL LEVE
LEVE3,04/02/2020,32.80,33.24,32.26,32.43,METAL LEVE
LEVE3,05/02/2020,32.43,33.00,32.39,32.46,METAL LEVE
LEVE3,06/02/2020,32.85,32.90,31.71,31.97,METAL LEVE
LEVE3,07/02/2020,31.90,31.90,31.05,31.26,METAL LEVE
LEVE3,10/02/2020,31.10,31.39,30.00,30.30,METAL LEVE
LEVE3,11/02/2020,30.38,30.81,30.03,30.39,METAL LEVE
LEVE3,12/02/2020,30.50,31.16,30.09,31.12,METAL LEVE
LEVE3,13/02/2020,30.72,30.89,30.31,30.55,METAL LEVE
LEVE3,14/02/2020,30.50,30.66,29.85,29.96,METAL LEVE
LEVE3,17/02/2020,30.00,30.73,30.00,30.50,METAL LEVE
LEVE3,18/02/2020,30.42,30.45,29.71,29.99,METAL LEVE
LEVE3,19/02/2020,30.00,30.27,29.77,30.14,METAL LEVE
LEVE3,20/02/2020,30.01,30.64,29.80,30.24,METAL LEVE
LEVE3,21/02/2020,29.90,30.41,29.90,30.09,METAL LEVE
LEVE3,26/02/2020,28.97,29.13,28.13,28.13,METAL LEVE
LEVE3,27/02/2020,27.98,28.34,27.36,27.36,METAL LEVE
LEVE3,28/02/2020,27.20,27.58,26.41,26.95,METAL LEVE
LEVE3,02/03/2020,27.53,28.59,27.37,28.06,METAL LEVE
LEVE3,03/03/2020,28.30,28.99,27.73,27.80,METAL LEVE
LEVE3,04/03/2020,28.49,28.58,27.50,28.40,METAL LEVE
LEVE3,05/03/2020,28.01,28.28,26.16,26.21,METAL LEVE
LEVE3,06/03/2020,25.99,27.39,25.25,26.01,METAL LEVE
LEVE3,09/03/2020,23.50,24.83,23.23,23.65,METAL LEVE
LEVE3,10/03/2020,24.60,25.46,23.91,24.41,METAL LEVE
LEVE3,11/03/2020,24.28,24.64,22.06,22.50,METAL LEVE
LEVE3,12/03/2020,20.81,21.14,19.43,20.07,METAL LEVE
LEVE3,13/03/2020,22.80,23.04,20.12,22.17,METAL LEVE
LEVE3,16/03/2020,20.66,20.85,19.66,19.66,METAL LEVE
LEVE3,17/03/2020,20.21,20.41,19.51,20.15,METAL LEVE
LEVE3,18/03/2020,19.50,19.50,18.23,19.41,METAL LEVE
LEVE3,19/03/2020,18.46,18.83,17.01,17.80,METAL LEVE
LEVE3,20/03/2020,19.79,19.79,16.60,17.19,METAL LEVE
LEVE3,23/03/2020,17.19,17.19,15.78,15.92,METAL LEVE
LEVE3,24/03/2020,17.10,17.63,16.43,16.58,METAL LEVE
LEVE3,25/03/2020,16.94,18.29,16.75,18.04,METAL LEVE
LEVE3,26/03/2020,18.09,20.36,17.80,19.74,METAL LEVE
LEVE3,27/03/2020,19.52,19.58,18.65,19.49,METAL LEVE
LEVE3,30/03/2020,19.51,19.87,18.44,18.44,METAL LEVE
LEVE3,31/03/2020,18.71,18.71,17.20,17.54,METAL LEVE
LEVE3,01/04/2020,17.34,17.34,16.50,17.20,METAL LEVE
LEVE3,02/04/2020,17.51,17.66,16.50,16.53,METAL LEVE
LEVE3,03/04/2020,16.71,16.80,15.10,15.10,METAL LEVE
LEVE3,06/04/2020,15.77,16.89,15.60,16.52,METAL LEVE
LEVE3,07/04/2020,17.10,18.10,17.10,17.41,METAL LEVE
LEVE3,08/04/2020,17.50,17.87,17.06,17.34,METAL LEVE
LEVE3,09/04/2020,17.74,17.86,16.62,17.00,METAL LEVE
LEVE3,13/04/2020,17.00,17.52,16.70,17.52,METAL LEVE
LEVE3,14/04/2020,18.18,18.18,17.50,17.88,METAL LEVE
LEVE3,15/04/2020,17.52,17.83,17.09,17.70,METAL LEVE
LEVE3,16/04/2020,17.83,18.30,17.49,17.80,METAL LEVE
LEVE3,17/04/2020,18.22,18.22,17.37,17.51,METAL LEVE
LEVE3,20/04/2020,17.38,17.44,17.01,17.44,METAL LEVE
LEVE3,22/04/2020,17.59,17.94,17.35,17.90,METAL LEVE
LEVE3,23/04/2020,17.95,18.46,17.36,17.80,METAL LEVE
LEVE3,24/04/2020,17.90,17.90,16.59,16.86,METAL LEVE
LEVE3,27/04/2020,17.38,17.75,17.00,17.30,METAL LEVE
LEVE3,28/04/2020,17.62,18.43,17.62,17.83,METAL LEVE
LEVE3,29/04/2020,18.01,18.94,18.01,18.66,METAL LEVE
LEVE3,30/04/2020,18.60,18.87,17.59,17.59,METAL LEVE
LEVE3,04/05/2020,17.40,17.47,16.89,17.19,METAL LEVE
LEVE3,05/05/2020,17.50,17.78,16.98,17.37,METAL LEVE
LEVE3,06/05/2020,17.37,17.43,16.95,17.29,METAL LEVE
