Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
LIGT3,02/01/2020,23.86,24.13,23.70,23.90,LIGHT S/A
LIGT3,03/01/2020,23.46,23.92,23.25,23.75,LIGHT S/A
LIGT3,06/01/2020,23.70,23.88,23.42,23.80,LIGHT S/A
LIGT3,07/01/2020,23.89,23.95,23.58,23.72,LIGHT S/A
LIGT3,08/01/2020,23.72,23.72,23.18,23.47,LIGHT S/A
LIGT3,09/01/2020,23.47,23.51,22.96,23.39,LIGHT S/A
LIGT3,10/01/2020,23.35,23.60,23.22,23.44,LIGHT S/A
LIGT3,13/01/2020,23.60,23.74,23.26,23.38,LIGHT S/A
LIGT3,14/01/2020,23.32,23.34,22.74,22.96,LIGHT S/A
LIGT3,15/01/2020,22.95,23.95,22.60,23.41,LIGHT S/A
LIGT3,16/01/2020,23.67,24.19,23.55,23.97,LIGHT S/A
LIGT3,17/01/2020,24.19,24.49,23.94,24.39,LIGHT S/A
LIGT3,20/01/2020,24.39,24.52,24.13,24.51,LIGHT S/A
LIGT3,21/01/2020,24.55,24.70,24.21,24.25,LIGHT S/A
LIGT3,22/01/2020,24.33,24.39,23.87,24.15,LIGHT S/A
LIGT3,23/01/2020,24.06,24.49,23.65,24.40,LIGHT S/A
LIGT3,24/01/2020,24.42,24.53,24.20,24.30,LIGHT S/A
LIGT3,27/01/2020,24.00,24.06,23.55,23.72,LIGHT S/A
LIGT3,28/01/2020,23.73,24.05,23.40,23.90,LIGHT S/A
LIGT3,29/01/2020,23.92,24.21,23.79,23.97,LIGHT S/A
LIGT3,30/01/2020,23.70,23.79,23.05,23.43,LIGHT S/A
LIGT3,31/01/2020,23.40,23.40,22.78,22.90,LIGHT S/A
LIGT3,03/02/2020,22.89,23.25,22.47,22.70,LIGHT S/A
LIGT3,04/02/2020,22.80,23.10,22.61,22.71,LIGHT S/A
LIGT3,05/02/2020,22.80,23.12,22.78,23.12,LIGHT S/A
LIGT3,06/02/2020,23.38,23.38,22.16,22.51,LIGHT S/A
LIGT3,07/02/2020,22.48,22.55,21.87,21.88,LIGHT S/A
LIGT3,10/02/2020,21.60,21.82,21.31,21.50,LIGHT S/A
LIGT3,11/02/2020,21.58,22.28,21.45,22.27,LIGHT S/A
LIGT3,12/02/2020,22.25,22.53,21.77,22.21,LIGHT S/A
LIGT3,13/02/2020,22.12,22.31,21.88,22.09,LIGHT S/A
LIGT3,14/02/2020,22.17,22.24,21.71,22.06,LIGHT S/A
LIGT3,17/02/2020,22.15,22.15,21.49,21.63,LIGHT S/A
LIGT3,18/02/2020,21.65,22.60,21.51,22.60,LIGHT S/A
LIGT3,19/02/2020,22.48,23.68,22.48,23.49,LIGHT S/A
LIGT3,20/02/2020,23.40,23.68,23.01,23.29,LIGHT S/A
LIGT3,21/02/2020,23.19,23.60,22.99,23.55,LIGHT S/A
LIGT3,26/02/2020,22.57,22.89,22.14,22.40,LIGHT S/A
LIGT3,27/02/2020,22.11,23.23,21.55,21.80,LIGHT S/A
LIGT3,28/02/2020,21.71,21.78,20.77,21.69,LIGHT S/A
LIGT3,02/03/2020,21.70,23.00,21.59,22.87,LIGHT S/A
LIGT3,03/03/2020,22.85,23.50,22.56,22.83,LIGHT S/A
LIGT3,04/03/2020,23.15,23.88,22.97,23.61,LIGHT S/A
LIGT3,05/03/2020,23.28,23.64,22.56,23.08,LIGHT S/A
LIGT3,06/03/2020,22.32,22.33,20.97,21.27,LIGHT S/A
LIGT3,09/03/2020,20.33,20.33,18.72,19.00,LIGHT S/A
LIGT3,10/03/2020,19.61,20.35,18.94,19.67,LIGHT S/A
LIGT3,11/03/2020,19.47,19.57,17.42,18.12,LIGHT S/A
LIGT3,12/03/2020,16.18,16.18,13.34,13.70,LIGHT S/A
LIGT3,13/03/2020,14.70,16.16,13.33,15.00,LIGHT S/A
LIGT3,16/03/2020,13.30,15.37,12.75,13.99,LIGHT S/A
LIGT3,17/03/2020,14.41,14.64,13.33,13.65,LIGHT S/A
LIGT3,18/03/2020,12.99,13.00,9.49,10.77,LIGHT S/A
LIGT3,19/03/2020,10.07,10.46,9.17,9.88,LIGHT S/A
LIGT3,20/03/2020,10.30,10.72,8.52,8.75,LIGHT S/A
LIGT3,23/03/2020,8.80,8.92,6.86,7.30,LIGHT S/A
LIGT3,24/03/2020,7.73,8.24,7.21,7.33,LIGHT S/A
LIGT3,25/03/2020,7.40,8.74,7.05,8.66,LIGHT S/A
LIGT3,26/03/2020,8.50,10.88,8.50,10.50,LIGHT S/A
LIGT3,27/03/2020,10.10,10.57,9.50,9.92,LIGHT S/A
LIGT3,30/03/2020,10.33,10.39,9.61,9.87,LIGHT S/A
LIGT3,31/03/2020,9.99,10.47,9.40,9.65,LIGHT S/A
LIGT3,01/04/2020,9.39,9.39,8.70,8.71,LIGHT S/A
LIGT3,02/04/2020,8.86,9.08,8.48,9.08,LIGHT S/A
LIGT3,03/04/2020,9.00,9.17,8.48,8.99,LIGHT S/A
LIGT3,06/04/2020,9.43,9.99,9.17,9.41,LIGHT S/A
