Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
LOGG3,02/01/2020,32.49,32.64,32.10,32.35,LOG COM PROP
LOGG3,03/01/2020,31.74,32.73,31.29,31.29,LOG COM PROP
LOGG3,06/01/2020,31.29,32.19,30.36,32.19,LOG COM PROP
LOGG3,07/01/2020,32.19,32.52,31.96,32.50,LOG COM PROP
LOGG3,08/01/2020,32.51,32.51,31.60,32.01,LOG COM PROP
LOGG3,09/01/2020,32.37,32.37,31.70,31.93,LOG COM PROP
LOGG3,10/01/2020,32.05,32.05,31.73,31.90,LOG COM PROP
LOGG3,13/01/2020,31.73,32.33,31.60,31.68,LOG COM PROP
LOGG3,14/01/2020,31.71,32.50,31.49,32.49,LOG COM PROP
LOGG3,15/01/2020,32.55,33.85,32.55,33.30,LOG COM PROP
LOGG3,16/01/2020,33.60,34.40,33.02,33.51,LOG COM PROP
LOGG3,17/01/2020,33.93,34.40,32.52,34.40,LOG COM PROP
LOGG3,20/01/2020,34.39,34.39,33.50,34.30,LOG COM PROP
LOGG3,21/01/2020,34.40,34.50,33.65,34.03,LOG COM PROP
LOGG3,22/01/2020,33.77,34.04,32.89,33.97,LOG COM PROP
LOGG3,23/01/2020,34.09,34.16,33.19,34.00,LOG COM PROP
LOGG3,24/01/2020,33.99,33.99,33.47,33.70,LOG COM PROP
LOGG3,27/01/2020,33.15,33.19,32.17,32.46,LOG COM PROP
LOGG3,28/01/2020,32.52,33.47,32.01,33.44,LOG COM PROP
LOGG3,29/01/2020,33.43,33.70,32.58,32.58,LOG COM PROP
LOGG3,30/01/2020,32.00,32.29,31.11,31.69,LOG COM PROP
LOGG3,31/01/2020,31.70,32.48,31.26,31.60,LOG COM PROP
LOGG3,03/02/2020,31.50,32.79,31.30,32.28,LOG COM PROP
LOGG3,04/02/2020,32.60,33.48,32.60,32.99,LOG COM PROP
LOGG3,05/02/2020,33.05,33.80,32.48,32.78,LOG COM PROP
LOGG3,06/02/2020,32.86,32.98,31.15,31.25,LOG COM PROP
LOGG3,07/02/2020,31.50,31.83,30.51,30.80,LOG COM PROP
LOGG3,10/02/2020,30.80,31.29,29.01,29.54,LOG COM PROP
LOGG3,11/02/2020,30.15,30.93,30.15,30.32,LOG COM PROP
LOGG3,12/02/2020,30.67,31.76,30.59,31.76,LOG COM PROP
LOGG3,13/02/2020,31.23,32.00,31.00,32.00,LOG COM PROP
LOGG3,14/02/2020,32.00,32.01,30.91,31.00,LOG COM PROP
LOGG3,17/02/2020,31.05,31.26,30.60,31.00,LOG COM PROP
LOGG3,18/02/2020,30.89,30.99,30.60,30.99,LOG COM PROP
LOGG3,19/02/2020,30.70,31.03,30.12,30.78,LOG COM PROP
LOGG3,20/02/2020,30.54,30.64,30.26,30.48,LOG COM PROP
LOGG3,21/02/2020,30.48,30.78,29.81,30.62,LOG COM PROP
LOGG3,26/02/2020,29.60,29.70,28.01,28.27,LOG COM PROP
LOGG3,27/02/2020,27.85,28.38,27.07,27.87,LOG COM PROP
LOGG3,28/02/2020,27.86,27.86,27.01,27.58,LOG COM PROP
LOGG3,02/03/2020,27.23,28.61,27.21,27.52,LOG COM PROP
LOGG3,03/03/2020,27.90,29.84,27.90,29.33,LOG COM PROP
LOGG3,04/03/2020,29.76,29.78,28.65,29.73,LOG COM PROP
LOGG3,05/03/2020,29.65,29.65,27.15,28.07,LOG COM PROP
LOGG3,06/03/2020,27.20,27.46,26.31,26.73,LOG COM PROP
LOGG3,09/03/2020,25.49,25.49,22.30,22.30,LOG COM PROP
LOGG3,10/03/2020,24.01,25.50,24.01,24.87,LOG COM PROP
LOGG3,11/03/2020,24.17,24.76,21.43,23.24,LOG COM PROP
LOGG3,12/03/2020,20.80,21.00,18.82,19.62,LOG COM PROP
LOGG3,13/03/2020,22.00,22.73,19.05,22.50,LOG COM PROP
LOGG3,16/03/2020,19.50,20.88,19.37,20.02,LOG COM PROP
LOGG3,17/03/2020,20.03,20.40,18.75,19.05,LOG COM PROP
LOGG3,18/03/2020,18.00,18.12,15.19,15.54,LOG COM PROP
LOGG3,19/03/2020,15.15,18.56,14.65,17.40,LOG COM PROP
LOGG3,20/03/2020,18.00,18.73,16.15,16.27,LOG COM PROP
LOGG3,23/03/2020,15.90,16.39,15.03,15.88,LOG COM PROP
LOGG3,24/03/2020,17.00,17.39,15.90,16.00,LOG COM PROP
LOGG3,25/03/2020,16.20,20.45,16.20,20.14,LOG COM PROP
LOGG3,26/03/2020,20.01,22.30,19.80,22.30,LOG COM PROP
LOGG3,27/03/2020,20.96,22.26,20.45,21.52,LOG COM PROP
LOGG3,30/03/2020,20.80,22.19,20.60,21.90,LOG COM PROP
LOGG3,31/03/2020,20.71,22.30,20.71,21.90,LOG COM PROP
