Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
LREN3,02/01/2020,56.72,57.62,56.41,57.50,LOJAS RENNER
LREN3,03/01/2020,57.00,58.20,56.56,57.10,LOJAS RENNER
LREN3,06/01/2020,56.99,57.72,56.42,57.05,LOJAS RENNER
LREN3,07/01/2020,56.90,57.15,56.17,57.02,LOJAS RENNER
LREN3,08/01/2020,57.00,57.49,56.75,57.39,LOJAS RENNER
LREN3,09/01/2020,57.50,58.00,56.69,56.95,LOJAS RENNER
LREN3,10/01/2020,56.96,57.98,56.80,57.13,LOJAS RENNER
LREN3,13/01/2020,57.35,58.37,57.32,58.37,LOJAS RENNER
LREN3,14/01/2020,58.45,58.65,56.76,57.63,LOJAS RENNER
LREN3,15/01/2020,57.63,57.71,56.52,57.25,LOJAS RENNER
LREN3,16/01/2020,57.60,58.15,56.65,57.71,LOJAS RENNER
LREN3,17/01/2020,58.00,59.22,57.47,59.22,LOJAS RENNER
LREN3,20/01/2020,59.00,59.81,58.47,59.50,LOJAS RENNER
LREN3,21/01/2020,59.11,59.49,58.56,58.95,LOJAS RENNER
LREN3,22/01/2020,59.29,60.24,59.09,59.85,LOJAS RENNER
LREN3,23/01/2020,58.70,60.87,58.22,60.87,LOJAS RENNER
LREN3,24/01/2020,60.84,60.90,60.07,60.17,LOJAS RENNER
LREN3,27/01/2020,59.50,59.50,58.40,58.88,LOJAS RENNER
LREN3,28/01/2020,58.70,60.25,58.51,59.67,LOJAS RENNER
LREN3,29/01/2020,60.18,60.49,59.33,60.00,LOJAS RENNER
LREN3,30/01/2020,59.44,59.47,57.70,59.20,LOJAS RENNER
LREN3,31/01/2020,59.00,59.02,56.93,57.45,LOJAS RENNER
LREN3,03/02/2020,57.45,58.25,57.41,57.78,LOJAS RENNER
LREN3,04/02/2020,58.70,58.70,56.90,56.90,LOJAS RENNER
LREN3,05/02/2020,57.60,58.10,56.36,57.20,LOJAS RENNER
LREN3,06/02/2020,57.50,58.00,55.22,55.22,LOJAS RENNER
LREN3,07/02/2020,56.48,56.82,55.22,55.57,LOJAS RENNER
LREN3,10/02/2020,55.55,56.19,53.94,54.96,LOJAS RENNER
LREN3,11/02/2020,55.20,56.76,54.56,56.49,LOJAS RENNER
LREN3,12/02/2020,56.72,57.71,55.65,56.65,LOJAS RENNER
LREN3,13/02/2020,56.25,57.50,55.51,57.31,LOJAS RENNER
LREN3,14/02/2020,57.54,57.54,55.65,56.45,LOJAS RENNER
LREN3,17/02/2020,56.64,57.30,56.29,57.20,LOJAS RENNER
LREN3,18/02/2020,57.00,57.25,56.26,56.85,LOJAS RENNER
LREN3,19/02/2020,56.36,57.05,56.09,56.51,LOJAS RENNER
LREN3,20/02/2020,56.10,56.77,55.16,55.53,LOJAS RENNER
LREN3,21/02/2020,55.00,56.28,54.77,56.00,LOJAS RENNER
LREN3,26/02/2020,52.21,53.48,51.52,52.65,LOJAS RENNER
