Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
MATB11,02/01/2020,36.40,37.00,36.40,37.00,IT NOW IMAT
MATB11,03/01/2020,36.84,37.23,36.60,37.23,IT NOW IMAT
MATB11,06/01/2020,36.99,37.01,36.70,36.94,IT NOW IMAT
MATB11,07/01/2020,36.90,37.25,36.15,37.08,IT NOW IMAT
MATB11,08/01/2020,36.80,37.79,36.80,37.61,IT NOW IMAT
MATB11,09/01/2020,37.90,37.91,37.42,37.46,IT NOW IMAT
MATB11,10/01/2020,37.00,37.99,37.00,37.63,IT NOW IMAT
MATB11,13/01/2020,38.50,39.13,37.70,39.08,IT NOW IMAT
MATB11,14/01/2020,39.40,39.40,38.97,39.00,IT NOW IMAT
MATB11,15/01/2020,38.70,39.31,38.25,38.75,IT NOW IMAT
MATB11,16/01/2020,38.75,39.29,38.59,38.59,IT NOW IMAT
MATB11,17/01/2020,39.20,39.32,39.00,39.21,IT NOW IMAT
MATB11,20/01/2020,39.45,39.45,38.50,39.31,IT NOW IMAT
MATB11,21/01/2020,40.19,40.19,38.60,38.60,IT NOW IMAT
MATB11,22/01/2020,38.60,40.15,38.60,39.94,IT NOW IMAT
MATB11,23/01/2020,39.65,40.50,39.54,40.50,IT NOW IMAT
MATB11,24/01/2020,40.50,40.50,39.29,39.29,IT NOW IMAT
MATB11,27/01/2020,39.00,39.00,36.94,36.94,IT NOW IMAT
MATB11,28/01/2020,36.90,38.00,36.90,37.20,IT NOW IMAT
MATB11,29/01/2020,37.20,37.20,36.74,36.74,IT NOW IMAT
MATB11,30/01/2020,36.74,36.74,35.69,36.62,IT NOW IMAT
MATB11,31/01/2020,36.06,36.35,35.89,35.89,IT NOW IMAT
MATB11,03/02/2020,35.50,36.41,35.48,36.41,IT NOW IMAT
MATB11,04/02/2020,36.65,37.23,36.65,37.01,IT NOW IMAT
MATB11,05/02/2020,37.49,37.70,37.18,37.18,IT NOW IMAT
MATB11,06/02/2020,36.50,37.66,36.50,36.87,IT NOW IMAT
MATB11,07/02/2020,37.00,37.98,35.84,35.91,IT NOW IMAT
MATB11,10/02/2020,35.75,35.80,34.98,34.98,IT NOW IMAT
MATB11,11/02/2020,35.65,36.49,35.65,36.38,IT NOW IMAT
MATB11,12/02/2020,36.99,37.59,36.81,37.27,IT NOW IMAT
MATB11,13/02/2020,36.40,37.31,36.40,37.00,IT NOW IMAT
MATB11,14/02/2020,37.20,37.20,36.30,36.70,IT NOW IMAT
MATB11,17/02/2020,36.21,37.85,35.23,37.30,IT NOW IMAT
MATB11,18/02/2020,37.30,37.30,36.29,36.71,IT NOW IMAT
MATB11,19/02/2020,36.59,37.30,36.59,36.80,IT NOW IMAT
MATB11,20/02/2020,37.72,37.72,36.67,36.68,IT NOW IMAT
MATB11,21/02/2020,36.00,36.85,35.65,36.60,IT NOW IMAT
MATB11,26/02/2020,35.50,35.50,33.00,33.00,IT NOW IMAT
MATB11,27/02/2020,33.00,33.80,32.10,32.59,IT NOW IMAT
MATB11,28/02/2020,31.81,32.01,31.15,31.72,IT NOW IMAT
MATB11,02/03/2020,31.72,34.20,31.72,34.00,IT NOW IMAT
MATB11,03/03/2020,34.00,34.90,33.20,33.20,IT NOW IMAT
MATB11,04/03/2020,34.69,35.57,34.39,34.55,IT NOW IMAT
MATB11,05/03/2020,34.91,35.19,33.55,33.55,IT NOW IMAT
MATB11,06/03/2020,32.65,33.18,31.95,31.95,IT NOW IMAT
MATB11,09/03/2020,31.00,31.00,25.62,28.50,IT NOW IMAT
MATB11,10/03/2020,33.00,33.00,28.86,30.75,IT NOW IMAT
MATB11,11/03/2020,28.00,31.00,27.89,29.00,IT NOW IMAT
MATB11,12/03/2020,27.00,27.20,23.50,23.50,IT NOW IMAT
MATB11,13/03/2020,24.00,26.30,23.22,26.30,IT NOW IMAT
MATB11,16/03/2020,20.52,25.01,20.52,23.60,IT NOW IMAT
MATB11,17/03/2020,23.60,26.99,23.39,24.26,IT NOW IMAT
MATB11,18/03/2020,21.00,22.54,19.50,21.55,IT NOW IMAT
MATB11,19/03/2020,21.55,22.40,19.50,21.68,IT NOW IMAT
MATB11,20/03/2020,22.95,22.98,21.50,21.55,IT NOW IMAT
MATB11,23/03/2020,21.55,21.55,20.42,20.58,IT NOW IMAT
MATB11,24/03/2020,21.90,22.09,21.82,21.82,IT NOW IMAT
MATB11,25/03/2020,22.15,23.68,22.11,23.68,IT NOW IMAT
MATB11,26/03/2020,23.80,24.35,23.80,24.14,IT NOW IMAT
MATB11,27/03/2020,23.90,25.00,23.54,24.53,IT NOW IMAT
MATB11,30/03/2020,25.88,25.88,24.70,24.84,IT NOW IMAT
MATB11,31/03/2020,25.90,26.00,25.40,25.45,IT NOW IMAT
MATB11,01/04/2020,25.45,25.60,24.62,25.60,IT NOW IMAT
MATB11,02/04/2020,26.00,26.54,25.00,25.94,IT NOW IMAT
MATB11,03/04/2020,26.49,26.49,24.40,25.10,IT NOW IMAT
MATB11,06/04/2020,26.00,26.16,25.41,25.43,IT NOW IMAT
MATB11,07/04/2020,26.67,26.67,25.51,25.51,IT NOW IMAT
MATB11,08/04/2020,25.71,25.87,25.35,25.83,IT NOW IMAT
MATB11,09/04/2020,26.00,26.20,25.41,25.41,IT NOW IMAT
MATB11,13/04/2020,25.49,26.13,25.49,26.10,IT NOW IMAT
MATB11,14/04/2020,26.79,27.30,26.50,27.12,IT NOW IMAT
MATB11,15/04/2020,27.00,27.00,26.00,26.59,IT NOW IMAT
MATB11,16/04/2020,29.00,29.00,25.98,26.01,IT NOW IMAT
MATB11,17/04/2020,26.89,26.95,26.38,26.56,IT NOW IMAT
MATB11,20/04/2020,27.00,27.00,25.28,26.11,IT NOW IMAT
MATB11,22/04/2020,26.01,26.55,26.01,26.54,IT NOW IMAT
MATB11,23/04/2020,26.99,27.34,26.98,26.98,IT NOW IMAT
MATB11,24/04/2020,26.95,27.00,25.43,26.51,IT NOW IMAT
MATB11,27/04/2020,27.17,27.60,27.17,27.51,IT NOW IMAT
MATB11,28/04/2020,28.00,28.00,27.70,27.75,IT NOW IMAT
MATB11,29/04/2020,28.98,28.98,28.44,28.73,IT NOW IMAT
MATB11,30/04/2020,28.72,28.72,27.84,27.97,IT NOW IMAT
MATB11,04/05/2020,27.39,27.67,27.23,27.63,IT NOW IMAT
MATB11,05/05/2020,27.97,28.02,27.96,27.96,IT NOW IMAT
MATB11,06/05/2020,28.03,28.03,27.50,27.89,IT NOW IMAT
MATB11,07/05/2020,29.17,30.24,29.17,29.66,IT NOW IMAT
MATB11,08/05/2020,30.43,30.79,30.25,30.75,IT NOW IMAT
MATB11,11/05/2020,31.94,31.94,30.68,30.94,IT NOW IMAT
MATB11,12/05/2020,30.94,30.94,30.00,30.00,IT NOW IMAT
MATB11,13/05/2020,30.90,31.01,30.55,30.71,IT NOW IMAT
MATB11,14/05/2020,30.71,30.71,30.00,30.40,IT NOW IMAT
MATB11,15/05/2020,30.40,30.40,29.99,29.99,IT NOW IMAT
MATB11,18/05/2020,30.00,30.49,29.99,30.32,IT NOW IMAT
MATB11,19/05/2020,30.26,30.76,30.26,30.76,IT NOW IMAT
MATB11,20/05/2020,30.89,31.00,30.42,30.60,IT NOW IMAT
MATB11,21/05/2020,29.99,29.99,29.62,29.67,IT NOW IMAT
MATB11,22/05/2020,29.55,29.55,29.55,29.55,IT NOW IMAT
MATB11,25/05/2020,30.00,30.14,29.59,29.67,IT NOW IMAT
MATB11,26/05/2020,29.10,30.14,29.00,29.26,IT NOW IMAT
MATB11,27/05/2020,29.26,30.87,29.26,30.87,IT NOW IMAT
MATB11,28/05/2020,30.87,31.25,30.80,31.25,IT NOW IMAT
MATB11,29/05/2020,31.24,31.58,31.24,31.58,IT NOW IMAT
MATB11,01/06/2020,31.58,32.00,31.30,31.81,IT NOW IMAT
MATB11,02/06/2020,32.40,32.40,32.17,32.40,IT NOW IMAT
MATB11,03/06/2020,32.69,32.85,32.46,32.68,IT NOW IMAT
MATB11,04/06/2020,32.68,33.33,32.68,33.32,IT NOW IMAT
MATB11,05/06/2020,33.55,33.65,32.85,33.00,IT NOW IMAT
MATB11,08/06/2020,33.75,33.75,33.19,33.46,IT NOW IMAT
MATB11,09/06/2020,33.46,33.50,32.01,33.50,IT NOW IMAT
MATB11,10/06/2020,32.01,32.92,32.01,32.56,IT NOW IMAT
MATB11,12/06/2020,31.95,31.95,30.50,31.27,IT NOW IMAT
MATB11,15/06/2020,30.43,31.80,30.43,31.80,IT NOW IMAT
