Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
MEAL3,02/01/2020,8.41,8.89,8.41,8.87,IMC S/A
MEAL3,03/01/2020,8.90,8.91,8.60,8.60,IMC S/A
MEAL3,06/01/2020,8.67,8.71,8.54,8.70,IMC S/A
MEAL3,07/01/2020,8.79,8.82,8.62,8.75,IMC S/A
MEAL3,08/01/2020,8.80,9.10,8.70,8.70,IMC S/A
MEAL3,09/01/2020,8.68,8.73,8.26,8.49,IMC S/A
MEAL3,10/01/2020,8.55,8.55,8.07,8.18,IMC S/A
MEAL3,13/01/2020,8.24,8.30,8.10,8.14,IMC S/A
MEAL3,14/01/2020,8.20,8.36,8.04,8.32,IMC S/A
MEAL3,15/01/2020,8.40,8.44,8.20,8.29,IMC S/A
MEAL3,16/01/2020,8.38,8.38,8.16,8.27,IMC S/A
MEAL3,17/01/2020,8.30,8.35,8.24,8.28,IMC S/A
MEAL3,20/01/2020,8.27,8.29,8.15,8.29,IMC S/A
MEAL3,21/01/2020,8.27,8.54,8.23,8.40,IMC S/A
MEAL3,22/01/2020,8.48,8.54,8.35,8.50,IMC S/A
MEAL3,23/01/2020,8.55,8.90,8.45,8.90,IMC S/A
MEAL3,24/01/2020,8.95,8.97,8.69,8.79,IMC S/A
MEAL3,27/01/2020,8.60,8.63,8.29,8.63,IMC S/A
MEAL3,28/01/2020,8.65,8.79,8.53,8.68,IMC S/A
MEAL3,29/01/2020,8.68,8.86,8.59,8.80,IMC S/A
MEAL3,30/01/2020,8.59,8.68,8.43,8.64,IMC S/A
MEAL3,31/01/2020,8.60,8.71,8.46,8.70,IMC S/A
MEAL3,03/02/2020,8.72,8.85,8.59,8.59,IMC S/A
MEAL3,04/02/2020,8.72,8.84,8.67,8.74,IMC S/A
MEAL3,05/02/2020,8.90,9.10,8.82,8.90,IMC S/A
MEAL3,06/02/2020,9.05,9.16,8.72,8.80,IMC S/A
MEAL3,07/02/2020,8.80,8.86,8.45,8.74,IMC S/A
MEAL3,10/02/2020,8.79,8.79,8.07,8.35,IMC S/A
MEAL3,11/02/2020,8.38,8.47,8.16,8.36,IMC S/A
MEAL3,12/02/2020,8.40,8.62,8.24,8.58,IMC S/A
MEAL3,13/02/2020,8.38,8.72,8.35,8.65,IMC S/A
MEAL3,14/02/2020,8.66,8.77,8.53,8.68,IMC S/A
MEAL3,17/02/2020,8.71,8.78,8.58,8.78,IMC S/A
MEAL3,18/02/2020,8.73,8.85,8.64,8.75,IMC S/A
MEAL3,19/02/2020,8.77,8.94,8.66,8.77,IMC S/A
MEAL3,20/02/2020,8.76,8.81,8.71,8.78,IMC S/A
MEAL3,21/02/2020,8.70,8.82,8.63,8.75,IMC S/A
MEAL3,26/02/2020,8.40,8.40,7.94,8.34,IMC S/A
MEAL3,27/02/2020,8.25,8.25,7.58,7.82,IMC S/A
MEAL3,28/02/2020,7.73,7.84,7.36,7.80,IMC S/A
MEAL3,02/03/2020,7.80,8.00,7.58,8.00,IMC S/A
MEAL3,03/03/2020,8.08,8.30,7.79,7.99,IMC S/A
MEAL3,04/03/2020,8.09,8.15,7.76,8.12,IMC S/A
MEAL3,05/03/2020,8.11,8.11,7.22,7.22,IMC S/A
MEAL3,06/03/2020,6.81,6.95,6.51,6.70,IMC S/A
MEAL3,09/03/2020,5.97,6.49,5.67,6.49,IMC S/A
MEAL3,10/03/2020,6.70,6.75,6.20,6.22,IMC S/A
MEAL3,11/03/2020,6.00,6.26,5.23,5.56,IMC S/A
MEAL3,12/03/2020,4.66,4.66,3.87,4.19,IMC S/A
MEAL3,13/03/2020,4.60,4.70,4.09,4.37,IMC S/A
MEAL3,16/03/2020,3.80,4.17,3.66,3.87,IMC S/A
MEAL3,17/03/2020,4.00,4.00,3.27,3.69,IMC S/A
MEAL3,18/03/2020,3.40,3.41,2.37,2.48,IMC S/A
MEAL3,19/03/2020,2.12,2.88,1.94,2.79,IMC S/A
MEAL3,20/03/2020,3.01,3.08,2.40,2.62,IMC S/A
MEAL3,23/03/2020,2.75,2.77,2.25,2.49,IMC S/A
MEAL3,24/03/2020,2.65,2.97,2.55,2.95,IMC S/A
MEAL3,25/03/2020,2.95,3.23,2.84,3.12,IMC S/A
MEAL3,26/03/2020,2.96,3.55,2.93,3.55,IMC S/A
MEAL3,27/03/2020,3.35,3.45,3.16,3.32,IMC S/A
MEAL3,30/03/2020,3.53,3.60,3.32,3.32,IMC S/A
MEAL3,31/03/2020,3.30,3.36,2.74,2.74,IMC S/A
MEAL3,01/04/2020,2.60,2.67,2.37,2.47,IMC S/A
MEAL3,02/04/2020,2.58,2.60,2.33,2.54,IMC S/A
MEAL3,03/04/2020,2.50,2.50,2.26,2.44,IMC S/A
MEAL3,06/04/2020,2.65,2.65,2.39,2.50,IMC S/A
MEAL3,07/04/2020,2.66,2.89,2.60,2.75,IMC S/A
MEAL3,08/04/2020,2.82,2.88,2.57,2.62,IMC S/A
MEAL3,09/04/2020,2.68,2.78,2.58,2.64,IMC S/A
MEAL3,13/04/2020,2.62,2.68,2.52,2.58,IMC S/A
MEAL3,14/04/2020,2.66,2.88,2.64,2.85,IMC S/A
