Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
MGLU3,02/01/2020,48.30,49.33,47.71,49.33,MAGAZ LUIZA
MGLU3,03/01/2020,48.50,49.33,48.30,48.89,MAGAZ LUIZA
MGLU3,06/01/2020,48.40,49.31,47.80,48.93,MAGAZ LUIZA
MGLU3,07/01/2020,48.94,49.20,48.50,48.79,MAGAZ LUIZA
MGLU3,08/01/2020,48.62,50.35,48.50,50.29,MAGAZ LUIZA
MGLU3,09/01/2020,50.50,52.23,50.42,52.08,MAGAZ LUIZA
MGLU3,10/01/2020,52.09,53.05,51.05,51.80,MAGAZ LUIZA
MGLU3,13/01/2020,52.20,54.23,52.15,54.23,MAGAZ LUIZA
MGLU3,14/01/2020,54.00,55.05,53.60,54.00,MAGAZ LUIZA
MGLU3,15/01/2020,53.68,54.36,53.20,53.66,MAGAZ LUIZA
MGLU3,16/01/2020,54.20,54.72,52.30,53.46,MAGAZ LUIZA
MGLU3,17/01/2020,53.80,54.43,53.10,54.35,MAGAZ LUIZA
MGLU3,20/01/2020,54.12,56.00,54.05,56.00,MAGAZ LUIZA
MGLU3,21/01/2020,55.72,56.74,55.61,55.91,MAGAZ LUIZA
MGLU3,22/01/2020,56.51,57.10,54.83,55.69,MAGAZ LUIZA
MGLU3,23/01/2020,55.68,56.72,54.93,56.58,MAGAZ LUIZA
MGLU3,24/01/2020,56.77,57.05,56.00,56.15,MAGAZ LUIZA
MGLU3,27/01/2020,55.05,55.30,53.75,53.80,MAGAZ LUIZA
MGLU3,28/01/2020,54.01,56.99,54.01,56.99,MAGAZ LUIZA
MGLU3,29/01/2020,57.51,58.09,56.65,57.29,MAGAZ LUIZA
MGLU3,30/01/2020,56.37,56.70,55.02,56.50,MAGAZ LUIZA
MGLU3,31/01/2020,55.64,57.15,55.20,55.80,MAGAZ LUIZA
MGLU3,03/02/2020,56.48,56.95,55.66,56.53,MAGAZ LUIZA
MGLU3,04/02/2020,57.60,58.67,57.13,57.66,MAGAZ LUIZA
MGLU3,05/02/2020,58.50,58.84,57.03,57.30,MAGAZ LUIZA
MGLU3,06/02/2020,58.00,58.15,55.80,55.83,MAGAZ LUIZA
MGLU3,07/02/2020,55.70,55.93,53.50,54.23,MAGAZ LUIZA
MGLU3,10/02/2020,54.00,55.53,51.54,52.38,MAGAZ LUIZA
MGLU3,11/02/2020,53.20,54.80,51.73,54.27,MAGAZ LUIZA
MGLU3,12/02/2020,54.53,56.55,54.25,55.94,MAGAZ LUIZA
MGLU3,13/02/2020,54.92,57.30,54.10,57.05,MAGAZ LUIZA
MGLU3,14/02/2020,57.60,57.96,56.00,56.33,MAGAZ LUIZA
MGLU3,17/02/2020,58.00,59.92,57.15,58.85,MAGAZ LUIZA
MGLU3,18/02/2020,58.25,59.10,57.50,58.22,MAGAZ LUIZA
MGLU3,19/02/2020,58.35,58.90,57.61,57.86,MAGAZ LUIZA
MGLU3,20/02/2020,57.93,58.13,55.83,56.54,MAGAZ LUIZA
MGLU3,21/02/2020,55.65,57.82,55.40,56.45,MAGAZ LUIZA
MGLU3,26/02/2020,53.06,54.05,51.76,52.88,MAGAZ LUIZA
MGLU3,27/02/2020,52.00,53.40,50.02,50.25,MAGAZ LUIZA
MGLU3,28/02/2020,49.00,50.52,47.22,50.52,MAGAZ LUIZA
MGLU3,02/03/2020,50.70,53.44,49.82,52.55,MAGAZ LUIZA
MGLU3,03/03/2020,52.68,54.80,51.67,52.85,MAGAZ LUIZA
MGLU3,04/03/2020,54.40,54.46,51.87,52.45,MAGAZ LUIZA
MGLU3,05/03/2020,52.00,52.00,46.60,47.79,MAGAZ LUIZA
MGLU3,06/03/2020,44.13,46.41,43.05,45.33,MAGAZ LUIZA
MGLU3,09/03/2020,39.02,42.36,38.78,40.36,MAGAZ LUIZA
MGLU3,10/03/2020,45.00,47.01,42.28,46.99,MAGAZ LUIZA
MGLU3,11/03/2020,45.00,46.77,39.90,43.08,MAGAZ LUIZA
MGLU3,12/03/2020,36.00,38.83,30.57,34.00,MAGAZ LUIZA
MGLU3,13/03/2020,42.50,42.76,34.21,42.00,MAGAZ LUIZA
MGLU3,16/03/2020,35.00,39.91,34.07,34.07,MAGAZ LUIZA
MGLU3,17/03/2020,36.12,37.68,32.85,35.57,MAGAZ LUIZA
MGLU3,18/03/2020,32.02,33.62,26.47,28.81,MAGAZ LUIZA
MGLU3,19/03/2020,27.50,31.37,25.00,30.55,MAGAZ LUIZA
MGLU3,20/03/2020,32.80,36.07,30.65,30.65,MAGAZ LUIZA
MGLU3,23/03/2020,32.50,32.93,29.56,30.21,MAGAZ LUIZA
MGLU3,24/03/2020,33.72,37.79,33.72,36.68,MAGAZ LUIZA
MGLU3,25/03/2020,36.90,43.35,36.72,40.00,MAGAZ LUIZA
MGLU3,26/03/2020,40.64,44.40,40.26,41.12,MAGAZ LUIZA
MGLU3,27/03/2020,38.69,40.74,37.65,39.00,MAGAZ LUIZA
MGLU3,30/03/2020,41.00,42.02,39.80,41.60,MAGAZ LUIZA
MGLU3,31/03/2020,42.48,43.20,38.81,38.99,MAGAZ LUIZA
MGLU3,01/04/2020,37.40,39.13,36.07,37.48,MAGAZ LUIZA
MGLU3,02/04/2020,38.22,38.70,35.11,35.89,MAGAZ LUIZA
MGLU3,03/04/2020,35.34,35.65,33.33,35.54,MAGAZ LUIZA
MGLU3,06/04/2020,38.40,39.38,37.22,38.20,MAGAZ LUIZA
MGLU3,07/04/2020,41.44,42.60,40.09,40.09,MAGAZ LUIZA
MGLU3,08/04/2020,40.27,42.20,39.44,41.96,MAGAZ LUIZA
MGLU3,09/04/2020,42.82,43.70,41.26,41.65,MAGAZ LUIZA
MGLU3,13/04/2020,41.09,42.10,40.67,41.91,MAGAZ LUIZA
MGLU3,14/04/2020,42.90,43.40,42.34,42.90,MAGAZ LUIZA
MGLU3,15/04/2020,42.10,44.32,41.50,43.85,MAGAZ LUIZA
MGLU3,16/04/2020,44.65,46.00,44.20,45.57,MAGAZ LUIZA
MGLU3,17/04/2020,46.68,46.89,43.90,44.59,MAGAZ LUIZA
MGLU3,20/04/2020,43.72,48.55,43.25,48.48,MAGAZ LUIZA
MGLU3,22/04/2020,49.50,52.18,49.10,50.55,MAGAZ LUIZA
MGLU3,23/04/2020,51.86,52.50,48.58,49.47,MAGAZ LUIZA
MGLU3,24/04/2020,48.39,49.15,42.68,47.38,MAGAZ LUIZA
MGLU3,27/04/2020,49.23,50.00,48.00,49.50,MAGAZ LUIZA
MGLU3,28/04/2020,51.00,51.80,50.15,51.80,MAGAZ LUIZA
MGLU3,29/04/2020,52.60,52.89,50.15,50.62,MAGAZ LUIZA
MGLU3,30/04/2020,49.86,51.55,49.11,49.70,MAGAZ LUIZA
MGLU3,04/05/2020,48.00,51.68,47.31,51.44,MAGAZ LUIZA
MGLU3,05/05/2020,52.15,52.80,50.15,50.20,MAGAZ LUIZA
MGLU3,06/05/2020,52.22,56.08,52.02,55.15,MAGAZ LUIZA
MGLU3,07/05/2020,56.50,58.20,53.39,56.79,MAGAZ LUIZA
MGLU3,08/05/2020,57.92,57.92,54.75,55.54,MAGAZ LUIZA
MGLU3,11/05/2020,55.44,56.55,54.56,54.95,MAGAZ LUIZA
MGLU3,12/05/2020,55.50,57.00,54.06,54.80,MAGAZ LUIZA
MGLU3,13/05/2020,55.60,55.94,54.43,55.10,MAGAZ LUIZA
MGLU3,14/05/2020,54.80,55.71,53.80,55.50,MAGAZ LUIZA
MGLU3,15/05/2020,55.00,56.25,54.30,55.13,MAGAZ LUIZA
MGLU3,18/05/2020,56.49,56.69,55.10,55.75,MAGAZ LUIZA
MGLU3,19/05/2020,55.94,59.25,55.70,58.58,MAGAZ LUIZA
MGLU3,20/05/2020,59.00,59.50,56.88,56.90,MAGAZ LUIZA
MGLU3,21/05/2020,57.60,59.10,57.08,58.29,MAGAZ LUIZA
MGLU3,22/05/2020,57.89,59.30,57.15,57.65,MAGAZ LUIZA
MGLU3,25/05/2020,59.20,61.00,58.88,60.40,MAGAZ LUIZA
MGLU3,26/05/2020,63.20,68.13,63.15,64.48,MAGAZ LUIZA
MGLU3,27/05/2020,66.86,67.77,64.75,67.36,MAGAZ LUIZA
MGLU3,28/05/2020,67.25,67.54,64.50,65.25,MAGAZ LUIZA
MGLU3,29/05/2020,65.30,65.69,64.00,64.35,MAGAZ LUIZA
MGLU3,01/06/2020,64.00,64.66,62.75,63.70,MAGAZ LUIZA
MGLU3,02/06/2020,64.61,64.98,61.41,61.80,MAGAZ LUIZA
MGLU3,03/06/2020,62.88,63.48,60.18,62.38,MAGAZ LUIZA
MGLU3,04/06/2020,61.63,62.15,60.01,60.49,MAGAZ LUIZA
MGLU3,05/06/2020,62.00,62.09,58.52,59.45,MAGAZ LUIZA
