Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
MOVI3,02/01/2020,19.18,19.66,19.11,19.58,MOVIDA
MOVI3,03/01/2020,19.30,20.20,18.62,20.10,MOVIDA
MOVI3,06/01/2020,19.85,20.18,19.43,20.04,MOVIDA
MOVI3,07/01/2020,20.00,20.20,19.73,20.00,MOVIDA
MOVI3,08/01/2020,19.90,20.24,19.80,20.10,MOVIDA
MOVI3,09/01/2020,20.16,20.64,20.00,20.38,MOVIDA
MOVI3,10/01/2020,20.45,20.82,20.21,20.33,MOVIDA
MOVI3,13/01/2020,20.43,20.70,20.16,20.55,MOVIDA
MOVI3,14/01/2020,20.50,20.69,20.35,20.65,MOVIDA
MOVI3,15/01/2020,20.70,20.96,20.02,20.62,MOVIDA
MOVI3,16/01/2020,20.73,20.77,20.25,20.46,MOVIDA
MOVI3,17/01/2020,20.46,20.69,20.26,20.63,MOVIDA
MOVI3,20/01/2020,20.70,20.86,20.45,20.86,MOVIDA
MOVI3,21/01/2020,20.80,21.34,20.64,20.93,MOVIDA
MOVI3,22/01/2020,21.19,21.20,20.58,20.82,MOVIDA
MOVI3,23/01/2020,20.82,21.51,20.39,21.40,MOVIDA
MOVI3,24/01/2020,21.40,21.62,21.07,21.40,MOVIDA
MOVI3,27/01/2020,20.60,21.07,20.19,20.89,MOVIDA
MOVI3,28/01/2020,20.65,21.58,20.60,21.31,MOVIDA
MOVI3,29/01/2020,21.51,21.79,21.21,21.21,MOVIDA
MOVI3,30/01/2020,20.95,21.44,20.26,21.44,MOVIDA
MOVI3,31/01/2020,21.21,21.41,20.96,21.05,MOVIDA
MOVI3,03/02/2020,20.98,22.00,20.84,21.78,MOVIDA
MOVI3,04/02/2020,22.06,22.56,21.72,21.72,MOVIDA
MOVI3,05/02/2020,22.05,22.50,21.83,22.20,MOVIDA
MOVI3,06/02/2020,22.30,22.55,21.36,21.53,MOVIDA
MOVI3,07/02/2020,21.24,21.55,20.60,20.83,MOVIDA
MOVI3,10/02/2020,20.75,20.87,20.00,20.11,MOVIDA
MOVI3,11/02/2020,20.35,21.10,20.28,21.08,MOVIDA
MOVI3,12/02/2020,21.17,21.84,20.76,21.39,MOVIDA
MOVI3,13/02/2020,21.25,21.45,20.76,21.30,MOVIDA
MOVI3,14/02/2020,21.35,21.82,21.30,21.52,MOVIDA
MOVI3,17/02/2020,21.50,22.09,21.50,21.76,MOVIDA
MOVI3,18/02/2020,21.70,22.22,21.42,22.10,MOVIDA
MOVI3,19/02/2020,22.20,22.49,21.99,22.49,MOVIDA
MOVI3,20/02/2020,22.50,22.53,21.65,21.76,MOVIDA
MOVI3,21/02/2020,21.65,21.96,21.30,21.71,MOVIDA
MOVI3,26/02/2020,20.90,20.90,19.37,19.56,MOVIDA
MOVI3,27/02/2020,19.40,19.57,18.24,18.24,MOVIDA
MOVI3,28/02/2020,18.10,18.35,17.30,18.00,MOVIDA
MOVI3,02/03/2020,18.11,19.25,18.10,18.83,MOVIDA
MOVI3,03/03/2020,18.93,19.36,18.25,18.30,MOVIDA
MOVI3,04/03/2020,18.85,19.09,18.46,19.09,MOVIDA
MOVI3,05/03/2020,18.94,18.94,17.05,17.55,MOVIDA
MOVI3,06/03/2020,16.90,17.00,16.23,16.42,MOVIDA
MOVI3,09/03/2020,14.75,14.82,13.21,13.90,MOVIDA
MOVI3,10/03/2020,15.70,16.31,14.77,15.91,MOVIDA
MOVI3,11/03/2020,15.80,16.85,14.47,15.45,MOVIDA
MOVI3,12/03/2020,13.40,13.89,12.52,12.87,MOVIDA
MOVI3,13/03/2020,15.50,15.90,13.00,14.80,MOVIDA
MOVI3,16/03/2020,12.97,13.23,11.68,12.01,MOVIDA
MOVI3,17/03/2020,12.30,12.60,11.13,11.35,MOVIDA
MOVI3,18/03/2020,10.52,10.69,7.80,8.90,MOVIDA
MOVI3,19/03/2020,8.35,9.61,7.52,9.30,MOVIDA
MOVI3,20/03/2020,9.99,10.03,8.66,9.00,MOVIDA
MOVI3,23/03/2020,8.99,8.99,7.25,7.71,MOVIDA
MOVI3,24/03/2020,8.49,8.64,7.93,8.33,MOVIDA
MOVI3,25/03/2020,8.43,10.11,8.35,9.75,MOVIDA
MOVI3,26/03/2020,9.54,10.94,9.53,9.96,MOVIDA
MOVI3,27/03/2020,9.50,10.30,9.23,9.67,MOVIDA
MOVI3,30/03/2020,9.90,10.08,8.63,8.80,MOVIDA
MOVI3,31/03/2020,8.82,8.90,7.94,8.09,MOVIDA
MOVI3,01/04/2020,7.83,8.23,7.40,7.88,MOVIDA
MOVI3,02/04/2020,8.01,8.13,7.52,7.80,MOVIDA
MOVI3,03/04/2020,7.85,7.86,7.07,7.79,MOVIDA
MOVI3,06/04/2020,8.19,9.14,7.97,8.62,MOVIDA
MOVI3,07/04/2020,9.30,9.62,8.81,8.95,MOVIDA
MOVI3,08/04/2020,8.95,10.21,8.81,9.71,MOVIDA
MOVI3,09/04/2020,10.00,10.29,9.56,9.86,MOVIDA
MOVI3,13/04/2020,9.80,10.00,9.41,9.65,MOVIDA
MOVI3,14/04/2020,9.84,10.19,9.72,9.92,MOVIDA
MOVI3,15/04/2020,9.65,10.47,9.46,9.97,MOVIDA
MOVI3,16/04/2020,10.20,10.40,9.75,9.92,MOVIDA
MOVI3,17/04/2020,10.29,10.36,10.03,10.18,MOVIDA
MOVI3,20/04/2020,9.99,10.79,9.87,10.74,MOVIDA
MOVI3,22/04/2020,10.85,11.75,10.81,11.68,MOVIDA
MOVI3,23/04/2020,12.00,12.45,11.05,11.35,MOVIDA
MOVI3,24/04/2020,11.08,11.12,9.62,10.03,MOVIDA
MOVI3,27/04/2020,10.51,10.84,10.23,10.76,MOVIDA
MOVI3,28/04/2020,11.14,11.38,10.67,11.38,MOVIDA
MOVI3,29/04/2020,11.70,11.74,11.15,11.38,MOVIDA
MOVI3,30/04/2020,11.05,11.35,10.72,10.80,MOVIDA
MOVI3,04/05/2020,10.32,10.66,10.08,10.54,MOVIDA
MOVI3,05/05/2020,10.80,10.85,10.33,10.40,MOVIDA
MOVI3,06/05/2020,10.33,10.53,9.89,10.00,MOVIDA
MOVI3,07/05/2020,10.20,10.20,9.35,9.38,MOVIDA
MOVI3,08/05/2020,9.49,9.65,9.17,9.39,MOVIDA
MOVI3,11/05/2020,9.35,9.48,8.90,8.98,MOVIDA
MOVI3,12/05/2020,9.07,9.50,8.71,8.88,MOVIDA
MOVI3,13/05/2020,8.94,9.05,8.33,8.50,MOVIDA
MOVI3,14/05/2020,8.65,9.28,8.31,9.28,MOVIDA
MOVI3,15/05/2020,9.20,9.61,8.81,9.37,MOVIDA
