Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
MTSA4,02/01/2020,23.49,24.65,23.19,24.00,METISA
MTSA4,03/01/2020,23.39,24.95,23.20,23.50,METISA
MTSA4,06/01/2020,24.49,26.55,23.53,26.55,METISA
MTSA4,07/01/2020,25.99,27.99,25.01,27.99,METISA
MTSA4,08/01/2020,27.50,28.43,26.30,28.25,METISA
MTSA4,09/01/2020,27.00,27.00,24.50,24.99,METISA
MTSA4,10/01/2020,25.39,25.39,24.10,24.50,METISA
MTSA4,13/01/2020,24.51,25.44,24.51,24.65,METISA
MTSA4,14/01/2020,24.51,25.00,24.50,24.90,METISA
MTSA4,15/01/2020,24.30,24.77,24.25,24.25,METISA
MTSA4,16/01/2020,24.46,24.50,24.25,24.30,METISA
MTSA4,17/01/2020,24.50,24.50,24.05,24.50,METISA
MTSA4,20/01/2020,24.49,24.50,24.02,24.02,METISA
MTSA4,21/01/2020,24.11,24.50,24.02,24.02,METISA
MTSA4,22/01/2020,24.05,24.06,23.70,23.98,METISA
MTSA4,23/01/2020,24.10,24.50,23.30,24.50,METISA
MTSA4,24/01/2020,24.12,24.50,24.12,24.50,METISA
MTSA4,27/01/2020,24.10,24.41,22.60,23.46,METISA
MTSA4,28/01/2020,23.12,23.88,23.11,23.11,METISA
MTSA4,29/01/2020,23.13,23.70,22.71,23.15,METISA
MTSA4,30/01/2020,22.01,23.25,22.01,23.00,METISA
MTSA4,31/01/2020,23.00,23.00,22.40,22.40,METISA
MTSA4,03/02/2020,22.38,24.45,22.38,22.85,METISA
MTSA4,04/02/2020,24.49,24.50,23.40,23.40,METISA
MTSA4,05/02/2020,23.80,24.39,23.30,24.39,METISA
MTSA4,06/02/2020,24.39,24.39,23.13,23.13,METISA
MTSA4,07/02/2020,23.16,23.58,23.00,23.00,METISA
MTSA4,10/02/2020,23.00,23.01,22.55,22.55,METISA
MTSA4,11/02/2020,22.60,23.20,22.60,22.88,METISA
MTSA4,12/02/2020,23.11,23.11,23.05,23.05,METISA
MTSA4,13/02/2020,22.82,23.00,22.79,22.79,METISA
MTSA4,14/02/2020,22.89,23.50,22.64,23.50,METISA
MTSA4,17/02/2020,23.49,23.70,23.00,23.69,METISA
MTSA4,18/02/2020,23.30,24.50,23.30,24.49,METISA
MTSA4,19/02/2020,24.49,24.50,23.61,23.61,METISA
MTSA4,20/02/2020,23.61,23.61,23.31,23.33,METISA
MTSA4,21/02/2020,23.35,23.39,23.00,23.00,METISA
MTSA4,26/02/2020,22.45,22.45,21.88,21.90,METISA
MTSA4,27/02/2020,21.68,21.68,20.60,21.22,METISA
MTSA4,28/02/2020,20.69,20.83,20.20,20.83,METISA
MTSA4,02/03/2020,20.70,20.95,19.78,20.82,METISA
MTSA4,03/03/2020,21.90,22.00,20.80,20.80,METISA
MTSA4,04/03/2020,20.55,20.60,20.20,20.20,METISA
MTSA4,05/03/2020,20.00,20.10,19.70,19.70,METISA
MTSA4,06/03/2020,19.70,19.70,18.40,18.45,METISA
MTSA4,09/03/2020,18.39,18.39,17.40,17.50,METISA
MTSA4,10/03/2020,18.20,18.20,18.00,18.10,METISA
MTSA4,11/03/2020,18.10,18.10,17.20,17.20,METISA
MTSA4,12/03/2020,16.00,16.00,14.50,15.50,METISA
MTSA4,13/03/2020,16.00,17.00,14.02,16.50,METISA
MTSA4,16/03/2020,15.00,15.01,13.11,14.00,METISA
MTSA4,17/03/2020,14.16,14.99,13.70,14.99,METISA
MTSA4,18/03/2020,13.46,14.00,13.00,13.60,METISA
MTSA4,19/03/2020,13.70,15.00,13.70,15.00,METISA
MTSA4,20/03/2020,15.48,15.50,13.71,14.90,METISA
MTSA4,23/03/2020,13.71,14.00,12.20,13.00,METISA
MTSA4,24/03/2020,14.95,15.98,13.05,15.98,METISA
MTSA4,25/03/2020,15.98,16.50,14.60,16.35,METISA
MTSA4,26/03/2020,16.80,17.05,16.00,16.98,METISA
MTSA4,27/03/2020,16.30,16.30,15.30,15.87,METISA
MTSA4,30/03/2020,15.87,16.50,15.53,16.50,METISA
MTSA4,31/03/2020,16.02,17.29,16.02,17.29,METISA
MTSA4,01/04/2020,15.22,16.99,15.22,15.68,METISA
MTSA4,02/04/2020,15.68,16.99,15.68,16.98,METISA
MTSA4,03/04/2020,15.25,15.79,15.20,15.55,METISA
MTSA4,06/04/2020,16.80,16.90,15.45,15.54,METISA
MTSA4,07/04/2020,15.81,16.50,15.30,16.49,METISA
MTSA4,08/04/2020,15.50,16.50,15.50,16.50,METISA
MTSA4,09/04/2020,16.70,17.99,15.30,15.30,METISA
MTSA4,13/04/2020,15.20,15.93,15.00,15.93,METISA
MTSA4,14/04/2020,15.93,16.20,14.80,16.15,METISA
MTSA4,15/04/2020,16.15,16.15,15.51,16.09,METISA
MTSA4,16/04/2020,15.80,16.00,15.80,16.00,METISA
MTSA4,17/04/2020,15.30,16.10,15.30,16.10,METISA
MTSA4,20/04/2020,15.70,16.15,15.38,15.40,METISA
MTSA4,22/04/2020,15.74,16.00,15.70,15.75,METISA
MTSA4,23/04/2020,15.75,15.75,15.75,15.75,METISA
MTSA4,24/04/2020,15.48,15.48,14.55,15.30,METISA
MTSA4,27/04/2020,15.45,16.15,15.40,16.15,METISA
MTSA4,28/04/2020,15.60,16.50,15.30,15.58,METISA
MTSA4,29/04/2020,15.59,16.30,15.59,16.19,METISA
MTSA4,30/04/2020,15.60,16.10,15.45,16.10,METISA
MTSA4,04/05/2020,15.40,16.00,15.00,16.00,METISA
MTSA4,05/05/2020,15.90,15.90,15.25,15.30,METISA
MTSA4,06/05/2020,15.59,15.59,15.20,15.57,METISA
MTSA4,07/05/2020,15.15,15.90,15.15,15.90,METISA
