Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
NTCO3,02/01/2020,38.88,39.08,37.50,38.33,GRUPO NATURA
NTCO3,03/01/2020,38.50,41.00,38.36,41.00,GRUPO NATURA
NTCO3,06/01/2020,41.20,43.33,39.50,40.13,GRUPO NATURA
NTCO3,07/01/2020,40.20,40.86,39.27,40.78,GRUPO NATURA
NTCO3,08/01/2020,40.80,42.06,40.53,40.99,GRUPO NATURA
NTCO3,09/01/2020,41.50,42.00,40.61,42.00,GRUPO NATURA
NTCO3,10/01/2020,41.98,43.53,41.59,42.89,GRUPO NATURA
NTCO3,13/01/2020,43.50,43.83,43.22,43.73,GRUPO NATURA
NTCO3,14/01/2020,43.20,44.26,43.08,44.26,GRUPO NATURA
NTCO3,15/01/2020,44.00,44.94,43.50,44.58,GRUPO NATURA
NTCO3,16/01/2020,44.80,45.42,43.92,45.41,GRUPO NATURA
NTCO3,17/01/2020,45.44,46.67,45.01,45.88,GRUPO NATURA
NTCO3,20/01/2020,45.90,46.58,45.69,46.50,GRUPO NATURA
NTCO3,21/01/2020,46.38,47.19,45.95,45.95,GRUPO NATURA
NTCO3,22/01/2020,46.50,48.16,46.20,47.75,GRUPO NATURA
NTCO3,23/01/2020,47.74,49.38,46.72,49.38,GRUPO NATURA
NTCO3,24/01/2020,49.60,50.15,48.80,49.18,GRUPO NATURA
NTCO3,27/01/2020,48.21,48.59,46.18,47.47,GRUPO NATURA
NTCO3,28/01/2020,47.62,49.44,47.51,49.04,GRUPO NATURA
NTCO3,29/01/2020,49.49,49.68,48.02,48.35,GRUPO NATURA
NTCO3,30/01/2020,48.00,48.95,46.12,48.95,GRUPO NATURA
NTCO3,31/01/2020,48.23,48.93,46.90,47.58,GRUPO NATURA
NTCO3,03/02/2020,47.98,49.10,47.64,47.79,GRUPO NATURA
NTCO3,04/02/2020,48.42,49.55,48.09,48.52,GRUPO NATURA
NTCO3,05/02/2020,49.20,49.60,47.56,48.50,GRUPO NATURA
NTCO3,06/02/2020,48.90,49.15,46.70,47.04,GRUPO NATURA
NTCO3,07/02/2020,46.76,47.27,45.02,45.57,GRUPO NATURA
NTCO3,10/02/2020,45.46,46.35,43.52,44.98,GRUPO NATURA
NTCO3,11/02/2020,45.30,47.90,45.04,47.80,GRUPO NATURA
NTCO3,12/02/2020,47.93,50.23,47.70,49.28,GRUPO NATURA
NTCO3,13/02/2020,48.00,49.17,47.83,49.17,GRUPO NATURA
NTCO3,14/02/2020,49.06,50.94,48.50,50.89,GRUPO NATURA
NTCO3,17/02/2020,50.78,51.29,49.48,50.62,GRUPO NATURA
NTCO3,18/02/2020,50.15,50.28,49.15,49.86,GRUPO NATURA
NTCO3,19/02/2020,50.15,50.79,48.51,50.35,GRUPO NATURA
NTCO3,20/02/2020,50.40,50.89,49.10,50.00,GRUPO NATURA
NTCO3,21/02/2020,49.90,49.90,48.01,48.50,GRUPO NATURA
NTCO3,26/02/2020,45.61,46.79,45.00,46.34,GRUPO NATURA
NTCO3,27/02/2020,46.18,46.72,44.51,45.53,GRUPO NATURA
NTCO3,28/02/2020,44.42,45.51,42.27,45.51,GRUPO NATURA
NTCO3,02/03/2020,44.65,45.81,44.03,44.81,GRUPO NATURA
NTCO3,03/03/2020,45.30,45.96,43.53,44.50,GRUPO NATURA
NTCO3,04/03/2020,44.75,45.10,43.30,44.17,GRUPO NATURA
NTCO3,05/03/2020,44.64,44.64,40.85,41.25,GRUPO NATURA
NTCO3,06/03/2020,40.27,40.80,39.40,39.80,GRUPO NATURA
NTCO3,09/03/2020,36.74,37.81,35.40,36.00,GRUPO NATURA
NTCO3,10/03/2020,37.67,39.10,35.65,39.10,GRUPO NATURA
NTCO3,11/03/2020,37.50,37.50,32.99,35.91,GRUPO NATURA
NTCO3,12/03/2020,30.05,33.75,28.00,28.51,GRUPO NATURA
NTCO3,13/03/2020,34.50,35.99,29.40,33.00,GRUPO NATURA
NTCO3,16/03/2020,27.00,27.94,24.31,25.00,GRUPO NATURA
NTCO3,17/03/2020,26.35,27.89,25.05,27.84,GRUPO NATURA
NTCO3,18/03/2020,25.75,26.36,20.85,25.20,GRUPO NATURA
NTCO3,19/03/2020,24.10,26.16,21.51,25.89,GRUPO NATURA
NTCO3,20/03/2020,27.00,28.22,24.80,25.17,GRUPO NATURA
NTCO3,23/03/2020,24.95,24.98,20.44,21.25,GRUPO NATURA
NTCO3,24/03/2020,22.70,25.70,22.42,24.90,GRUPO NATURA
NTCO3,25/03/2020,24.25,30.66,23.62,28.90,GRUPO NATURA
NTCO3,26/03/2020,28.32,30.17,27.48,29.00,GRUPO NATURA
NTCO3,27/03/2020,27.30,29.14,27.21,28.55,GRUPO NATURA
NTCO3,30/03/2020,28.81,29.29,26.63,27.43,GRUPO NATURA
NTCO3,31/03/2020,27.50,27.50,24.80,25.74,GRUPO NATURA
NTCO3,01/04/2020,24.00,24.78,22.33,23.19,GRUPO NATURA
NTCO3,02/04/2020,23.33,24.74,22.70,23.88,GRUPO NATURA
NTCO3,03/04/2020,23.65,24.40,21.82,23.68,GRUPO NATURA
NTCO3,06/04/2020,25.61,27.83,24.82,26.44,GRUPO NATURA
NTCO3,07/04/2020,28.02,29.60,28.02,28.96,GRUPO NATURA
NTCO3,08/04/2020,28.96,30.38,27.84,30.11,GRUPO NATURA
NTCO3,09/04/2020,30.15,30.99,28.75,28.98,GRUPO NATURA
NTCO3,13/04/2020,28.81,29.30,27.05,28.26,GRUPO NATURA
NTCO3,14/04/2020,28.88,30.55,28.75,29.78,GRUPO NATURA
NTCO3,15/04/2020,28.85,32.63,28.80,31.80,GRUPO NATURA
NTCO3,16/04/2020,32.10,33.78,31.51,32.33,GRUPO NATURA
NTCO3,17/04/2020,33.41,34.32,32.00,33.34,GRUPO NATURA
NTCO3,20/04/2020,32.50,34.51,32.00,33.46,GRUPO NATURA
NTCO3,22/04/2020,33.59,35.58,33.09,35.00,GRUPO NATURA
NTCO3,23/04/2020,35.10,35.70,33.25,34.60,GRUPO NATURA
NTCO3,24/04/2020,34.00,34.35,30.10,33.23,GRUPO NATURA
NTCO3,27/04/2020,33.94,35.45,33.35,35.40,GRUPO NATURA
NTCO3,28/04/2020,35.99,36.35,34.62,35.06,GRUPO NATURA
NTCO3,29/04/2020,35.48,36.57,34.51,36.32,GRUPO NATURA
NTCO3,30/04/2020,35.70,36.86,34.97,35.52,GRUPO NATURA
NTCO3,04/05/2020,34.40,34.40,33.00,34.40,GRUPO NATURA
NTCO3,05/05/2020,34.79,35.47,34.10,34.52,GRUPO NATURA
NTCO3,06/05/2020,34.61,36.66,33.61,36.50,GRUPO NATURA
NTCO3,07/05/2020,37.00,37.31,35.40,36.45,GRUPO NATURA
NTCO3,08/05/2020,36.60,37.50,34.85,35.70,GRUPO NATURA
NTCO3,11/05/2020,34.83,35.77,33.50,34.15,GRUPO NATURA
NTCO3,12/05/2020,34.14,34.22,32.00,32.05,GRUPO NATURA
NTCO3,13/05/2020,32.27,33.70,31.67,32.43,GRUPO NATURA
NTCO3,14/05/2020,31.90,33.24,31.46,33.24,GRUPO NATURA
NTCO3,15/05/2020,32.32,32.96,31.54,32.18,GRUPO NATURA
NTCO3,18/05/2020,33.53,33.68,32.43,33.36,GRUPO NATURA
NTCO3,19/05/2020,33.00,34.26,32.54,32.54,GRUPO NATURA
NTCO3,20/05/2020,32.43,33.90,32.17,33.71,GRUPO NATURA
NTCO3,21/05/2020,33.65,35.00,33.44,33.91,GRUPO NATURA
NTCO3,22/05/2020,33.74,34.28,32.70,34.10,GRUPO NATURA
NTCO3,25/05/2020,34.50,35.60,34.38,35.14,GRUPO NATURA
NTCO3,26/05/2020,35.70,36.92,35.44,36.08,GRUPO NATURA
NTCO3,27/05/2020,36.28,39.35,36.23,38.70,GRUPO NATURA
NTCO3,28/05/2020,38.69,38.99,36.88,37.74,GRUPO NATURA
NTCO3,29/05/2020,37.73,37.93,36.10,37.18,GRUPO NATURA
NTCO3,01/06/2020,36.99,38.59,36.35,37.97,GRUPO NATURA
NTCO3,02/06/2020,38.00,38.71,37.52,38.01,GRUPO NATURA
NTCO3,03/06/2020,38.48,39.27,37.56,38.33,GRUPO NATURA
NTCO3,04/06/2020,38.64,38.64,37.15,37.91,GRUPO NATURA
NTCO3,05/06/2020,38.41,41.14,38.35,40.14,GRUPO NATURA
NTCO3,08/06/2020,40.65,41.95,39.52,41.29,GRUPO NATURA
NTCO3,09/06/2020,40.50,41.27,39.88,41.21,GRUPO NATURA
NTCO3,10/06/2020,41.55,41.95,40.01,40.85,GRUPO NATURA
NTCO3,12/06/2020,39.48,40.61,39.39,40.02,GRUPO NATURA
NTCO3,15/06/2020,39.31,41.84,39.24,40.58,GRUPO NATURA
