Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
OMGE3,02/01/2020,36.75,39.30,36.53,39.30,OMEGA GER
OMGE3,03/01/2020,38.50,40.79,38.50,40.57,OMEGA GER
OMGE3,06/01/2020,40.38,40.38,39.33,39.68,OMEGA GER
OMGE3,07/01/2020,39.65,39.84,38.57,38.57,OMEGA GER
OMGE3,08/01/2020,38.80,39.80,38.16,39.60,OMEGA GER
OMGE3,09/01/2020,40.00,40.10,39.08,39.79,OMEGA GER
OMGE3,10/01/2020,39.97,40.00,39.40,39.63,OMEGA GER
OMGE3,13/01/2020,39.91,41.59,39.24,41.10,OMEGA GER
OMGE3,14/01/2020,40.98,41.06,40.19,40.90,OMEGA GER
OMGE3,15/01/2020,41.09,42.30,40.80,41.60,OMEGA GER
OMGE3,16/01/2020,42.33,42.33,40.59,40.59,OMEGA GER
OMGE3,17/01/2020,40.99,40.99,39.69,40.00,OMEGA GER
OMGE3,20/01/2020,40.27,40.32,39.33,40.32,OMEGA GER
OMGE3,21/01/2020,40.33,40.96,39.51,40.32,OMEGA GER
OMGE3,22/01/2020,40.60,41.09,40.05,41.09,OMEGA GER
OMGE3,23/01/2020,40.60,41.56,40.24,41.56,OMEGA GER
OMGE3,24/01/2020,41.56,41.87,41.04,41.81,OMEGA GER
OMGE3,27/01/2020,41.15,41.74,39.46,41.40,OMEGA GER
OMGE3,28/01/2020,41.40,41.99,41.40,41.55,OMEGA GER
OMGE3,29/01/2020,41.97,42.69,40.23,40.92,OMEGA GER
OMGE3,30/01/2020,40.39,40.46,39.39,39.93,OMEGA GER
OMGE3,31/01/2020,39.95,39.99,39.00,39.70,OMEGA GER
OMGE3,03/02/2020,39.67,40.28,38.79,39.90,OMEGA GER
OMGE3,04/02/2020,39.99,40.67,39.99,40.30,OMEGA GER
OMGE3,05/02/2020,40.32,41.08,40.02,40.46,OMEGA GER
OMGE3,06/02/2020,40.65,40.82,39.73,40.16,OMEGA GER
OMGE3,07/02/2020,39.67,40.11,38.90,39.12,OMEGA GER
OMGE3,10/02/2020,38.77,39.05,37.41,38.01,OMEGA GER
OMGE3,11/02/2020,38.00,39.03,37.90,39.00,OMEGA GER
OMGE3,12/02/2020,39.48,40.19,38.74,40.19,OMEGA GER
OMGE3,13/02/2020,39.68,40.88,39.09,40.88,OMEGA GER
OMGE3,14/02/2020,40.99,40.99,39.30,39.83,OMEGA GER
OMGE3,17/02/2020,39.36,41.44,39.36,41.13,OMEGA GER
OMGE3,18/02/2020,41.00,41.96,40.29,41.72,OMEGA GER
OMGE3,19/02/2020,41.75,41.79,40.83,41.52,OMEGA GER
OMGE3,20/02/2020,41.78,42.08,40.82,41.70,OMEGA GER
OMGE3,21/02/2020,41.61,41.76,41.20,41.75,OMEGA GER
OMGE3,26/02/2020,40.26,40.85,39.20,40.76,OMEGA GER
OMGE3,27/02/2020,40.28,41.24,39.25,40.64,OMEGA GER
OMGE3,28/02/2020,40.40,40.46,38.68,38.75,OMEGA GER
OMGE3,02/03/2020,38.75,40.75,38.61,40.49,OMEGA GER
OMGE3,03/03/2020,40.48,42.33,40.30,41.75,OMEGA GER
OMGE3,04/03/2020,43.00,44.00,42.20,43.00,OMEGA GER
OMGE3,05/03/2020,42.93,42.93,41.24,42.50,OMEGA GER
OMGE3,06/03/2020,41.89,41.89,38.66,40.00,OMEGA GER
OMGE3,09/03/2020,38.90,38.90,34.00,34.00,OMEGA GER
OMGE3,10/03/2020,35.10,37.53,34.91,37.36,OMEGA GER
OMGE3,11/03/2020,36.87,36.87,32.46,34.00,OMEGA GER
OMGE3,12/03/2020,29.60,31.93,27.95,30.50,OMEGA GER
OMGE3,13/03/2020,33.00,33.00,29.11,33.00,OMEGA GER
OMGE3,16/03/2020,28.10,31.00,27.33,28.70,OMEGA GER
OMGE3,17/03/2020,29.02,31.00,29.02,29.53,OMEGA GER
OMGE3,18/03/2020,28.38,29.87,25.51,28.03,OMEGA GER
OMGE3,19/03/2020,27.74,29.70,26.18,29.70,OMEGA GER
OMGE3,20/03/2020,31.00,31.81,26.99,26.99,OMEGA GER
OMGE3,23/03/2020,26.97,27.18,25.48,26.90,OMEGA GER
OMGE3,24/03/2020,28.50,28.80,26.92,28.20,OMEGA GER
OMGE3,25/03/2020,28.48,29.17,27.10,27.40,OMEGA GER
OMGE3,26/03/2020,27.41,29.73,27.34,28.99,OMEGA GER
OMGE3,27/03/2020,27.30,28.64,26.68,28.17,OMEGA GER
