Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
PETR4,02/01/2020,30.51,30.70,30.31,30.70,PETROBRAS
PETR4,03/01/2020,30.88,31.24,30.45,30.45,PETROBRAS
PETR4,06/01/2020,30.43,30.94,29.95,30.81,PETROBRAS
PETR4,07/01/2020,30.82,30.88,30.47,30.69,PETROBRAS
PETR4,08/01/2020,30.69,30.77,30.24,30.50,PETROBRAS
PETR4,09/01/2020,30.47,30.62,30.25,30.40,PETROBRAS
PETR4,10/01/2020,30.39,30.44,30.13,30.27,PETROBRAS
PETR4,13/01/2020,30.35,30.43,30.21,30.33,PETROBRAS
PETR4,14/01/2020,30.23,30.27,29.77,30.00,PETROBRAS
PETR4,15/01/2020,29.90,29.93,29.54,29.55,PETROBRAS
PETR4,16/01/2020,29.60,29.70,29.33,29.52,PETROBRAS
PETR4,17/01/2020,29.72,29.85,29.54,29.85,PETROBRAS
PETR4,20/01/2020,29.70,30.10,29.65,30.00,PETROBRAS
PETR4,21/01/2020,29.80,29.94,29.55,29.62,PETROBRAS
PETR4,22/01/2020,29.73,29.81,29.27,29.29,PETROBRAS
PETR4,23/01/2020,29.09,29.76,28.82,29.60,PETROBRAS
PETR4,24/01/2020,29.56,29.78,29.14,29.30,PETROBRAS
PETR4,27/01/2020,28.63,28.64,27.67,28.03,PETROBRAS
PETR4,28/01/2020,28.43,29.14,28.42,28.80,PETROBRAS
PETR4,29/01/2020,29.00,29.08,28.67,28.85,PETROBRAS
PETR4,30/01/2020,28.28,29.04,28.18,28.94,PETROBRAS
PETR4,31/01/2020,28.63,28.84,28.31,28.45,PETROBRAS
PETR4,03/02/2020,28.52,28.73,28.16,28.18,PETROBRAS
PETR4,04/02/2020,28.65,29.04,28.56,28.63,PETROBRAS
PETR4,05/02/2020,29.05,29.22,28.39,28.39,PETROBRAS
PETR4,06/02/2020,28.70,29.51,28.12,29.18,PETROBRAS
PETR4,07/02/2020,29.00,29.35,28.73,28.93,PETROBRAS
PETR4,10/02/2020,28.89,29.13,28.64,29.13,PETROBRAS
PETR4,11/02/2020,29.40,29.63,29.26,29.48,PETROBRAS
PETR4,12/02/2020,29.64,30.28,29.63,30.13,PETROBRAS
PETR4,13/02/2020,29.77,30.21,29.64,29.72,PETROBRAS
PETR4,14/02/2020,29.86,29.96,29.34,29.42,PETROBRAS
PETR4,17/02/2020,29.63,29.77,29.31,29.36,PETROBRAS
PETR4,18/02/2020,29.06,29.77,28.95,29.75,PETROBRAS
PETR4,19/02/2020,29.87,30.55,29.76,30.55,PETROBRAS
PETR4,20/02/2020,30.80,30.89,29.75,29.92,PETROBRAS
PETR4,21/02/2020,29.51,29.68,29.03,29.14,PETROBRAS
PETR4,26/02/2020,27.04,27.39,26.03,26.21,PETROBRAS
PETR4,27/02/2020,25.72,26.53,24.89,25.30,PETROBRAS
PETR4,28/02/2020,25.16,25.56,24.62,25.34,PETROBRAS
PETR4,02/03/2020,25.50,26.75,25.48,26.53,PETROBRAS
PETR4,03/03/2020,26.57,27.48,25.76,26.05,PETROBRAS
PETR4,04/03/2020,26.91,26.94,26.24,26.89,PETROBRAS
PETR4,05/03/2020,26.33,26.67,24.71,25.29,PETROBRAS
PETR4,06/03/2020,24.10,24.13,22.55,22.83,PETROBRAS
PETR4,09/03/2020,17.81,18.23,15.41,16.05,PETROBRAS
PETR4,10/03/2020,18.65,18.65,16.37,17.56,PETROBRAS
PETR4,11/03/2020,16.70,17.13,15.00,15.85,PETROBRAS
PETR4,12/03/2020,13.66,13.86,11.08,12.60,PETROBRAS
PETR4,13/03/2020,15.10,15.40,12.70,15.40,PETROBRAS
PETR4,16/03/2020,12.91,14.10,12.55,13.09,PETROBRAS
PETR4,17/03/2020,13.60,13.84,13.00,13.00,PETROBRAS
PETR4,18/03/2020,11.79,12.29,10.87,11.29,PETROBRAS
PETR4,19/03/2020,11.07,13.07,10.85,12.21,PETROBRAS
PETR4,20/03/2020,13.11,13.50,11.83,12.00,PETROBRAS
PETR4,23/03/2020,12.11,12.18,11.28,11.50,PETROBRAS
PETR4,24/03/2020,12.57,13.54,12.28,13.25,PETROBRAS
PETR4,25/03/2020,13.24,14.79,12.83,14.32,PETROBRAS
PETR4,26/03/2020,14.40,15.19,13.81,14.39,PETROBRAS
PETR4,27/03/2020,13.30,13.69,13.25,13.30,PETROBRAS
PETR4,30/03/2020,13.15,13.74,12.83,13.38,PETROBRAS
PETR4,31/03/2020,13.60,14.54,13.60,13.99,PETROBRAS
PETR4,01/04/2020,13.45,14.55,13.32,14.30,PETROBRAS
PETR4,02/04/2020,15.40,16.55,15.01,15.51,PETROBRAS
PETR4,03/04/2020,16.30,16.36,14.93,15.34,PETROBRAS
PETR4,06/04/2020,16.05,16.10,15.18,15.77,PETROBRAS
PETR4,07/04/2020,16.61,17.07,16.34,16.40,PETROBRAS
PETR4,08/04/2020,16.50,17.53,16.40,17.32,PETROBRAS
PETR4,09/04/2020,17.94,18.69,16.50,16.82,PETROBRAS
PETR4,13/04/2020,16.82,17.09,16.33,16.93,PETROBRAS
PETR4,14/04/2020,17.02,17.30,16.61,16.73,PETROBRAS
PETR4,15/04/2020,16.04,16.47,15.86,16.38,PETROBRAS
PETR4,16/04/2020,16.67,16.76,15.53,15.72,PETROBRAS
PETR4,17/04/2020,15.75,16.13,15.56,16.13,PETROBRAS
PETR4,20/04/2020,15.48,16.33,15.34,15.95,PETROBRAS
PETR4,22/04/2020,15.85,16.75,15.78,16.75,PETROBRAS
PETR4,23/04/2020,17.20,17.43,16.62,16.95,PETROBRAS
PETR4,24/04/2020,16.69,16.79,15.28,15.95,PETROBRAS
PETR4,27/04/2020,16.14,16.53,15.78,16.45,PETROBRAS
PETR4,28/04/2020,17.04,17.25,16.63,17.25,PETROBRAS
PETR4,29/04/2020,17.80,18.48,17.53,18.20,PETROBRAS
PETR4,30/04/2020,17.98,18.42,17.70,18.05,PETROBRAS
PETR4,04/05/2020,17.43,17.62,17.18,17.38,PETROBRAS
PETR4,05/05/2020,17.90,18.48,17.87,17.94,PETROBRAS
PETR4,06/05/2020,17.87,18.06,17.28,17.28,PETROBRAS
PETR4,07/05/2020,17.75,17.87,17.35,17.44,PETROBRAS
