Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
PFRM3,02/01/2020,6.59,6.67,6.49,6.60,PROFARMA
PFRM3,03/01/2020,6.50,6.99,6.40,6.96,PROFARMA
PFRM3,06/01/2020,7.07,7.71,7.07,7.69,PROFARMA
PFRM3,07/01/2020,7.42,7.50,7.05,7.05,PROFARMA
PFRM3,08/01/2020,7.01,7.28,6.80,7.13,PROFARMA
PFRM3,09/01/2020,7.21,7.22,6.98,7.12,PROFARMA
PFRM3,10/01/2020,7.12,7.23,6.96,6.96,PROFARMA
PFRM3,13/01/2020,7.01,7.17,6.96,7.10,PROFARMA
PFRM3,14/01/2020,7.12,7.15,6.95,7.00,PROFARMA
PFRM3,15/01/2020,7.02,7.39,7.02,7.27,PROFARMA
PFRM3,16/01/2020,7.35,7.45,7.09,7.16,PROFARMA
PFRM3,17/01/2020,7.24,7.29,7.07,7.17,PROFARMA
PFRM3,20/01/2020,7.20,7.29,7.10,7.23,PROFARMA
PFRM3,21/01/2020,7.23,7.40,7.13,7.17,PROFARMA
PFRM3,22/01/2020,7.23,7.29,6.88,7.09,PROFARMA
PFRM3,23/01/2020,7.09,7.15,6.95,7.04,PROFARMA
PFRM3,24/01/2020,7.07,7.29,7.02,7.15,PROFARMA
PFRM3,27/01/2020,7.08,7.08,6.70,6.95,PROFARMA
PFRM3,28/01/2020,6.94,7.06,6.61,6.90,PROFARMA
PFRM3,29/01/2020,6.92,7.03,6.72,6.72,PROFARMA
PFRM3,30/01/2020,6.60,6.65,6.40,6.64,PROFARMA
PFRM3,31/01/2020,6.51,6.83,6.49,6.49,PROFARMA
PFRM3,03/02/2020,6.45,6.69,6.37,6.66,PROFARMA
PFRM3,04/02/2020,6.71,6.90,6.68,6.90,PROFARMA
PFRM3,05/02/2020,6.85,6.94,6.64,6.81,PROFARMA
PFRM3,06/02/2020,6.89,6.89,6.72,6.83,PROFARMA
PFRM3,07/02/2020,6.66,6.82,6.57,6.60,PROFARMA
PFRM3,10/02/2020,6.60,6.60,6.23,6.30,PROFARMA
PFRM3,11/02/2020,6.35,6.52,6.26,6.50,PROFARMA
PFRM3,12/02/2020,6.51,6.57,6.37,6.45,PROFARMA
PFRM3,13/02/2020,6.35,6.38,6.18,6.30,PROFARMA
PFRM3,14/02/2020,6.29,6.35,6.12,6.26,PROFARMA
PFRM3,17/02/2020,6.32,6.44,6.20,6.20,PROFARMA
PFRM3,18/02/2020,6.20,6.50,6.15,6.48,PROFARMA
PFRM3,19/02/2020,6.50,6.83,6.40,6.67,PROFARMA
PFRM3,20/02/2020,6.70,6.78,6.62,6.66,PROFARMA
PFRM3,21/02/2020,6.61,6.62,6.41,6.52,PROFARMA
PFRM3,26/02/2020,6.24,6.24,5.89,5.99,PROFARMA
PFRM3,27/02/2020,5.85,6.04,5.61,5.75,PROFARMA
PFRM3,28/02/2020,5.70,5.76,5.51,5.76,PROFARMA
PFRM3,02/03/2020,5.82,6.10,5.71,6.05,PROFARMA
PFRM3,03/03/2020,6.16,6.25,5.92,6.05,PROFARMA
PFRM3,04/03/2020,6.09,6.16,5.90,6.05,PROFARMA
PFRM3,05/03/2020,6.05,6.06,5.60,5.75,PROFARMA
PFRM3,06/03/2020,5.46,5.60,5.29,5.60,PROFARMA
PFRM3,09/03/2020,4.89,5.16,4.63,4.75,PROFARMA
PFRM3,10/03/2020,5.12,5.32,4.77,5.32,PROFARMA
PFRM3,11/03/2020,5.28,5.41,4.69,5.21,PROFARMA
PFRM3,12/03/2020,4.50,4.52,4.02,4.02,PROFARMA
PFRM3,13/03/2020,4.50,4.68,4.10,4.49,PROFARMA
PFRM3,16/03/2020,4.01,4.65,3.90,4.35,PROFARMA
PFRM3,17/03/2020,4.50,4.52,3.96,4.24,PROFARMA
PFRM3,18/03/2020,3.80,3.95,3.29,3.50,PROFARMA
PFRM3,19/03/2020,3.20,3.58,2.89,3.58,PROFARMA
PFRM3,20/03/2020,3.67,3.96,3.22,3.22,PROFARMA
PFRM3,23/03/2020,3.23,3.34,2.87,3.10,PROFARMA
PFRM3,24/03/2020,3.22,3.42,3.13,3.13,PROFARMA
PFRM3,25/03/2020,3.21,3.66,3.15,3.52,PROFARMA
PFRM3,26/03/2020,3.59,4.30,3.50,4.18,PROFARMA
PFRM3,27/03/2020,3.90,4.33,3.90,4.25,PROFARMA
PFRM3,30/03/2020,4.26,4.68,4.17,4.27,PROFARMA
PFRM3,31/03/2020,4.20,4.38,4.07,4.30,PROFARMA
PFRM3,01/04/2020,4.11,4.25,3.98,4.11,PROFARMA
PFRM3,02/04/2020,4.15,4.25,4.02,4.18,PROFARMA
PFRM3,03/04/2020,4.10,4.20,3.83,4.00,PROFARMA
PFRM3,06/04/2020,4.21,4.23,3.95,3.99,PROFARMA
PFRM3,07/04/2020,4.18,4.34,3.97,4.05,PROFARMA
PFRM3,08/04/2020,4.10,4.30,4.00,4.28,PROFARMA
PFRM3,09/04/2020,4.31,4.47,4.24,4.29,PROFARMA
PFRM3,13/04/2020,4.29,4.45,4.23,4.39,PROFARMA
PFRM3,14/04/2020,4.50,4.55,4.42,4.43,PROFARMA
PFRM3,15/04/2020,4.32,4.52,4.21,4.44,PROFARMA
PFRM3,16/04/2020,4.50,4.53,4.26,4.34,PROFARMA
PFRM3,17/04/2020,4.54,4.78,4.44,4.64,PROFARMA
PFRM3,20/04/2020,4.46,4.76,4.43,4.60,PROFARMA
PFRM3,22/04/2020,4.60,5.04,4.57,4.89,PROFARMA
PFRM3,23/04/2020,4.97,5.17,4.63,4.77,PROFARMA
PFRM3,24/04/2020,4.62,4.72,4.22,4.49,PROFARMA
PFRM3,27/04/2020,4.61,4.65,4.35,4.63,PROFARMA
PFRM3,28/04/2020,4.65,4.82,4.41,4.58,PROFARMA
PFRM3,29/04/2020,4.62,4.75,4.50,4.74,PROFARMA
PFRM3,30/04/2020,4.75,4.79,4.47,4.59,PROFARMA
PFRM3,04/05/2020,4.41,4.63,4.33,4.63,PROFARMA
PFRM3,05/05/2020,4.63,4.76,4.54,4.70,PROFARMA
PFRM3,06/05/2020,4.69,5.26,4.57,5.22,PROFARMA
PFRM3,07/05/2020,5.35,5.37,4.61,4.82,PROFARMA
