Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
POMO4,02/01/2020,4.52,4.62,4.43,4.53,MARCOPOLO
POMO4,03/01/2020,4.45,4.53,4.44,4.50,MARCOPOLO
POMO4,06/01/2020,4.48,4.60,4.42,4.44,MARCOPOLO
POMO4,07/01/2020,4.48,4.54,4.44,4.50,MARCOPOLO
POMO4,08/01/2020,4.50,4.53,4.36,4.38,MARCOPOLO
POMO4,09/01/2020,4.42,4.47,4.32,4.46,MARCOPOLO
POMO4,10/01/2020,4.47,4.52,4.43,4.43,MARCOPOLO
POMO4,13/01/2020,4.48,4.50,4.41,4.46,MARCOPOLO
POMO4,14/01/2020,4.46,4.73,4.39,4.73,MARCOPOLO
POMO4,15/01/2020,4.72,4.81,4.60,4.63,MARCOPOLO
POMO4,16/01/2020,4.65,4.83,4.64,4.75,MARCOPOLO
POMO4,17/01/2020,4.80,4.88,4.66,4.88,MARCOPOLO
POMO4,20/01/2020,4.92,5.05,4.85,4.92,MARCOPOLO
POMO4,21/01/2020,4.88,5.05,4.83,4.95,MARCOPOLO
POMO4,22/01/2020,4.98,5.08,4.95,5.05,MARCOPOLO
POMO4,23/01/2020,5.05,5.20,4.98,5.20,MARCOPOLO
POMO4,24/01/2020,5.21,5.38,5.20,5.38,MARCOPOLO
POMO4,27/01/2020,5.28,5.28,4.98,5.05,MARCOPOLO
POMO4,28/01/2020,5.07,5.14,4.99,5.07,MARCOPOLO
POMO4,29/01/2020,5.12,5.17,4.91,4.92,MARCOPOLO
POMO4,30/01/2020,4.81,5.00,4.70,5.00,MARCOPOLO
POMO4,31/01/2020,4.94,4.97,4.82,4.84,MARCOPOLO
POMO4,03/02/2020,4.85,4.88,4.78,4.86,MARCOPOLO
POMO4,04/02/2020,5.05,5.38,5.05,5.29,MARCOPOLO
POMO4,05/02/2020,5.31,5.40,5.10,5.15,MARCOPOLO
POMO4,06/02/2020,5.24,5.25,5.02,5.11,MARCOPOLO
POMO4,07/02/2020,5.08,5.12,4.91,4.93,MARCOPOLO
POMO4,10/02/2020,4.95,5.14,4.91,5.03,MARCOPOLO
POMO4,11/02/2020,5.08,5.33,5.03,5.29,MARCOPOLO
