Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
POSI3,02/01/2020,10.27,10.44,10.15,10.16,POSITIVO TEC
POSI3,03/01/2020,10.14,10.14,9.73,9.94,POSITIVO TEC
POSI3,06/01/2020,9.90,9.94,9.50,9.53,POSITIVO TEC
POSI3,07/01/2020,9.57,10.32,9.57,9.88,POSITIVO TEC
POSI3,08/01/2020,9.83,10.13,9.61,9.64,POSITIVO TEC
POSI3,09/01/2020,9.85,10.14,9.70,9.72,POSITIVO TEC
POSI3,10/01/2020,9.83,9.96,9.70,9.87,POSITIVO TEC
POSI3,13/01/2020,10.00,10.09,9.90,10.03,POSITIVO TEC
POSI3,14/01/2020,10.03,10.19,9.92,9.92,POSITIVO TEC
POSI3,15/01/2020,9.95,9.96,9.75,9.82,POSITIVO TEC
POSI3,16/01/2020,9.84,9.96,9.66,9.70,POSITIVO TEC
POSI3,17/01/2020,9.64,9.75,9.55,9.60,POSITIVO TEC
POSI3,20/01/2020,9.69,9.79,9.61,9.65,POSITIVO TEC
POSI3,21/01/2020,9.70,9.75,9.13,9.22,POSITIVO TEC
POSI3,22/01/2020,9.22,10.48,8.74,10.45,POSITIVO TEC
POSI3,23/01/2020,10.46,10.83,9.82,9.96,POSITIVO TEC
POSI3,24/01/2020,10.00,10.50,9.96,10.10,POSITIVO TEC
POSI3,27/01/2020,10.05,10.11,9.43,9.75,POSITIVO TEC
POSI3,28/01/2020,9.65,9.85,9.25,9.39,POSITIVO TEC
POSI3,29/01/2020,9.42,9.58,8.86,8.98,POSITIVO TEC
POSI3,30/01/2020,8.90,8.90,8.40,8.50,POSITIVO TEC
POSI3,31/01/2020,6.90,7.99,6.85,7.46,POSITIVO TEC
POSI3,03/02/2020,7.35,7.46,7.00,7.00,POSITIVO TEC
POSI3,04/02/2020,7.18,7.23,6.85,6.93,POSITIVO TEC
POSI3,05/02/2020,7.00,7.09,6.70,6.70,POSITIVO TEC
POSI3,06/02/2020,6.76,6.97,6.45,6.60,POSITIVO TEC
POSI3,07/02/2020,6.54,6.55,6.32,6.40,POSITIVO TEC
POSI3,10/02/2020,6.84,7.11,6.45,6.70,POSITIVO TEC
POSI3,11/02/2020,6.76,6.89,6.55,6.77,POSITIVO TEC
POSI3,12/02/2020,6.82,6.99,6.68,6.88,POSITIVO TEC
POSI3,13/02/2020,6.71,6.91,6.70,6.90,POSITIVO TEC
POSI3,14/02/2020,7.00,7.36,6.82,6.95,POSITIVO TEC
POSI3,17/02/2020,7.07,7.08,6.70,6.72,POSITIVO TEC
POSI3,18/02/2020,6.64,6.90,6.58,6.89,POSITIVO TEC
POSI3,19/02/2020,6.89,6.98,6.71,6.79,POSITIVO TEC
POSI3,20/02/2020,6.76,6.88,6.73,6.80,POSITIVO TEC
POSI3,21/02/2020,6.74,6.80,6.63,6.77,POSITIVO TEC
POSI3,26/02/2020,6.36,6.51,6.05,6.50,POSITIVO TEC
POSI3,27/02/2020,6.36,6.48,6.02,6.25,POSITIVO TEC
POSI3,28/02/2020,6.08,6.77,5.75,6.77,POSITIVO TEC
POSI3,02/03/2020,7.02,7.22,6.74,6.89,POSITIVO TEC
POSI3,03/03/2020,7.01,7.07,6.61,6.81,POSITIVO TEC
POSI3,04/03/2020,6.92,6.94,6.51,6.70,POSITIVO TEC
