Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
PRIO3,02/01/2020,33.70,35.88,33.29,35.78,PETRORIO
PRIO3,03/01/2020,37.00,38.60,35.90,37.85,PETRORIO
PRIO3,06/01/2020,38.65,39.75,37.27,38.59,PETRORIO
PRIO3,07/01/2020,38.80,39.33,37.75,38.64,PETRORIO
PRIO3,08/01/2020,38.70,39.15,37.85,37.85,PETRORIO
PRIO3,09/01/2020,38.40,38.40,36.00,36.40,PETRORIO
PRIO3,10/01/2020,36.30,37.97,35.38,37.22,PETRORIO
PRIO3,13/01/2020,37.22,39.15,36.80,38.82,PETRORIO
PRIO3,14/01/2020,39.21,41.11,38.90,41.11,PETRORIO
PRIO3,15/01/2020,41.50,42.50,40.60,41.30,PETRORIO
PRIO3,16/01/2020,41.46,42.60,41.15,41.38,PETRORIO
PRIO3,17/01/2020,41.70,42.02,39.90,41.01,PETRORIO
PRIO3,20/01/2020,41.50,43.06,40.70,43.06,PETRORIO
PRIO3,21/01/2020,42.50,44.99,42.41,44.72,PETRORIO
PRIO3,22/01/2020,45.09,46.90,45.09,46.20,PETRORIO
PRIO3,23/01/2020,46.20,46.68,45.20,46.53,PETRORIO
PRIO3,24/01/2020,46.53,47.48,45.50,45.50,PETRORIO
PRIO3,27/01/2020,44.00,46.17,43.13,44.78,PETRORIO
PRIO3,28/01/2020,45.50,47.60,45.50,47.60,PETRORIO
PRIO3,29/01/2020,47.51,47.94,45.00,45.76,PETRORIO
PRIO3,30/01/2020,44.00,47.35,43.30,47.30,PETRORIO
PRIO3,31/01/2020,46.90,49.86,46.39,47.93,PETRORIO
PRIO3,03/02/2020,48.50,49.47,47.31,47.97,PETRORIO
PRIO3,04/02/2020,51.00,51.50,47.91,48.80,PETRORIO
PRIO3,05/02/2020,49.75,50.00,47.10,48.00,PETRORIO
PRIO3,06/02/2020,48.55,48.70,47.14,47.89,PETRORIO
PRIO3,07/02/2020,47.40,49.30,46.49,48.31,PETRORIO
PRIO3,10/02/2020,47.94,48.30,43.52,43.65,PETRORIO
PRIO3,11/02/2020,44.95,45.63,40.46,45.49,PETRORIO
PRIO3,12/02/2020,46.50,46.80,44.30,45.15,PETRORIO
PRIO3,13/02/2020,43.99,45.35,43.55,44.85,PETRORIO
PRIO3,14/02/2020,45.10,46.49,44.87,45.50,PETRORIO
PRIO3,17/02/2020,45.95,46.40,44.80,45.00,PETRORIO
PRIO3,18/02/2020,44.80,47.10,44.25,46.95,PETRORIO
PRIO3,19/02/2020,47.44,47.79,45.70,47.05,PETRORIO
PRIO3,20/02/2020,48.50,49.98,47.51,47.98,PETRORIO
PRIO3,21/02/2020,48.00,49.40,47.28,47.96,PETRORIO
PRIO3,26/02/2020,44.90,45.24,40.48,40.90,PETRORIO
PRIO3,27/02/2020,39.37,42.46,37.66,39.80,PETRORIO
PRIO3,28/02/2020,38.89,39.66,37.80,39.40,PETRORIO
PRIO3,02/03/2020,39.37,42.94,39.31,42.30,PETRORIO
PRIO3,03/03/2020,43.50,44.98,41.56,41.78,PETRORIO
PRIO3,04/03/2020,43.90,43.90,40.81,41.33,PETRORIO
PRIO3,05/03/2020,40.74,42.26,38.73,39.55,PETRORIO
PRIO3,06/03/2020,37.00,37.88,35.10,35.44,PETRORIO
PRIO3,09/03/2020,22.80,27.60,22.17,22.49,PETRORIO
PRIO3,10/03/2020,27.80,27.93,23.23,25.53,PETRORIO
PRIO3,11/03/2020,24.00,25.48,22.00,23.31,PETRORIO
PRIO3,12/03/2020,18.60,18.60,15.69,15.69,PETRORIO
PRIO3,13/03/2020,20.05,20.05,15.34,18.67,PETRORIO
PRIO3,16/03/2020,13.98,17.17,13.85,15.50,PETRORIO
PRIO3,17/03/2020,16.00,16.29,14.51,14.69,PETRORIO
PRIO3,18/03/2020,12.88,13.57,9.10,10.35,PETRORIO
PRIO3,19/03/2020,10.40,12.80,9.37,11.83,PETRORIO
PRIO3,20/03/2020,13.20,14.60,12.30,12.40,PETRORIO
PRIO3,23/03/2020,12.00,12.34,10.81,11.88,PETRORIO
PRIO3,24/03/2020,13.70,13.88,12.60,13.07,PETRORIO
PRIO3,25/03/2020,13.28,18.40,13.15,17.29,PETRORIO
PRIO3,26/03/2020,16.51,22.18,16.50,18.93,PETRORIO
PRIO3,27/03/2020,17.25,19.70,16.95,18.10,PETRORIO
PRIO3,30/03/2020,18.00,18.88,16.56,17.00,PETRORIO
PRIO3,31/03/2020,17.65,18.20,16.30,16.70,PETRORIO
PRIO3,01/04/2020,15.80,16.60,15.07,16.48,PETRORIO
PRIO3,02/04/2020,18.15,19.74,17.32,19.50,PETRORIO
PRIO3,03/04/2020,20.73,21.50,18.66,20.83,PETRORIO
PRIO3,06/04/2020,21.67,25.72,21.21,25.72,PETRORIO
PRIO3,07/04/2020,29.00,29.89,27.11,27.50,PETRORIO
PRIO3,08/04/2020,26.90,29.10,26.63,27.99,PETRORIO
PRIO3,09/04/2020,28.90,29.30,23.86,24.70,PETRORIO
PRIO3,13/04/2020,24.77,25.38,22.95,23.46,PETRORIO
PRIO3,14/04/2020,24.00,24.90,23.25,23.69,PETRORIO
PRIO3,15/04/2020,22.00,23.65,21.62,23.50,PETRORIO
PRIO3,16/04/2020,24.55,24.88,22.50,22.50,PETRORIO
PRIO3,17/04/2020,22.84,22.98,21.97,22.01,PETRORIO
PRIO3,20/04/2020,20.50,21.49,20.22,20.60,PETRORIO
