Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
QUAL3,02/01/2020,36.95,39.38,36.71,39.20,QUALICORP
QUAL3,03/01/2020,38.78,40.01,38.50,40.01,QUALICORP
QUAL3,06/01/2020,39.60,41.65,39.35,41.65,QUALICORP
QUAL3,07/01/2020,41.45,41.45,39.97,40.59,QUALICORP
QUAL3,08/01/2020,40.57,40.70,38.99,39.81,QUALICORP
QUAL3,09/01/2020,39.82,40.45,39.42,40.10,QUALICORP
QUAL3,10/01/2020,40.50,41.10,40.10,40.65,QUALICORP
QUAL3,13/01/2020,40.93,41.95,40.35,41.95,QUALICORP
QUAL3,14/01/2020,41.79,43.32,41.54,42.96,QUALICORP
QUAL3,15/01/2020,43.02,43.02,41.66,42.39,QUALICORP
QUAL3,16/01/2020,42.75,42.88,41.00,41.63,QUALICORP
QUAL3,17/01/2020,41.86,42.05,41.00,41.81,QUALICORP
QUAL3,20/01/2020,41.51,42.64,41.51,42.60,QUALICORP
QUAL3,21/01/2020,42.43,43.40,42.32,43.33,QUALICORP
QUAL3,22/01/2020,43.50,44.49,43.22,44.49,QUALICORP
QUAL3,23/01/2020,44.06,45.06,43.62,44.99,QUALICORP
QUAL3,24/01/2020,45.02,45.05,43.65,43.98,QUALICORP
QUAL3,27/01/2020,43.55,43.55,41.50,41.86,QUALICORP
QUAL3,28/01/2020,42.01,43.53,42.01,43.53,QUALICORP
QUAL3,29/01/2020,44.00,44.19,41.92,42.44,QUALICORP
QUAL3,30/01/2020,41.04,41.76,39.90,41.70,QUALICORP
QUAL3,31/01/2020,40.60,41.92,40.40,41.46,QUALICORP
QUAL3,03/02/2020,41.46,43.87,41.36,43.82,QUALICORP
QUAL3,04/02/2020,44.25,45.15,43.48,43.72,QUALICORP
QUAL3,05/02/2020,44.24,44.40,42.58,43.60,QUALICORP
QUAL3,06/02/2020,43.99,44.12,42.77,43.65,QUALICORP
QUAL3,07/02/2020,43.01,43.50,41.41,42.20,QUALICORP
QUAL3,10/02/2020,42.10,42.10,39.70,40.40,QUALICORP
QUAL3,11/02/2020,40.80,42.55,40.63,42.42,QUALICORP
QUAL3,12/02/2020,42.45,43.78,41.73,43.26,QUALICORP
QUAL3,13/02/2020,42.35,43.20,41.92,42.45,QUALICORP
QUAL3,14/02/2020,42.26,42.48,41.34,41.70,QUALICORP
QUAL3,17/02/2020,41.87,42.66,41.56,42.60,QUALICORP
QUAL3,18/02/2020,42.08,42.17,39.61,41.28,QUALICORP
QUAL3,19/02/2020,41.28,42.01,40.73,41.80,QUALICORP
QUAL3,20/02/2020,41.60,41.79,39.60,39.81,QUALICORP
