Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RADL3,02/01/2020,111.86,115.00,111.45,114.83,RAIADROGASIL
RADL3,03/01/2020,113.00,113.63,111.92,112.27,RAIADROGASIL
RADL3,06/01/2020,111.40,111.40,109.42,110.06,RAIADROGASIL
RADL3,07/01/2020,110.06,110.08,107.50,108.55,RAIADROGASIL
RADL3,08/01/2020,109.09,110.19,107.53,110.00,RAIADROGASIL
RADL3,09/01/2020,110.25,113.31,109.81,113.31,RAIADROGASIL
RADL3,10/01/2020,112.86,113.54,109.10,109.80,RAIADROGASIL
RADL3,13/01/2020,109.79,112.37,109.63,112.37,RAIADROGASIL
RADL3,14/01/2020,111.93,114.05,110.47,114.05,RAIADROGASIL
RADL3,15/01/2020,113.90,114.40,112.90,114.39,RAIADROGASIL
RADL3,16/01/2020,114.40,114.85,112.57,113.82,RAIADROGASIL
RADL3,17/01/2020,113.82,115.68,112.76,115.68,RAIADROGASIL
RADL3,20/01/2020,116.21,120.41,116.21,119.11,RAIADROGASIL
RADL3,21/01/2020,119.00,126.37,117.70,125.50,RAIADROGASIL
RADL3,22/01/2020,126.10,127.35,124.04,125.75,RAIADROGASIL
RADL3,23/01/2020,125.28,125.28,123.20,123.49,RAIADROGASIL
RADL3,24/01/2020,123.51,124.38,122.52,124.00,RAIADROGASIL
RADL3,27/01/2020,122.82,126.28,120.91,125.00,RAIADROGASIL
RADL3,28/01/2020,125.21,126.05,123.46,124.87,RAIADROGASIL
RADL3,29/01/2020,125.35,128.59,124.60,128.59,RAIADROGASIL
RADL3,30/01/2020,127.60,129.06,124.01,125.30,RAIADROGASIL
RADL3,31/01/2020,124.81,125.02,122.54,124.22,RAIADROGASIL
RADL3,03/02/2020,124.64,125.63,123.52,123.81,RAIADROGASIL
RADL3,04/02/2020,125.51,125.74,121.36,123.12,RAIADROGASIL
RADL3,05/02/2020,123.90,125.00,121.16,121.81,RAIADROGASIL
RADL3,06/02/2020,122.77,123.20,119.67,121.25,RAIADROGASIL
RADL3,07/02/2020,120.76,121.67,119.02,120.50,RAIADROGASIL
RADL3,10/02/2020,120.00,121.29,118.70,119.72,RAIADROGASIL
RADL3,11/02/2020,120.63,122.54,119.85,121.29,RAIADROGASIL
RADL3,12/02/2020,122.00,123.72,120.50,122.16,RAIADROGASIL
RADL3,13/02/2020,121.69,121.82,119.20,120.00,RAIADROGASIL
RADL3,14/02/2020,120.10,122.88,118.85,122.18,RAIADROGASIL
RADL3,17/02/2020,122.89,123.16,120.75,120.75,RAIADROGASIL
RADL3,18/02/2020,121.00,121.00,118.60,119.90,RAIADROGASIL
RADL3,19/02/2020,119.90,120.48,118.00,120.24,RAIADROGASIL
RADL3,20/02/2020,119.71,122.21,118.45,119.09,RAIADROGASIL
RADL3,21/02/2020,118.62,122.67,116.69,122.67,RAIADROGASIL
RADL3,26/02/2020,116.95,121.00,116.08,119.19,RAIADROGASIL
RADL3,27/02/2020,116.96,118.81,113.26,113.26,RAIADROGASIL
RADL3,28/02/2020,113.45,119.90,110.10,119.90,RAIADROGASIL
RADL3,02/03/2020,118.80,125.84,118.11,124.57,RAIADROGASIL
RADL3,03/03/2020,124.00,128.37,121.93,124.89,RAIADROGASIL
RADL3,04/03/2020,126.98,127.34,123.18,124.90,RAIADROGASIL
RADL3,05/03/2020,124.39,130.50,122.14,124.21,RAIADROGASIL
RADL3,06/03/2020,120.57,124.09,119.37,123.15,RAIADROGASIL
RADL3,09/03/2020,114.98,117.39,110.53,115.89,RAIADROGASIL
RADL3,10/03/2020,117.02,118.87,111.00,116.80,RAIADROGASIL
RADL3,11/03/2020,113.80,116.68,104.00,115.00,RAIADROGASIL
RADL3,12/03/2020,100.00,103.89,96.50,100.24,RAIADROGASIL
RADL3,13/03/2020,109.00,112.00,93.92,104.99,RAIADROGASIL
RADL3,16/03/2020,99.00,99.30,89.11,95.00,RAIADROGASIL
RADL3,17/03/2020,97.31,106.50,90.61,103.26,RAIADROGASIL
RADL3,18/03/2020,96.70,104.93,89.52,100.80,RAIADROGASIL
RADL3,19/03/2020,97.47,109.48,95.49,107.17,RAIADROGASIL
RADL3,20/03/2020,109.71,115.52,107.78,112.36,RAIADROGASIL
RADL3,23/03/2020,113.80,117.68,105.30,114.90,RAIADROGASIL
RADL3,24/03/2020,120.00,121.64,105.55,108.22,RAIADROGASIL
RADL3,25/03/2020,108.28,113.96,104.10,112.89,RAIADROGASIL
RADL3,26/03/2020,112.90,112.98,105.79,110.46,RAIADROGASIL
RADL3,27/03/2020,105.68,111.60,105.68,107.16,RAIADROGASIL
RADL3,30/03/2020,108.88,108.88,102.72,104.34,RAIADROGASIL
RADL3,31/03/2020,103.93,105.00,99.52,101.85,RAIADROGASIL
RADL3,01/04/2020,98.00,104.45,97.41,103.40,RAIADROGASIL
RADL3,02/04/2020,103.71,105.27,101.57,104.85,RAIADROGASIL
RADL3,03/04/2020,103.86,104.41,94.80,95.00,RAIADROGASIL
RADL3,06/04/2020,98.92,99.41,95.76,97.00,RAIADROGASIL
RADL3,07/04/2020,99.99,103.38,98.38,100.49,RAIADROGASIL
RADL3,08/04/2020,101.70,102.90,98.73,101.39,RAIADROGASIL
RADL3,09/04/2020,102.50,103.79,99.80,101.96,RAIADROGASIL
RADL3,13/04/2020,100.38,102.20,98.02,101.08,RAIADROGASIL
RADL3,14/04/2020,101.79,103.34,99.90,99.90,RAIADROGASIL
RADL3,15/04/2020,99.00,102.56,98.10,102.21,RAIADROGASIL
RADL3,16/04/2020,102.61,108.25,102.33,105.00,RAIADROGASIL
RADL3,17/04/2020,106.24,107.90,101.30,103.91,RAIADROGASIL
RADL3,20/04/2020,102.23,109.50,101.62,108.45,RAIADROGASIL
RADL3,22/04/2020,109.00,113.77,108.64,111.02,RAIADROGASIL
RADL3,23/04/2020,112.00,112.83,105.24,106.95,RAIADROGASIL
RADL3,24/04/2020,105.00,106.00,98.50,104.54,RAIADROGASIL
RADL3,27/04/2020,105.30,108.46,104.32,106.05,RAIADROGASIL
RADL3,28/04/2020,108.57,110.55,107.22,110.55,RAIADROGASIL
RADL3,29/04/2020,112.00,114.00,106.00,108.58,RAIADROGASIL
RADL3,30/04/2020,107.20,108.29,104.42,104.78,RAIADROGASIL
RADL3,04/05/2020,103.44,104.56,101.73,104.56,RAIADROGASIL
RADL3,05/05/2020,105.51,106.42,101.83,104.11,RAIADROGASIL
RADL3,06/05/2020,103.11,104.13,100.82,103.52,RAIADROGASIL
RADL3,07/05/2020,103.67,108.56,102.54,103.69,RAIADROGASIL
RADL3,08/05/2020,105.67,107.09,103.30,104.68,RAIADROGASIL
RADL3,11/05/2020,104.39,106.49,103.90,105.00,RAIADROGASIL
RADL3,12/05/2020,105.58,109.75,104.75,108.27,RAIADROGASIL
RADL3,13/05/2020,108.70,109.32,105.54,105.60,RAIADROGASIL
RADL3,14/05/2020,104.30,105.54,100.90,105.54,RAIADROGASIL
RADL3,15/05/2020,105.54,105.54,102.00,102.83,RAIADROGASIL
RADL3,18/05/2020,105.16,106.04,103.00,105.93,RAIADROGASIL
RADL3,19/05/2020,106.10,106.10,102.58,103.02,RAIADROGASIL
RADL3,20/05/2020,103.83,104.05,101.60,102.95,RAIADROGASIL
RADL3,21/05/2020,102.91,107.64,102.35,107.41,RAIADROGASIL
RADL3,22/05/2020,106.50,110.74,104.22,105.56,RAIADROGASIL
RADL3,25/05/2020,107.90,108.81,105.84,106.96,RAIADROGASIL
RADL3,26/05/2020,108.00,111.00,107.36,109.11,RAIADROGASIL
RADL3,27/05/2020,109.20,112.18,109.20,111.96,RAIADROGASIL
RADL3,28/05/2020,111.03,111.78,108.90,109.47,RAIADROGASIL
RADL3,29/05/2020,109.04,110.58,107.57,109.44,RAIADROGASIL
RADL3,01/06/2020,109.69,111.79,108.52,109.75,RAIADROGASIL
RADL3,02/06/2020,109.51,113.37,109.51,113.37,RAIADROGASIL
RADL3,03/06/2020,116.49,116.57,111.80,111.97,RAIADROGASIL
RADL3,04/06/2020,111.00,113.85,110.00,111.80,RAIADROGASIL
RADL3,05/06/2020,113.52,115.00,111.00,111.00,RAIADROGASIL
RADL3,08/06/2020,111.44,113.03,110.34,110.65,RAIADROGASIL
RADL3,09/06/2020,110.08,111.29,108.55,110.45,RAIADROGASIL
RADL3,10/06/2020,111.03,113.28,110.92,111.60,RAIADROGASIL
