Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RAIL3,02/01/2020,26.32,26.59,26.14,26.40,RUMO S.A.
RAIL3,03/01/2020,26.10,26.30,25.63,25.63,RUMO S.A.
RAIL3,06/01/2020,25.60,25.60,24.33,24.90,RUMO S.A.
RAIL3,07/01/2020,24.93,25.39,24.60,25.27,RUMO S.A.
RAIL3,08/01/2020,25.09,25.70,24.90,25.60,RUMO S.A.
RAIL3,09/01/2020,25.60,25.93,25.41,25.93,RUMO S.A.
RAIL3,10/01/2020,25.97,26.27,25.46,25.67,RUMO S.A.
RAIL3,13/01/2020,25.78,25.98,25.31,25.95,RUMO S.A.
RAIL3,14/01/2020,25.85,26.09,25.62,25.80,RUMO S.A.
RAIL3,15/01/2020,25.61,25.63,24.96,24.97,RUMO S.A.
RAIL3,16/01/2020,24.65,24.80,23.88,24.34,RUMO S.A.
RAIL3,17/01/2020,24.49,24.80,24.16,24.30,RUMO S.A.
RAIL3,20/01/2020,24.30,24.69,24.30,24.69,RUMO S.A.
RAIL3,21/01/2020,24.49,24.72,24.11,24.23,RUMO S.A.
RAIL3,22/01/2020,24.40,24.55,23.93,24.32,RUMO S.A.
RAIL3,23/01/2020,24.10,24.79,23.70,24.79,RUMO S.A.
RAIL3,24/01/2020,24.79,24.85,24.31,24.33,RUMO S.A.
RAIL3,27/01/2020,23.95,24.10,23.70,23.90,RUMO S.A.
RAIL3,28/01/2020,24.07,24.23,23.81,23.90,RUMO S.A.
RAIL3,29/01/2020,24.00,24.04,23.45,23.65,RUMO S.A.
RAIL3,30/01/2020,23.50,23.50,22.95,23.22,RUMO S.A.
RAIL3,31/01/2020,23.22,23.22,22.70,23.20,RUMO S.A.
RAIL3,03/02/2020,23.20,23.40,22.88,23.26,RUMO S.A.
RAIL3,04/02/2020,23.45,24.03,23.41,23.73,RUMO S.A.
RAIL3,05/02/2020,24.00,24.27,23.66,23.70,RUMO S.A.
RAIL3,06/02/2020,23.93,24.19,23.53,23.56,RUMO S.A.
RAIL3,07/02/2020,23.55,23.71,23.03,23.20,RUMO S.A.
RAIL3,10/02/2020,23.18,23.18,22.46,22.70,RUMO S.A.
RAIL3,11/02/2020,22.80,23.87,22.69,23.75,RUMO S.A.
RAIL3,12/02/2020,23.75,24.45,23.33,24.44,RUMO S.A.
RAIL3,13/02/2020,24.30,24.30,23.69,23.80,RUMO S.A.
RAIL3,14/02/2020,23.94,23.94,22.57,23.02,RUMO S.A.
RAIL3,17/02/2020,23.04,23.10,22.64,22.72,RUMO S.A.
RAIL3,18/02/2020,22.55,23.19,22.13,23.19,RUMO S.A.
RAIL3,19/02/2020,22.97,24.07,22.91,24.07,RUMO S.A.
RAIL3,20/02/2020,23.89,24.32,23.61,24.13,RUMO S.A.
RAIL3,21/02/2020,23.78,23.89,23.11,23.89,RUMO S.A.
RAIL3,26/02/2020,22.60,23.59,21.98,21.98,RUMO S.A.
