Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RANI3,02/01/2020,4.10,4.15,4.04,4.14,CELUL IRANI
RANI3,03/01/2020,4.00,4.12,3.95,4.11,CELUL IRANI
RANI3,06/01/2020,4.11,4.11,3.97,3.97,CELUL IRANI
RANI3,07/01/2020,4.02,4.27,4.02,4.11,CELUL IRANI
RANI3,08/01/2020,4.15,4.50,4.15,4.30,CELUL IRANI
RANI3,09/01/2020,4.30,4.35,4.05,4.22,CELUL IRANI
RANI3,10/01/2020,4.15,4.30,4.05,4.11,CELUL IRANI
RANI3,13/01/2020,4.22,4.30,4.00,4.30,CELUL IRANI
RANI3,14/01/2020,4.30,4.30,4.11,4.18,CELUL IRANI
RANI3,15/01/2020,4.09,4.27,4.09,4.13,CELUL IRANI
RANI3,16/01/2020,4.29,4.29,4.11,4.11,CELUL IRANI
RANI3,17/01/2020,4.11,4.18,4.05,4.10,CELUL IRANI
RANI3,20/01/2020,4.03,4.42,4.03,4.20,CELUL IRANI
RANI3,21/01/2020,4.97,4.97,4.35,4.45,CELUL IRANI
RANI3,22/01/2020,4.47,4.69,4.30,4.46,CELUL IRANI
RANI3,23/01/2020,4.47,4.55,4.25,4.50,CELUL IRANI
RANI3,24/01/2020,4.61,4.80,4.39,4.39,CELUL IRANI
RANI3,27/01/2020,4.25,4.65,4.20,4.35,CELUL IRANI
RANI3,28/01/2020,4.30,4.63,4.28,4.29,CELUL IRANI
RANI3,29/01/2020,4.40,4.40,4.10,4.25,CELUL IRANI
RANI3,30/01/2020,4.17,4.17,3.85,4.09,CELUL IRANI
RANI3,31/01/2020,4.00,4.16,3.69,3.88,CELUL IRANI
RANI3,03/02/2020,3.97,4.06,3.84,4.03,CELUL IRANI
RANI3,04/02/2020,4.34,4.77,4.20,4.27,CELUL IRANI
RANI3,05/02/2020,4.48,4.60,4.35,4.37,CELUL IRANI
RANI3,06/02/2020,4.40,4.80,4.40,4.56,CELUL IRANI
RANI3,07/02/2020,4.66,5.79,4.51,5.59,CELUL IRANI
RANI3,10/02/2020,5.78,7.07,5.21,6.80,CELUL IRANI
RANI3,11/02/2020,7.20,8.37,5.53,5.65,CELUL IRANI
RANI3,12/02/2020,5.63,6.47,5.60,6.00,CELUL IRANI
RANI3,13/02/2020,5.90,6.27,5.69,5.87,CELUL IRANI
RANI3,14/02/2020,6.03,6.25,5.91,5.96,CELUL IRANI
RANI3,17/02/2020,6.00,6.00,5.40,5.44,CELUL IRANI
RANI3,18/02/2020,5.44,5.60,5.28,5.28,CELUL IRANI
RANI3,19/02/2020,5.50,6.40,5.48,5.57,CELUL IRANI
RANI3,20/02/2020,5.72,5.90,5.30,5.30,CELUL IRANI
RANI3,21/02/2020,5.38,5.60,5.15,5.15,CELUL IRANI
RANI3,26/02/2020,4.80,5.09,4.80,5.09,CELUL IRANI
RANI3,27/02/2020,5.09,5.10,4.73,4.80,CELUL IRANI
RANI3,28/02/2020,4.85,4.99,4.40,4.60,CELUL IRANI
RANI3,02/03/2020,4.64,5.15,4.64,4.87,CELUL IRANI
RANI3,03/03/2020,5.02,5.25,4.71,4.81,IRANI
RANI3,04/03/2020,4.90,4.93,4.67,4.93,IRANI
RANI3,05/03/2020,4.88,4.93,4.52,4.79,IRANI
RANI3,06/03/2020,4.49,4.70,4.35,4.69,IRANI
RANI3,09/03/2020,4.20,4.20,3.71,3.71,IRANI
RANI3,10/03/2020,4.19,4.52,4.08,4.10,IRANI
RANI3,11/03/2020,4.10,4.49,3.89,4.06,IRANI
RANI3,12/03/2020,3.70,3.70,3.11,3.40,IRANI
RANI3,13/03/2020,3.95,3.99,3.45,3.77,IRANI
RANI3,16/03/2020,3.77,3.77,3.21,3.31,IRANI
RANI3,17/03/2020,3.31,3.62,3.19,3.29,IRANI
RANI3,18/03/2020,3.00,3.28,2.75,2.79,IRANI
RANI3,19/03/2020,2.50,2.90,2.50,2.83,IRANI
RANI3,20/03/2020,3.20,3.20,2.75,2.79,IRANI
RANI3,23/03/2020,2.75,2.80,2.51,2.54,IRANI
RANI3,24/03/2020,2.85,2.85,2.66,2.69,IRANI
RANI3,25/03/2020,2.81,3.00,2.80,2.90,IRANI
RANI3,26/03/2020,2.90,3.15,2.90,3.06,IRANI
RANI3,27/03/2020,3.05,3.09,2.78,2.87,IRANI
RANI3,30/03/2020,2.81,2.95,2.74,2.80,IRANI
RANI3,31/03/2020,2.80,3.29,2.80,3.03,IRANI
RANI3,01/04/2020,3.24,3.30,2.90,2.90,IRANI
RANI3,02/04/2020,3.11,3.11,2.78,2.87,IRANI
RANI3,03/04/2020,2.97,2.97,2.60,2.70,IRANI
RANI3,06/04/2020,2.70,2.95,2.61,2.86,IRANI
RANI3,07/04/2020,2.88,2.98,2.87,2.93,IRANI
RANI3,08/04/2020,2.83,2.93,2.83,2.93,IRANI
RANI3,09/04/2020,2.97,3.05,2.97,3.00,IRANI
RANI3,13/04/2020,2.97,3.02,2.94,3.00,IRANI
RANI3,14/04/2020,2.99,3.13,2.99,3.06,IRANI
RANI3,15/04/2020,2.94,3.03,2.75,2.95,IRANI
RANI3,16/04/2020,3.05,3.23,2.95,3.08,IRANI
RANI3,17/04/2020,3.09,3.12,2.99,2.99,IRANI
RANI3,20/04/2020,3.22,3.22,2.97,3.04,IRANI
RANI3,22/04/2020,3.04,3.20,2.94,3.04,IRANI
RANI3,23/04/2020,3.00,3.19,3.00,3.08,IRANI
RANI3,24/04/2020,2.99,3.10,2.71,3.10,IRANI
RANI3,27/04/2020,3.10,3.37,3.09,3.16,IRANI
RANI3,28/04/2020,3.25,3.40,3.07,3.10,IRANI
RANI3,29/04/2020,3.00,3.30,3.00,3.20,IRANI
RANI3,30/04/2020,3.08,3.19,3.02,3.08,IRANI
RANI3,04/05/2020,3.08,3.08,2.97,2.99,IRANI
RANI3,05/05/2020,3.02,3.10,2.99,3.01,IRANI
RANI3,06/05/2020,3.00,3.05,2.90,3.02,IRANI
RANI3,07/05/2020,3.11,4.38,3.11,4.22,IRANI
RANI3,08/05/2020,3.89,3.89,3.40,3.58,IRANI
RANI3,11/05/2020,3.60,3.92,3.43,3.52,IRANI
RANI3,12/05/2020,3.52,3.67,3.43,3.60,IRANI
RANI3,13/05/2020,3.65,3.80,3.45,3.58,IRANI
RANI3,14/05/2020,3.50,3.74,3.46,3.54,IRANI
RANI3,15/05/2020,3.50,3.62,3.35,3.36,IRANI
RANI3,18/05/2020,3.45,3.60,3.29,3.38,IRANI
RANI3,19/05/2020,3.41,3.48,3.27,3.31,IRANI
RANI3,20/05/2020,3.40,3.40,3.21,3.30,IRANI
RANI3,21/05/2020,3.30,3.35,3.21,3.28,IRANI
RANI3,22/05/2020,3.30,3.40,3.21,3.35,IRANI
RANI3,25/05/2020,3.40,3.40,3.28,3.40,IRANI
RANI3,26/05/2020,3.39,3.45,3.28,3.35,IRANI
RANI3,27/05/2020,3.30,3.39,3.29,3.31,IRANI
RANI3,28/05/2020,3.32,3.40,3.26,3.37,IRANI
RANI3,29/05/2020,3.31,3.37,3.30,3.37,IRANI
RANI3,01/06/2020,3.33,3.49,3.33,3.49,IRANI
RANI3,02/06/2020,3.51,3.81,3.51,3.81,IRANI
RANI3,03/06/2020,3.91,4.09,3.70,3.92,IRANI
RANI3,04/06/2020,3.92,4.09,3.85,4.09,IRANI
RANI3,05/06/2020,4.10,4.19,3.88,4.05,IRANI
RANI3,08/06/2020,4.05,4.14,3.93,3.98,IRANI
RANI3,09/06/2020,4.01,4.14,3.97,3.98,IRANI
RANI3,10/06/2020,3.97,4.11,3.93,4.02,IRANI
RANI3,12/06/2020,4.00,4.00,3.89,3.97,IRANI
RANI3,15/06/2020,3.98,3.98,3.60,3.89,IRANI
RANI3,16/06/2020,3.89,3.97,3.89,3.97,IRANI
RANI3,17/06/2020,3.74,4.07,3.74,4.04,IRANI
RANI3,18/06/2020,4.02,4.29,4.00,4.20,IRANI
RANI3,19/06/2020,4.19,5.60,4.19,5.20,IRANI
RANI3,22/06/2020,4.90,5.50,4.75,4.99,IRANI
RANI3,23/06/2020,4.99,4.99,4.76,4.85,IRANI
RANI3,24/06/2020,4.74,4.89,4.57,4.89,IRANI
RANI3,25/06/2020,4.95,4.95,4.46,4.60,IRANI
RANI3,26/06/2020,4.58,4.68,4.40,4.55,IRANI
RANI3,29/06/2020,4.54,4.55,4.38,4.50,IRANI
RANI3,30/06/2020,4.45,4.74,4.45,4.65,IRANI
