Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RAPT3,02/01/2020,11.15,11.59,11.10,11.42,RANDON PART
RAPT3,03/01/2020,11.41,12.01,11.10,11.85,RANDON PART
RAPT3,06/01/2020,11.85,11.85,11.10,11.60,RANDON PART
RAPT3,07/01/2020,11.70,11.76,11.60,11.74,RANDON PART
RAPT3,08/01/2020,11.70,11.70,11.35,11.50,RANDON PART
RAPT3,09/01/2020,11.59,11.71,11.50,11.59,RANDON PART
RAPT3,10/01/2020,11.61,11.70,11.61,11.65,RANDON PART
RAPT3,13/01/2020,11.59,11.70,11.29,11.40,RANDON PART
RAPT3,14/01/2020,11.40,11.50,11.30,11.49,RANDON PART
RAPT3,15/01/2020,11.61,11.61,11.44,11.46,RANDON PART
RAPT3,16/01/2020,11.41,11.45,11.14,11.20,RANDON PART
RAPT3,17/01/2020,11.42,11.65,11.42,11.63,RANDON PART
RAPT3,20/01/2020,11.69,11.70,11.45,11.70,RANDON PART
RAPT3,21/01/2020,11.70,11.71,11.55,11.55,RANDON PART
RAPT3,22/01/2020,11.74,11.74,11.51,11.71,RANDON PART
RAPT3,23/01/2020,11.70,11.74,11.48,11.54,RANDON PART
RAPT3,24/01/2020,11.54,11.54,11.30,11.31,RANDON PART
RAPT3,27/01/2020,11.31,11.75,11.14,11.36,RANDON PART
RAPT3,28/01/2020,11.63,11.75,11.15,11.32,RANDON PART
RAPT3,29/01/2020,11.33,11.55,11.09,11.55,RANDON PART
RAPT3,30/01/2020,11.04,11.19,10.71,11.10,RANDON PART
RAPT3,31/01/2020,11.23,11.58,11.10,11.10,RANDON PART
RAPT3,03/02/2020,10.94,11.35,10.52,11.30,RANDON PART
RAPT3,04/02/2020,11.29,11.60,11.29,11.43,RANDON PART
RAPT3,05/02/2020,11.48,11.65,11.48,11.49,RANDON PART
RAPT3,06/02/2020,11.52,11.70,11.15,11.32,RANDON PART
RAPT3,07/02/2020,11.33,11.64,11.01,11.51,RANDON PART
RAPT3,10/02/2020,11.65,11.70,11.30,11.31,RANDON PART
RAPT3,11/02/2020,11.21,11.49,10.92,11.47,RANDON PART
RAPT3,12/02/2020,11.48,11.75,11.48,11.52,RANDON PART
RAPT3,13/02/2020,11.60,11.75,11.60,11.74,RANDON PART
RAPT3,14/02/2020,11.71,11.72,11.59,11.59,RANDON PART
RAPT3,17/02/2020,11.59,11.68,11.59,11.68,RANDON PART
RAPT3,18/02/2020,11.62,11.75,11.47,11.75,RANDON PART
RAPT3,19/02/2020,11.74,11.75,11.73,11.75,RANDON PART
RAPT3,20/02/2020,11.59,11.71,11.13,11.14,RANDON PART
RAPT3,21/02/2020,11.24,11.75,11.24,11.55,RANDON PART
RAPT3,26/02/2020,10.51,10.77,10.18,10.75,RANDON PART
RAPT3,27/02/2020,10.76,11.15,9.76,10.85,RANDON PART
RAPT3,28/02/2020,10.85,10.85,9.70,9.80,RANDON PART
RAPT3,02/03/2020,9.90,10.54,9.51,9.51,RANDON PART
RAPT3,03/03/2020,9.61,9.95,9.50,9.63,RANDON PART
RAPT3,04/03/2020,9.63,9.97,9.63,9.97,RANDON PART
RAPT3,05/03/2020,10.10,10.15,8.80,8.89,RANDON PART
RAPT3,06/03/2020,8.08,8.50,7.90,8.22,RANDON PART
RAPT3,09/03/2020,7.80,8.17,7.12,7.40,RANDON PART
RAPT3,10/03/2020,8.14,8.49,7.80,8.35,RANDON PART
RAPT3,11/03/2020,8.24,8.24,7.50,7.99,RANDON PART
RAPT3,12/03/2020,7.40,7.40,6.45,6.55,RANDON PART
RAPT3,13/03/2020,7.51,8.56,6.40,6.75,RANDON PART
RAPT3,16/03/2020,6.75,6.76,6.00,6.11,RANDON PART
RAPT3,17/03/2020,6.25,6.25,5.70,6.08,RANDON PART
RAPT3,18/03/2020,5.50,5.60,4.21,4.21,RANDON PART
RAPT3,19/03/2020,4.23,5.00,3.76,4.80,RANDON PART
RAPT3,20/03/2020,5.06,5.10,4.43,4.43,RANDON PART
RAPT3,23/03/2020,4.70,4.70,4.12,4.43,RANDON PART
RAPT3,24/03/2020,4.43,4.84,4.43,4.43,RANDON PART
RAPT3,25/03/2020,4.60,5.05,4.51,4.89,RANDON PART
