Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RCSL3,02/01/2020,1.76,1.87,1.75,1.75,RECRUSUL
RCSL3,03/01/2020,1.76,1.82,1.76,1.79,RECRUSUL
RCSL3,06/01/2020,1.83,2.00,1.76,1.91,RECRUSUL
RCSL3,07/01/2020,2.03,2.19,1.97,2.15,RECRUSUL
RCSL3,08/01/2020,2.30,2.35,2.21,2.23,RECRUSUL
RCSL3,09/01/2020,2.32,2.38,2.09,2.18,RECRUSUL
RCSL3,10/01/2020,2.18,2.31,2.02,2.18,RECRUSUL
RCSL3,13/01/2020,2.26,2.40,2.24,2.29,RECRUSUL
RCSL3,14/01/2020,2.35,2.80,2.30,2.70,RECRUSUL
RCSL3,15/01/2020,2.81,3.98,2.81,3.83,RECRUSUL
RCSL3,16/01/2020,4.54,5.55,3.90,4.94,RECRUSUL
RCSL3,17/01/2020,5.14,5.50,4.45,4.70,RECRUSUL
RCSL3,20/01/2020,4.94,4.95,4.20,4.22,RECRUSUL
RCSL3,21/01/2020,4.00,4.01,3.39,3.82,RECRUSUL
RCSL3,22/01/2020,3.80,4.17,3.60,3.86,RECRUSUL
RCSL3,23/01/2020,3.86,3.89,3.69,3.74,RECRUSUL
RCSL3,24/01/2020,3.76,3.80,3.53,3.56,RECRUSUL
RCSL3,27/01/2020,3.35,3.50,3.21,3.29,RECRUSUL
RCSL3,28/01/2020,3.40,3.40,2.82,3.04,RECRUSUL
RCSL3,29/01/2020,3.04,3.07,2.75,2.99,RECRUSUL
RCSL3,30/01/2020,2.89,2.98,2.72,2.91,RECRUSUL
RCSL3,31/01/2020,2.90,3.34,2.80,3.00,RECRUSUL
RCSL3,03/02/2020,3.00,3.14,2.80,2.91,RECRUSUL
RCSL3,04/02/2020,3.02,3.07,2.92,2.98,RECRUSUL
RCSL3,05/02/2020,3.02,3.10,2.90,3.08,RECRUSUL
RCSL3,06/02/2020,3.10,3.10,2.90,2.90,RECRUSUL
RCSL3,07/02/2020,2.86,3.08,2.86,2.95,RECRUSUL
RCSL3,10/02/2020,2.82,2.90,2.62,2.69,RECRUSUL
RCSL3,11/02/2020,2.73,2.90,2.62,2.70,RECRUSUL
RCSL3,12/02/2020,2.73,2.78,2.63,2.73,RECRUSUL
RCSL3,13/02/2020,2.79,3.25,2.76,3.10,RECRUSUL
RCSL3,14/02/2020,3.14,3.18,2.92,2.92,RECRUSUL
RCSL3,17/02/2020,3.05,3.05,2.75,2.80,RECRUSUL
RCSL3,18/02/2020,2.79,3.00,2.72,2.84,RECRUSUL
RCSL3,19/02/2020,2.90,2.90,2.75,2.75,RECRUSUL
RCSL3,20/02/2020,2.85,2.85,2.76,2.78,RECRUSUL
RCSL3,21/02/2020,2.78,2.82,2.70,2.79,RECRUSUL
RCSL3,26/02/2020,2.69,2.70,2.55,2.60,RECRUSUL
RCSL3,27/02/2020,2.58,2.60,2.50,2.50,RECRUSUL
RCSL3,28/02/2020,2.51,2.58,2.26,2.30,RECRUSUL
RCSL3,02/03/2020,2.60,2.60,2.49,2.51,RECRUSUL
RCSL3,03/03/2020,2.52,2.60,2.44,2.55,RECRUSUL
RCSL3,04/03/2020,2.60,2.60,2.40,2.45,RECRUSUL
RCSL3,05/03/2020,2.56,2.56,2.20,2.28,RECRUSUL
RCSL3,06/03/2020,2.36,2.36,1.95,2.20,RECRUSUL
RCSL3,09/03/2020,1.90,2.07,1.73,1.88,RECRUSUL
RCSL3,10/03/2020,2.25,2.25,2.08,2.10,RECRUSUL
RCSL3,11/03/2020,2.25,2.25,1.93,2.00,RECRUSUL
RCSL3,12/03/2020,1.80,1.98,1.40,1.65,RECRUSUL
RCSL3,13/03/2020,2.00,2.00,1.52,1.75,RECRUSUL
RCSL3,16/03/2020,1.75,1.75,1.50,1.55,RECRUSUL
RCSL3,17/03/2020,1.66,1.66,1.40,1.54,RECRUSUL
RCSL3,18/03/2020,1.40,1.42,1.19,1.27,RECRUSUL
RCSL3,19/03/2020,1.13,1.30,1.02,1.20,RECRUSUL
RCSL3,20/03/2020,1.66,1.66,1.25,1.25,RECRUSUL
RCSL3,23/03/2020,1.48,1.48,1.10,1.20,RECRUSUL
RCSL3,24/03/2020,1.30,1.40,1.27,1.32,RECRUSUL
RCSL3,25/03/2020,1.39,1.39,1.22,1.36,RECRUSUL
RCSL3,26/03/2020,1.40,1.48,1.31,1.39,RECRUSUL
RCSL3,27/03/2020,1.40,1.50,1.36,1.39,RECRUSUL
RCSL3,30/03/2020,1.50,1.50,1.29,1.38,RECRUSUL
RCSL3,31/03/2020,1.44,1.44,1.31,1.32,RECRUSUL
RCSL3,01/04/2020,1.40,1.40,1.14,1.32,RECRUSUL
RCSL3,02/04/2020,1.38,1.38,1.25,1.32,RECRUSUL
RCSL3,03/04/2020,1.37,1.37,1.15,1.33,RECRUSUL
RCSL3,06/04/2020,1.39,1.39,1.30,1.32,RECRUSUL
RCSL3,07/04/2020,1.36,1.42,1.35,1.35,RECRUSUL
RCSL3,08/04/2020,1.42,1.42,1.32,1.39,RECRUSUL
RCSL3,09/04/2020,1.40,1.55,1.40,1.44,RECRUSUL
