Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RDNI3,02/01/2020,15.82,16.17,15.70,15.84,RNI
RDNI3,03/01/2020,15.98,15.98,15.79,15.81,RNI
RDNI3,06/01/2020,15.70,15.85,15.60,15.73,RNI
RDNI3,07/01/2020,15.80,15.80,15.68,15.79,RNI
RDNI3,08/01/2020,15.50,16.60,15.02,16.20,RNI
RDNI3,09/01/2020,16.22,16.79,15.56,15.75,RNI
RDNI3,10/01/2020,15.75,16.15,15.75,15.77,RNI
RDNI3,13/01/2020,15.75,16.00,15.75,15.91,RNI
RDNI3,14/01/2020,15.91,16.49,15.90,16.14,RNI
RDNI3,15/01/2020,16.14,16.45,15.90,16.05,RNI
RDNI3,16/01/2020,15.87,16.43,15.86,16.25,RNI
RDNI3,17/01/2020,16.40,16.44,16.00,16.30,RNI
RDNI3,20/01/2020,16.31,16.60,16.12,16.60,RNI
RDNI3,21/01/2020,16.80,16.84,16.55,16.60,RNI
RDNI3,22/01/2020,16.89,16.89,16.52,16.62,RNI
RDNI3,23/01/2020,16.62,16.87,16.41,16.64,RNI
RDNI3,24/01/2020,16.63,16.90,16.33,16.37,RNI
RDNI3,27/01/2020,16.30,16.30,15.12,15.12,RNI
RDNI3,28/01/2020,15.45,15.68,14.91,15.16,RNI
RDNI3,29/01/2020,15.50,15.51,14.60,14.60,RNI
RDNI3,30/01/2020,14.00,14.41,13.80,14.25,RNI
RDNI3,31/01/2020,14.47,14.59,14.00,14.14,RNI
RDNI3,03/02/2020,14.30,15.30,14.10,15.30,RNI
RDNI3,04/02/2020,16.28,16.28,15.07,15.50,RNI
RDNI3,05/02/2020,15.06,15.85,15.06,15.50,RNI
RDNI3,06/02/2020,15.50,15.70,15.20,15.30,RNI
RDNI3,07/02/2020,15.20,15.43,14.54,14.70,RNI
RDNI3,10/02/2020,15.06,15.06,14.05,14.05,RNI
RDNI3,11/02/2020,14.02,14.89,14.02,14.33,RNI
RDNI3,12/02/2020,14.49,14.73,14.28,14.45,RNI
RDNI3,13/02/2020,14.20,14.86,14.15,14.65,RNI
RDNI3,14/02/2020,14.89,14.89,14.28,14.30,RNI
RDNI3,17/02/2020,14.35,14.80,14.25,14.31,RNI
RDNI3,18/02/2020,14.50,14.50,14.23,14.28,RNI
RDNI3,19/02/2020,14.24,14.70,14.24,14.49,RNI
RDNI3,20/02/2020,14.91,14.91,14.28,14.50,RNI
RDNI3,21/02/2020,14.49,15.00,14.32,14.99,RNI
RDNI3,26/02/2020,14.20,14.20,13.31,13.31,RNI
RDNI3,27/02/2020,13.27,13.84,12.40,13.79,RNI
RDNI3,28/02/2020,13.36,13.38,12.61,12.87,RNI
RDNI3,02/03/2020,13.34,13.40,12.83,13.40,RNI
RDNI3,03/03/2020,13.70,13.94,13.21,13.21,RNI
RDNI3,04/03/2020,13.42,13.42,12.81,13.05,RNI
RDNI3,05/03/2020,12.91,13.22,11.52,12.00,RNI
RDNI3,06/03/2020,11.48,12.43,11.04,12.43,RNI
RDNI3,09/03/2020,11.40,11.48,10.98,11.15,RNI
RDNI3,10/03/2020,11.15,12.34,11.15,11.60,RNI
RDNI3,11/03/2020,11.16,11.61,10.10,10.70,RNI
RDNI3,12/03/2020,10.30,10.30,8.19,9.00,RNI
RDNI3,13/03/2020,10.02,10.10,8.82,9.60,RNI
RDNI3,16/03/2020,9.50,9.50,8.13,8.80,RNI
RDNI3,17/03/2020,8.91,9.13,7.80,7.80,RNI
RDNI3,18/03/2020,7.20,7.20,5.70,5.96,RNI
RDNI3,19/03/2020,6.10,6.70,5.30,6.50,RNI
RDNI3,20/03/2020,6.50,8.20,6.43,6.50,RNI
RDNI3,23/03/2020,5.62,6.08,5.62,5.81,RNI
RDNI3,24/03/2020,6.35,6.80,5.75,5.80,RNI
RDNI3,25/03/2020,5.90,6.38,5.70,6.16,RNI
RDNI3,26/03/2020,6.00,7.88,6.00,7.00,RNI
RDNI3,27/03/2020,7.10,7.11,6.50,6.90,RNI
RDNI3,30/03/2020,7.33,7.54,6.52,7.09,RNI
RDNI3,31/03/2020,7.00,7.04,6.70,7.00,RNI
RDNI3,01/04/2020,7.20,7.20,6.30,6.79,RNI
RDNI3,02/04/2020,6.51,6.82,5.95,5.95,RNI
RDNI3,03/04/2020,6.10,6.10,5.37,5.40,RNI
