Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RENT3,02/01/2020,48.22,49.62,47.61,49.62,LOCALIZA
RENT3,03/01/2020,49.09,49.75,48.55,48.90,LOCALIZA
RENT3,06/01/2020,48.55,48.89,47.83,48.33,LOCALIZA
RENT3,07/01/2020,48.20,48.80,47.88,48.80,LOCALIZA
RENT3,08/01/2020,48.94,49.48,48.22,48.56,LOCALIZA
RENT3,09/01/2020,48.36,49.23,48.18,48.82,LOCALIZA
RENT3,10/01/2020,48.88,49.30,47.60,47.85,LOCALIZA
RENT3,13/01/2020,48.11,48.39,47.73,48.00,LOCALIZA
RENT3,14/01/2020,47.84,48.20,47.45,48.20,LOCALIZA
RENT3,15/01/2020,48.09,48.46,47.76,48.21,LOCALIZA
RENT3,16/01/2020,48.66,49.15,48.10,49.15,LOCALIZA
RENT3,17/01/2020,49.20,49.49,48.75,49.49,LOCALIZA
RENT3,20/01/2020,49.29,49.97,49.05,49.60,LOCALIZA
RENT3,21/01/2020,49.40,49.81,48.81,49.20,LOCALIZA
RENT3,22/01/2020,49.80,49.83,49.03,49.83,LOCALIZA
RENT3,23/01/2020,49.52,51.83,48.71,51.74,LOCALIZA
RENT3,24/01/2020,51.70,52.10,51.19,51.41,LOCALIZA
RENT3,27/01/2020,50.40,52.14,49.40,51.44,LOCALIZA
RENT3,28/01/2020,51.40,53.20,51.03,52.90,LOCALIZA
RENT3,29/01/2020,52.90,54.55,52.78,54.25,LOCALIZA
RENT3,30/01/2020,54.17,54.17,52.74,53.83,LOCALIZA
RENT3,31/01/2020,53.15,53.66,52.93,53.63,LOCALIZA
RENT3,03/02/2020,53.65,55.35,53.33,54.46,LOCALIZA
RENT3,04/02/2020,55.12,55.50,54.42,55.00,LOCALIZA
RENT3,05/02/2020,55.30,56.21,55.30,55.52,LOCALIZA
RENT3,06/02/2020,55.74,56.28,53.30,53.84,LOCALIZA
RENT3,07/02/2020,53.67,54.15,52.18,52.93,LOCALIZA
RENT3,10/02/2020,53.90,53.90,51.76,52.32,LOCALIZA
RENT3,11/02/2020,52.68,54.21,52.34,54.10,LOCALIZA
RENT3,12/02/2020,54.24,55.48,53.37,55.48,LOCALIZA
RENT3,13/02/2020,54.27,55.19,54.02,55.02,LOCALIZA
RENT3,14/02/2020,54.90,55.19,54.22,55.00,LOCALIZA
RENT3,17/02/2020,55.15,56.12,54.81,55.23,LOCALIZA
RENT3,18/02/2020,54.81,55.58,54.33,55.30,LOCALIZA
RENT3,19/02/2020,54.80,55.66,54.66,55.05,LOCALIZA
RENT3,20/02/2020,54.51,55.00,54.21,54.72,LOCALIZA
RENT3,21/02/2020,54.13,54.67,53.61,54.40,LOCALIZA
RENT3,26/02/2020,51.20,52.00,50.05,50.63,LOCALIZA
RENT3,27/02/2020,50.03,51.21,49.35,49.35,LOCALIZA
RENT3,28/02/2020,49.35,49.54,47.06,49.54,LOCALIZA
RENT3,02/03/2020,48.96,50.43,48.80,49.85,LOCALIZA
RENT3,03/03/2020,49.00,51.60,48.76,49.66,LOCALIZA
RENT3,04/03/2020,50.50,51.25,50.10,50.80,LOCALIZA
RENT3,05/03/2020,50.09,50.76,46.43,48.25,LOCALIZA
RENT3,06/03/2020,46.10,46.45,44.15,45.05,LOCALIZA
RENT3,09/03/2020,42.80,42.80,38.53,39.80,LOCALIZA
RENT3,10/03/2020,41.10,42.32,39.99,41.95,LOCALIZA
RENT3,11/03/2020,40.80,41.51,37.50,38.96,LOCALIZA
RENT3,12/03/2020,30.10,34.18,29.05,33.00,LOCALIZA
RENT3,13/03/2020,38.50,39.60,31.66,36.00,LOCALIZA
RENT3,16/03/2020,30.20,31.37,27.50,27.50,LOCALIZA
RENT3,17/03/2020,28.22,28.96,25.94,27.70,LOCALIZA
RENT3,18/03/2020,24.68,24.99,20.61,23.87,LOCALIZA
RENT3,19/03/2020,22.00,28.50,21.91,26.08,LOCALIZA
RENT3,20/03/2020,27.00,28.65,25.11,27.55,LOCALIZA
RENT3,23/03/2020,27.52,28.11,22.95,24.10,LOCALIZA
RENT3,24/03/2020,26.60,28.15,24.89,27.18,LOCALIZA
RENT3,25/03/2020,27.10,35.20,26.81,34.47,LOCALIZA
RENT3,26/03/2020,33.75,36.07,32.01,34.69,LOCALIZA
RENT3,27/03/2020,32.70,32.80,30.30,31.32,LOCALIZA
RENT3,30/03/2020,31.55,31.79,28.34,28.70,LOCALIZA
RENT3,31/03/2020,28.84,29.30,25.50,26.30,LOCALIZA
RENT3,01/04/2020,25.40,25.40,23.32,23.70,LOCALIZA
RENT3,02/04/2020,23.95,26.14,23.14,26.14,LOCALIZA
RENT3,03/04/2020,25.77,25.77,22.51,23.31,LOCALIZA
RENT3,06/04/2020,25.15,29.07,25.11,28.00,LOCALIZA
RENT3,07/04/2020,30.80,31.40,28.12,29.22,LOCALIZA
RENT3,08/04/2020,29.42,33.48,28.54,31.90,LOCALIZA
RENT3,09/04/2020,32.17,33.60,30.10,30.15,LOCALIZA
RENT3,13/04/2020,30.00,30.46,28.68,29.75,LOCALIZA
RENT3,14/04/2020,30.52,31.50,29.85,30.49,LOCALIZA
RENT3,15/04/2020,29.85,31.85,29.29,30.12,LOCALIZA
RENT3,16/04/2020,30.88,30.88,29.30,29.56,LOCALIZA
RENT3,17/04/2020,30.45,32.21,30.08,32.03,LOCALIZA
RENT3,20/04/2020,31.20,35.00,30.72,34.00,LOCALIZA
RENT3,22/04/2020,34.10,37.10,33.57,36.50,LOCALIZA
RENT3,23/04/2020,37.00,38.19,34.61,34.98,LOCALIZA
RENT3,24/04/2020,34.26,34.85,30.52,32.98,LOCALIZA
RENT3,27/04/2020,34.00,34.73,32.73,33.50,LOCALIZA
RENT3,28/04/2020,34.85,35.30,33.02,35.20,LOCALIZA
RENT3,29/04/2020,35.77,36.46,35.30,36.15,LOCALIZA
RENT3,30/04/2020,35.30,35.73,33.93,34.19,LOCALIZA
RENT3,04/05/2020,33.24,34.05,32.43,33.41,LOCALIZA
RENT3,05/05/2020,34.00,34.92,32.95,33.63,LOCALIZA
RENT3,06/05/2020,33.88,34.24,32.30,32.50,LOCALIZA
RENT3,07/05/2020,32.86,32.94,29.77,29.77,LOCALIZA
RENT3,08/05/2020,30.50,30.82,29.27,29.65,LOCALIZA
RENT3,11/05/2020,29.32,29.72,27.85,28.10,LOCALIZA
RENT3,12/05/2020,28.45,29.20,27.51,27.51,LOCALIZA
RENT3,13/05/2020,27.60,28.28,26.67,27.31,LOCALIZA
RENT3,14/05/2020,27.01,29.29,26.31,29.29,LOCALIZA
RENT3,15/05/2020,28.98,31.00,28.24,30.20,LOCALIZA
RENT3,18/05/2020,31.11,33.91,31.03,33.51,LOCALIZA
RENT3,19/05/2020,33.51,36.05,32.90,35.07,LOCALIZA
RENT3,20/05/2020,35.45,36.36,34.87,35.30,LOCALIZA
RENT3,21/05/2020,35.59,37.75,35.44,36.29,LOCALIZA
RENT3,22/05/2020,35.80,36.86,35.14,36.19,LOCALIZA
RENT3,25/05/2020,37.36,38.18,36.45,36.70,LOCALIZA
RENT3,26/05/2020,37.00,38.12,36.13,36.88,LOCALIZA
RENT3,27/05/2020,37.12,39.57,37.12,39.10,LOCALIZA
RENT3,28/05/2020,39.18,39.53,37.14,37.32,LOCALIZA
RENT3,29/05/2020,37.31,38.48,35.85,38.48,LOCALIZA
RENT3,01/06/2020,38.40,38.95,37.31,37.61,LOCALIZA
RENT3,02/06/2020,38.10,39.39,37.46,38.25,LOCALIZA
RENT3,03/06/2020,39.59,41.54,39.06,41.02,LOCALIZA
RENT3,04/06/2020,40.90,40.90,39.10,40.00,LOCALIZA
RENT3,05/06/2020,41.40,41.97,39.91,40.84,LOCALIZA
RENT3,08/06/2020,41.11,43.44,40.70,43.20,LOCALIZA
RENT3,09/06/2020,41.97,43.42,40.80,42.90,LOCALIZA
RENT3,10/06/2020,43.49,43.72,40.64,41.10,LOCALIZA
RENT3,12/06/2020,39.51,40.84,38.90,40.29,LOCALIZA
RENT3,15/06/2020,39.49,41.68,38.57,40.70,LOCALIZA
RENT3,16/06/2020,42.00,42.27,39.93,40.17,LOCALIZA
RENT3,17/06/2020,39.50,41.83,39.32,40.83,LOCALIZA
RENT3,18/06/2020,40.52,41.73,40.30,41.21,LOCALIZA
RENT3,19/06/2020,42.01,42.48,41.40,41.90,LOCALIZA
RENT3,22/06/2020,42.49,42.49,41.10,41.24,LOCALIZA
RENT3,23/06/2020,41.80,42.29,41.37,41.76,LOCALIZA
RENT3,24/06/2020,41.07,42.46,40.36,40.98,LOCALIZA
RENT3,25/06/2020,41.33,42.11,40.91,41.45,LOCALIZA
RENT3,26/06/2020,41.23,42.00,40.07,40.25,LOCALIZA
