Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RLOG3,02/01/2020,24.00,24.14,23.27,23.47,COSAN LOG
RLOG3,03/01/2020,23.11,23.57,23.01,23.38,COSAN LOG
RLOG3,06/01/2020,23.35,23.35,22.12,22.37,COSAN LOG
RLOG3,07/01/2020,22.45,22.71,22.16,22.65,COSAN LOG
RLOG3,08/01/2020,22.65,22.79,22.21,22.45,COSAN LOG
RLOG3,09/01/2020,22.46,22.68,22.29,22.55,COSAN LOG
RLOG3,10/01/2020,22.61,22.95,22.31,22.54,COSAN LOG
RLOG3,13/01/2020,22.54,23.50,22.41,23.30,COSAN LOG
RLOG3,14/01/2020,23.45,23.45,22.96,23.30,COSAN LOG
RLOG3,15/01/2020,23.30,23.30,22.72,22.72,COSAN LOG
RLOG3,16/01/2020,22.83,22.83,22.01,22.09,COSAN LOG
RLOG3,17/01/2020,22.10,22.44,21.85,21.99,COSAN LOG
RLOG3,20/01/2020,22.13,22.39,21.93,22.39,COSAN LOG
RLOG3,21/01/2020,22.39,22.41,21.91,22.29,COSAN LOG
RLOG3,22/01/2020,22.39,22.39,21.77,22.16,COSAN LOG
RLOG3,23/01/2020,22.15,22.59,21.51,22.41,COSAN LOG
RLOG3,24/01/2020,22.41,22.54,22.09,22.09,COSAN LOG
RLOG3,27/01/2020,21.90,21.90,21.33,21.65,COSAN LOG
RLOG3,28/01/2020,21.71,21.89,21.61,21.64,COSAN LOG
RLOG3,29/01/2020,21.70,21.78,21.32,21.38,COSAN LOG
RLOG3,30/01/2020,21.32,21.34,20.84,21.25,COSAN LOG
RLOG3,31/01/2020,21.25,21.25,20.62,20.67,COSAN LOG
RLOG3,03/02/2020,20.60,21.13,20.50,20.97,COSAN LOG
RLOG3,04/02/2020,21.27,21.50,21.15,21.38,COSAN LOG
RLOG3,05/02/2020,21.40,21.94,21.40,21.72,COSAN LOG
RLOG3,06/02/2020,21.75,22.00,21.38,21.62,COSAN LOG
RLOG3,07/02/2020,21.62,21.64,20.72,21.00,COSAN LOG
RLOG3,10/02/2020,20.97,20.97,20.12,20.36,COSAN LOG
RLOG3,11/02/2020,20.53,21.23,20.45,21.07,COSAN LOG
RLOG3,12/02/2020,21.15,21.55,20.83,21.32,COSAN LOG
RLOG3,13/02/2020,21.20,21.24,20.93,20.94,COSAN LOG
RLOG3,14/02/2020,21.09,21.09,20.20,20.43,COSAN LOG
RLOG3,17/02/2020,20.50,20.68,20.26,20.40,COSAN LOG
RLOG3,18/02/2020,20.20,20.51,20.00,20.49,COSAN LOG
RLOG3,19/02/2020,20.49,21.08,20.24,21.08,COSAN LOG
RLOG3,20/02/2020,21.19,21.19,20.61,20.69,COSAN LOG
RLOG3,21/02/2020,20.69,20.69,19.88,20.04,COSAN LOG
RLOG3,26/02/2020,19.31,19.58,18.74,19.00,COSAN LOG
RLOG3,27/02/2020,18.70,18.92,18.00,18.01,COSAN LOG
RLOG3,28/02/2020,17.98,18.53,17.71,18.14,COSAN LOG
RLOG3,02/03/2020,18.59,18.60,17.92,18.37,COSAN LOG
RLOG3,03/03/2020,18.58,19.04,18.00,18.00,COSAN LOG
RLOG3,04/03/2020,18.45,18.58,18.06,18.58,COSAN LOG
RLOG3,05/03/2020,18.50,18.66,17.51,17.85,COSAN LOG
RLOG3,06/03/2020,17.20,17.21,16.35,16.69,COSAN LOG
RLOG3,09/03/2020,15.40,15.40,14.37,14.97,COSAN LOG
RLOG3,10/03/2020,16.00,16.10,15.00,15.62,COSAN LOG
RLOG3,11/03/2020,15.30,15.41,13.12,14.25,COSAN LOG
RLOG3,12/03/2020,12.55,12.55,11.21,11.21,COSAN LOG
RLOG3,13/03/2020,12.60,14.18,11.41,13.61,COSAN LOG
RLOG3,16/03/2020,11.90,12.58,11.23,12.09,COSAN LOG
RLOG3,17/03/2020,12.53,13.55,11.33,13.00,COSAN LOG
RLOG3,18/03/2020,11.95,13.89,10.73,13.00,COSAN LOG
RLOG3,19/03/2020,12.30,15.29,11.33,14.50,COSAN LOG
RLOG3,20/03/2020,15.01,15.59,12.95,13.96,COSAN LOG
RLOG3,23/03/2020,13.94,14.16,13.04,13.20,COSAN LOG
RLOG3,24/03/2020,14.00,15.52,13.75,14.71,COSAN LOG
RLOG3,25/03/2020,14.89,15.92,14.51,15.54,COSAN LOG
RLOG3,26/03/2020,15.39,16.93,15.14,16.60,COSAN LOG
RLOG3,27/03/2020,15.98,16.90,15.44,16.19,COSAN LOG
RLOG3,30/03/2020,16.20,17.18,16.14,16.50,COSAN LOG
RLOG3,31/03/2020,16.60,17.09,16.15,16.72,COSAN LOG
RLOG3,01/04/2020,16.00,16.43,15.51,16.28,COSAN LOG
RLOG3,02/04/2020,16.44,16.92,16.26,16.57,COSAN LOG
RLOG3,03/04/2020,16.52,16.80,15.92,16.80,COSAN LOG
RLOG3,06/04/2020,17.55,17.91,16.34,16.56,COSAN LOG
RLOG3,07/04/2020,17.21,17.45,15.50,15.50,COSAN LOG
RLOG3,08/04/2020,15.47,15.92,15.19,15.45,COSAN LOG
RLOG3,09/04/2020,15.54,16.14,15.48,15.90,COSAN LOG
RLOG3,13/04/2020,15.70,16.03,15.45,15.77,COSAN LOG
RLOG3,14/04/2020,15.95,16.42,15.79,16.02,COSAN LOG
RLOG3,15/04/2020,15.80,16.16,15.49,15.61,COSAN LOG
RLOG3,16/04/2020,15.81,15.96,15.04,15.34,COSAN LOG
