Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ROMI3,02/01/2020,17.55,17.85,17.16,17.24,INDS ROMI
ROMI3,03/01/2020,16.96,17.19,16.50,17.02,INDS ROMI
ROMI3,06/01/2020,16.98,16.98,16.10,16.91,INDS ROMI
ROMI3,07/01/2020,16.91,17.35,16.69,16.69,INDS ROMI
ROMI3,08/01/2020,16.80,17.48,16.50,17.30,INDS ROMI
ROMI3,09/01/2020,17.30,17.80,17.16,17.26,INDS ROMI
ROMI3,10/01/2020,17.26,17.80,17.26,17.78,INDS ROMI
ROMI3,13/01/2020,17.80,18.50,17.64,18.46,INDS ROMI
ROMI3,14/01/2020,18.21,18.63,18.12,18.54,INDS ROMI
ROMI3,15/01/2020,18.63,18.84,17.99,17.99,INDS ROMI
ROMI3,16/01/2020,17.99,18.19,17.51,17.95,INDS ROMI
ROMI3,17/01/2020,18.10,18.47,17.93,18.11,INDS ROMI
ROMI3,20/01/2020,18.00,18.38,18.00,18.20,INDS ROMI
ROMI3,21/01/2020,18.20,18.62,18.17,18.50,INDS ROMI
ROMI3,22/01/2020,18.77,18.77,18.33,18.60,INDS ROMI
ROMI3,23/01/2020,18.59,18.59,18.00,18.45,INDS ROMI
ROMI3,24/01/2020,18.47,18.64,18.10,18.54,INDS ROMI
ROMI3,27/01/2020,18.50,18.50,17.70,17.93,INDS ROMI
ROMI3,28/01/2020,17.70,18.30,17.25,17.92,INDS ROMI
ROMI3,29/01/2020,17.82,18.14,17.67,17.93,INDS ROMI
ROMI3,30/01/2020,17.46,17.57,16.84,17.40,INDS ROMI
ROMI3,31/01/2020,17.41,17.41,16.51,16.51,INDS ROMI
ROMI3,03/02/2020,16.50,17.10,16.26,17.05,INDS ROMI
ROMI3,04/02/2020,17.11,17.80,17.11,17.73,INDS ROMI
ROMI3,05/02/2020,17.76,18.18,17.70,18.12,INDS ROMI
ROMI3,06/02/2020,18.11,18.21,17.66,17.83,INDS ROMI
ROMI3,07/02/2020,17.76,17.94,17.40,17.60,INDS ROMI
ROMI3,10/02/2020,17.58,17.58,16.83,17.07,INDS ROMI
ROMI3,11/02/2020,17.24,17.60,17.00,17.55,INDS ROMI
ROMI3,12/02/2020,17.20,17.56,16.72,17.30,INDS ROMI
ROMI3,13/02/2020,17.04,17.41,16.80,17.15,INDS ROMI
ROMI3,14/02/2020,17.15,17.55,17.00,17.05,INDS ROMI
ROMI3,17/02/2020,17.10,17.31,16.88,17.00,INDS ROMI
ROMI3,18/02/2020,17.00,17.84,16.50,17.80,INDS ROMI
ROMI3,19/02/2020,17.94,18.59,17.90,18.50,INDS ROMI
ROMI3,20/02/2020,18.67,18.70,17.51,17.51,INDS ROMI
ROMI3,21/02/2020,17.31,17.82,17.20,17.40,INDS ROMI
ROMI3,26/02/2020,16.60,16.60,15.42,15.83,INDS ROMI
ROMI3,27/02/2020,15.59,15.92,15.05,15.79,INDS ROMI
ROMI3,28/02/2020,15.43,15.58,14.51,14.80,INDS ROMI
ROMI3,02/03/2020,15.00,16.20,14.83,16.19,INDS ROMI
ROMI3,03/03/2020,16.22,16.80,15.82,15.94,INDS ROMI
ROMI3,04/03/2020,16.08,16.57,15.82,16.35,INDS ROMI
