Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RSID3,02/01/2020,9.08,9.81,8.50,9.79,ROSSI RESID
RSID3,03/01/2020,9.50,10.13,9.32,9.50,ROSSI RESID
RSID3,06/01/2020,9.50,9.72,8.89,9.06,ROSSI RESID
RSID3,07/01/2020,9.15,9.44,8.86,9.41,ROSSI RESID
RSID3,08/01/2020,9.33,9.60,8.95,9.24,ROSSI RESID
RSID3,09/01/2020,9.48,9.58,9.08,9.15,ROSSI RESID
RSID3,10/01/2020,9.16,9.38,9.05,9.15,ROSSI RESID
RSID3,13/01/2020,9.10,9.30,9.01,9.30,ROSSI RESID
RSID3,14/01/2020,9.29,9.70,9.11,9.28,ROSSI RESID
RSID3,15/01/2020,9.38,9.52,9.17,9.26,ROSSI RESID
RSID3,16/01/2020,9.20,9.35,9.01,9.14,ROSSI RESID
RSID3,17/01/2020,9.08,9.26,9.03,9.08,ROSSI RESID
RSID3,20/01/2020,9.18,9.19,9.00,9.06,ROSSI RESID
RSID3,21/01/2020,9.12,9.12,8.90,9.02,ROSSI RESID
RSID3,22/01/2020,8.97,8.97,8.66,8.90,ROSSI RESID
RSID3,23/01/2020,8.79,9.25,8.56,9.12,ROSSI RESID
RSID3,24/01/2020,9.21,11.22,8.93,11.22,ROSSI RESID
RSID3,27/01/2020,10.40,11.87,9.97,10.41,ROSSI RESID
RSID3,28/01/2020,11.00,11.00,9.62,10.11,ROSSI RESID
RSID3,29/01/2020,10.34,10.47,9.64,9.78,ROSSI RESID
RSID3,30/01/2020,9.56,9.56,8.64,9.29,ROSSI RESID
RSID3,31/01/2020,9.00,9.52,8.77,8.91,ROSSI RESID
RSID3,03/02/2020,8.81,9.43,8.81,9.20,ROSSI RESID
RSID3,04/02/2020,9.44,10.15,9.34,9.38,ROSSI RESID
RSID3,05/02/2020,9.60,9.87,9.35,9.39,ROSSI RESID
RSID3,06/02/2020,9.40,9.77,9.40,9.45,ROSSI RESID
RSID3,07/02/2020,9.38,9.62,8.65,9.15,ROSSI RESID
RSID3,10/02/2020,9.00,9.10,8.71,8.80,ROSSI RESID
RSID3,11/02/2020,9.00,9.79,8.90,9.46,ROSSI RESID
RSID3,12/02/2020,9.74,9.78,9.31,9.49,ROSSI RESID
RSID3,13/02/2020,9.35,9.49,8.97,9.30,ROSSI RESID
RSID3,14/02/2020,9.40,9.65,9.17,9.30,ROSSI RESID
RSID3,17/02/2020,9.48,9.50,9.17,9.20,ROSSI RESID
RSID3,18/02/2020,9.19,9.53,9.12,9.50,ROSSI RESID
RSID3,19/02/2020,9.60,9.65,9.40,9.47,ROSSI RESID
RSID3,20/02/2020,9.43,9.45,9.07,9.20,ROSSI RESID
RSID3,21/02/2020,9.21,9.38,9.07,9.35,ROSSI RESID
RSID3,26/02/2020,8.90,8.90,8.39,8.51,ROSSI RESID
RSID3,27/02/2020,8.14,8.66,8.03,8.10,ROSSI RESID
RSID3,28/02/2020,8.07,8.18,7.41,7.70,ROSSI RESID
RSID3,02/03/2020,7.80,8.50,7.50,8.22,ROSSI RESID
RSID3,03/03/2020,8.40,8.46,7.61,7.61,ROSSI RESID
RSID3,04/03/2020,7.80,8.87,7.70,8.76,ROSSI RESID
RSID3,05/03/2020,8.40,8.59,7.61,7.88,ROSSI RESID
RSID3,06/03/2020,7.47,7.88,7.15,7.85,ROSSI RESID
RSID3,09/03/2020,6.99,7.40,6.53,6.95,ROSSI RESID
RSID3,10/03/2020,7.40,7.56,6.84,7.40,ROSSI RESID
RSID3,11/03/2020,7.32,7.34,6.72,6.91,ROSSI RESID
RSID3,12/03/2020,6.49,6.49,5.60,6.25,ROSSI RESID
RSID3,13/03/2020,6.81,7.00,6.10,6.59,ROSSI RESID
RSID3,16/03/2020,5.86,6.22,5.44,5.48,ROSSI RESID
RSID3,17/03/2020,5.56,5.86,5.50,5.60,ROSSI RESID
RSID3,18/03/2020,5.25,5.25,4.00,4.50,ROSSI RESID
RSID3,19/03/2020,4.50,4.69,3.85,4.20,ROSSI RESID
RSID3,20/03/2020,4.48,4.54,3.85,3.90,ROSSI RESID
RSID3,23/03/2020,3.90,3.90,3.39,3.69,ROSSI RESID
RSID3,24/03/2020,3.89,4.02,3.63,3.88,ROSSI RESID
RSID3,25/03/2020,3.88,4.70,3.70,4.70,ROSSI RESID
RSID3,26/03/2020,4.50,5.30,4.39,4.50,ROSSI RESID
RSID3,27/03/2020,4.18,4.66,4.14,4.53,ROSSI RESID
RSID3,30/03/2020,4.64,4.64,4.21,4.53,ROSSI RESID
RSID3,31/03/2020,4.58,4.60,4.13,4.33,ROSSI RESID
RSID3,01/04/2020,4.04,4.30,4.00,4.19,ROSSI RESID
RSID3,02/04/2020,4.19,4.39,4.00,4.14,ROSSI RESID
RSID3,03/04/2020,4.05,4.05,3.79,4.00,ROSSI RESID
RSID3,06/04/2020,4.20,4.26,3.99,4.01,ROSSI RESID
RSID3,07/04/2020,4.07,4.34,4.07,4.26,ROSSI RESID
RSID3,08/04/2020,4.26,4.50,4.14,4.49,ROSSI RESID
RSID3,09/04/2020,4.59,4.70,4.16,4.28,ROSSI RESID
RSID3,13/04/2020,4.27,4.50,4.18,4.33,ROSSI RESID
RSID3,14/04/2020,4.49,4.82,4.30,4.44,ROSSI RESID
RSID3,15/04/2020,4.30,4.59,4.26,4.44,ROSSI RESID
RSID3,16/04/2020,4.50,4.54,4.24,4.28,ROSSI RESID
RSID3,17/04/2020,4.44,4.44,4.13,4.28,ROSSI RESID
RSID3,20/04/2020,4.12,4.27,4.01,4.05,ROSSI RESID
RSID3,22/04/2020,4.12,4.40,4.07,4.31,ROSSI RESID
