Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SANB3,02/01/2020,26.70,26.70,25.90,26.44,SANTANDER BR
SANB3,03/01/2020,26.20,26.90,25.91,26.90,SANTANDER BR
SANB3,06/01/2020,25.50,25.75,24.82,25.00,SANTANDER BR
SANB3,07/01/2020,25.16,25.48,24.90,24.90,SANTANDER BR
SANB3,08/01/2020,25.23,25.23,24.31,24.51,SANTANDER BR
SANB3,09/01/2020,24.60,24.60,24.01,24.13,SANTANDER BR
SANB3,10/01/2020,24.34,24.60,23.91,24.00,SANTANDER BR
SANB3,13/01/2020,24.52,24.99,23.91,24.85,SANTANDER BR
SANB3,14/01/2020,24.85,24.85,24.10,24.20,SANTANDER BR
SANB3,15/01/2020,24.22,24.22,23.70,23.85,SANTANDER BR
SANB3,16/01/2020,24.00,24.00,23.75,23.94,SANTANDER BR
SANB3,17/01/2020,24.01,24.47,23.92,24.30,SANTANDER BR
SANB3,20/01/2020,24.12,24.24,23.87,23.90,SANTANDER BR
SANB3,21/01/2020,23.80,24.14,22.74,22.85,SANTANDER BR
SANB3,22/01/2020,23.18,23.30,22.62,22.67,SANTANDER BR
SANB3,23/01/2020,22.80,23.18,22.40,23.01,SANTANDER BR
SANB3,24/01/2020,23.07,23.12,22.77,23.10,SANTANDER BR
SANB3,27/01/2020,22.97,23.08,22.52,22.65,SANTANDER BR
SANB3,28/01/2020,23.29,23.29,22.40,22.50,SANTANDER BR
SANB3,29/01/2020,23.00,23.15,21.72,21.84,SANTANDER BR
SANB3,30/01/2020,21.63,22.37,21.41,22.36,SANTANDER BR
SANB3,31/01/2020,22.22,22.22,21.41,21.41,SANTANDER BR
SANB3,03/02/2020,21.60,22.05,21.45,21.45,SANTANDER BR
SANB3,04/02/2020,21.69,21.81,21.40,21.65,SANTANDER BR
SANB3,05/02/2020,21.70,22.18,21.50,21.51,SANTANDER BR
SANB3,06/02/2020,21.99,21.99,21.10,21.21,SANTANDER BR
SANB3,07/02/2020,21.10,21.49,21.00,21.39,SANTANDER BR
SANB3,10/02/2020,21.39,22.33,21.39,21.95,SANTANDER BR
SANB3,11/02/2020,21.97,22.26,21.85,21.85,SANTANDER BR
SANB3,12/02/2020,21.97,22.16,21.67,22.09,SANTANDER BR
SANB3,13/02/2020,22.08,22.08,21.00,21.15,SANTANDER BR
SANB3,14/02/2020,21.21,21.30,20.80,20.80,SANTANDER BR
SANB3,17/02/2020,20.95,21.07,20.70,20.70,SANTANDER BR
SANB3,18/02/2020,20.70,20.99,20.36,20.81,SANTANDER BR
SANB3,19/02/2020,20.70,21.34,20.70,21.12,SANTANDER BR
SANB3,20/02/2020,21.20,21.20,21.12,21.15,SANTANDER BR
SANB3,21/02/2020,21.00,21.15,20.51,21.15,SANTANDER BR
SANB3,26/02/2020,20.48,20.48,18.49,19.08,SANTANDER BR
SANB3,27/02/2020,18.66,19.70,18.56,18.87,SANTANDER BR
SANB3,28/02/2020,19.80,19.80,18.70,19.70,SANTANDER BR
SANB3,02/03/2020,19.70,21.00,19.17,19.28,SANTANDER BR
SANB3,03/03/2020,19.51,19.63,19.00,19.00,SANTANDER BR
SANB3,04/03/2020,19.20,19.25,18.90,19.10,SANTANDER BR
SANB3,05/03/2020,18.97,19.30,18.51,18.90,SANTANDER BR
SANB3,06/03/2020,18.30,18.72,17.70,18.13,SANTANDER BR
SANB3,09/03/2020,18.00,18.00,15.81,16.11,SANTANDER BR
SANB3,10/03/2020,17.39,17.83,16.00,16.55,SANTANDER BR
SANB3,11/03/2020,17.00,17.00,14.50,14.89,SANTANDER BR
SANB3,12/03/2020,14.10,14.10,12.24,13.50,SANTANDER BR
SANB3,13/03/2020,14.14,15.90,12.99,14.57,SANTANDER BR
SANB3,16/03/2020,13.70,13.70,12.07,13.30,SANTANDER BR
SANB3,17/03/2020,13.17,14.09,12.40,13.02,SANTANDER BR
SANB3,18/03/2020,12.69,12.75,11.60,12.69,SANTANDER BR
SANB3,19/03/2020,12.59,13.40,11.35,12.58,SANTANDER BR
SANB3,20/03/2020,12.70,13.59,12.06,13.49,SANTANDER BR
SANB3,23/03/2020,13.04,13.04,11.29,11.79,SANTANDER BR
SANB3,24/03/2020,12.85,14.00,12.63,13.98,SANTANDER BR
SANB3,25/03/2020,13.80,15.55,13.09,14.80,SANTANDER BR
SANB3,26/03/2020,14.80,15.71,14.35,14.52,SANTANDER BR
SANB3,27/03/2020,14.00,14.45,13.34,13.50,SANTANDER BR
SANB3,30/03/2020,13.35,13.70,12.87,13.51,SANTANDER BR
SANB3,31/03/2020,14.19,14.19,12.70,13.12,SANTANDER BR
SANB3,01/04/2020,12.55,12.91,11.90,12.00,SANTANDER BR
SANB3,02/04/2020,12.98,12.98,11.97,12.39,SANTANDER BR
SANB3,03/04/2020,12.39,12.39,11.32,11.44,SANTANDER BR
SANB3,06/04/2020,12.10,12.82,12.00,12.55,SANTANDER BR
SANB3,07/04/2020,12.90,13.93,12.90,13.40,SANTANDER BR
SANB3,08/04/2020,13.55,13.99,13.15,13.70,SANTANDER BR
SANB3,09/04/2020,13.68,14.08,13.41,13.57,SANTANDER BR
SANB3,13/04/2020,13.60,14.00,12.97,14.00,SANTANDER BR
SANB3,14/04/2020,14.00,14.50,13.54,13.60,SANTANDER BR
SANB3,15/04/2020,13.59,13.59,13.05,13.07,SANTANDER BR
SANB3,16/04/2020,13.19,13.29,12.45,12.47,SANTANDER BR
SANB3,17/04/2020,12.83,13.05,12.61,12.88,SANTANDER BR
SANB3,20/04/2020,12.78,12.78,12.51,12.78,SANTANDER BR
SANB3,22/04/2020,12.66,12.89,12.40,12.42,SANTANDER BR
SANB3,23/04/2020,12.50,12.62,12.06,12.19,SANTANDER BR
SANB3,24/04/2020,12.17,12.17,10.85,11.23,SANTANDER BR
SANB3,27/04/2020,11.40,12.09,11.32,11.95,SANTANDER BR
SANB3,28/04/2020,12.60,13.11,12.50,13.11,SANTANDER BR
SANB3,29/04/2020,13.30,13.69,12.95,13.65,SANTANDER BR
SANB3,30/04/2020,13.13,13.40,12.85,12.90,SANTANDER BR
SANB3,04/05/2020,12.50,12.69,11.90,12.30,SANTANDER BR
SANB3,05/05/2020,12.58,12.78,12.10,12.11,SANTANDER BR
SANB3,06/05/2020,12.19,12.19,11.70,11.91,SANTANDER BR
SANB3,07/05/2020,11.92,12.21,11.40,11.42,SANTANDER BR
SANB3,08/05/2020,11.65,12.11,11.50,11.95,SANTANDER BR
SANB3,11/05/2020,11.74,12.44,11.60,12.03,SANTANDER BR
SANB3,12/05/2020,12.04,12.04,11.30,11.30,SANTANDER BR
SANB3,13/05/2020,11.51,11.60,10.77,10.92,SANTANDER BR
SANB3,14/05/2020,10.99,11.47,10.50,11.46,SANTANDER BR
SANB3,15/05/2020,11.44,11.60,11.12,11.12,SANTANDER BR
SANB3,18/05/2020,11.59,11.80,11.26,11.79,SANTANDER BR
SANB3,19/05/2020,11.79,11.85,11.55,11.56,SANTANDER BR
SANB3,20/05/2020,11.56,11.78,11.31,11.55,SANTANDER BR
SANB3,21/05/2020,11.65,12.20,11.57,12.20,SANTANDER BR
SANB3,22/05/2020,12.10,12.15,11.77,12.15,SANTANDER BR
SANB3,25/05/2020,12.31,12.67,12.19,12.62,SANTANDER BR
SANB3,26/05/2020,12.72,13.00,12.18,12.18,SANTANDER BR
SANB3,27/05/2020,12.49,12.59,12.22,12.44,SANTANDER BR
SANB3,28/05/2020,12.50,12.71,12.00,12.44,SANTANDER BR
SANB3,29/05/2020,12.11,12.39,11.66,12.31,SANTANDER BR
SANB3,01/06/2020,12.25,13.24,12.23,13.24,SANTANDER BR
SANB3,02/06/2020,13.31,13.88,13.24,13.80,SANTANDER BR
SANB3,03/06/2020,14.23,14.83,14.04,14.83,SANTANDER BR
SANB3,04/06/2020,14.88,15.39,13.91,15.39,SANTANDER BR
SANB3,05/06/2020,15.70,16.57,15.51,15.70,SANTANDER BR
SANB3,08/06/2020,16.00,16.35,15.85,16.30,SANTANDER BR
SANB3,09/06/2020,15.97,16.40,15.75,16.04,SANTANDER BR
SANB3,10/06/2020,16.40,16.45,15.01,15.01,SANTANDER BR
SANB3,12/06/2020,14.48,15.10,14.10,15.01,SANTANDER BR
SANB3,15/06/2020,14.61,15.00,14.10,14.66,SANTANDER BR
SANB3,16/06/2020,15.01,15.50,15.00,15.20,SANTANDER BR
SANB3,17/06/2020,15.22,15.92,15.00,15.40,SANTANDER BR
SANB3,18/06/2020,15.40,15.70,15.11,15.33,SANTANDER BR
SANB3,19/06/2020,15.50,15.78,15.10,15.21,SANTANDER BR
SANB3,22/06/2020,15.44,15.66,15.10,15.34,SANTANDER BR
SANB3,23/06/2020,15.50,15.68,14.92,15.07,SANTANDER BR
SANB3,24/06/2020,15.10,15.15,14.20,14.28,SANTANDER BR
SANB3,25/06/2020,14.28,14.65,14.10,14.54,SANTANDER BR
