Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SAPR11,02/01/2020,101.50,101.68,100.38,100.84,SANEPAR
SAPR11,03/01/2020,100.02,100.30,98.23,98.50,SANEPAR
SAPR11,06/01/2020,98.00,98.00,96.23,96.70,SANEPAR
SAPR11,07/01/2020,97.07,98.75,96.00,98.75,SANEPAR
SAPR11,08/01/2020,98.00,99.75,97.64,98.77,SANEPAR
SAPR11,09/01/2020,99.01,99.29,97.80,98.77,SANEPAR
SAPR11,10/01/2020,98.99,99.57,98.11,99.00,SANEPAR
SAPR11,13/01/2020,99.86,99.99,98.70,99.99,SANEPAR
SAPR11,14/01/2020,99.95,100.24,98.88,100.00,SANEPAR
SAPR11,15/01/2020,100.00,100.39,99.37,100.07,SANEPAR
SAPR11,16/01/2020,100.08,100.85,99.40,100.50,SANEPAR
SAPR11,17/01/2020,100.49,102.09,100.12,101.05,SANEPAR
SAPR11,20/01/2020,101.05,101.92,100.70,101.64,SANEPAR
SAPR11,21/01/2020,101.50,102.51,100.80,101.82,SANEPAR
SAPR11,22/01/2020,101.43,104.20,101.43,104.20,SANEPAR
SAPR11,23/01/2020,103.70,106.17,103.22,106.17,SANEPAR
SAPR11,24/01/2020,106.59,106.59,104.93,106.46,SANEPAR
SAPR11,27/01/2020,105.36,105.79,103.00,103.00,SANEPAR
SAPR11,28/01/2020,103.00,105.34,102.20,105.10,SANEPAR
SAPR11,29/01/2020,105.65,105.73,103.44,103.44,SANEPAR
SAPR11,30/01/2020,102.59,103.39,100.50,101.60,SANEPAR
SAPR11,31/01/2020,101.51,101.96,99.94,101.40,SANEPAR
SAPR11,03/02/2020,101.00,103.36,100.96,102.99,SANEPAR
SAPR11,04/02/2020,103.41,104.30,102.03,102.48,SANEPAR
SAPR11,05/02/2020,102.88,105.08,102.80,104.97,SANEPAR
SAPR11,06/02/2020,105.01,105.99,102.03,102.64,SANEPAR
SAPR11,07/02/2020,104.80,104.80,103.37,104.06,SANEPAR
SAPR11,10/02/2020,104.44,104.44,100.10,101.35,SANEPAR
SAPR11,11/02/2020,101.86,104.17,101.76,104.00,SANEPAR
SAPR11,12/02/2020,104.21,105.30,104.03,105.30,SANEPAR
SAPR11,13/02/2020,104.88,108.44,103.67,107.71,SANEPAR
SAPR11,14/02/2020,107.71,109.03,107.71,108.63,SANEPAR
SAPR11,17/02/2020,108.81,109.47,107.77,109.47,SANEPAR
SAPR11,18/02/2020,109.46,109.46,107.05,108.90,SANEPAR
SAPR11,19/02/2020,108.90,111.11,108.90,111.11,SANEPAR
SAPR11,20/02/2020,111.00,111.54,109.76,110.03,SANEPAR
SAPR11,21/02/2020,109.30,111.60,107.65,111.60,SANEPAR
SAPR11,26/02/2020,107.92,108.75,105.31,106.98,SANEPAR
SAPR11,27/02/2020,106.50,106.50,101.16,101.16,SANEPAR
SAPR11,28/02/2020,100.07,101.22,97.62,100.50,SANEPAR
SAPR11,02/03/2020,100.60,104.80,100.60,104.25,SANEPAR
SAPR11,03/03/2020,104.63,107.39,103.67,105.74,SANEPAR
SAPR11,04/03/2020,106.87,111.72,106.26,111.30,SANEPAR
SAPR11,05/03/2020,109.99,111.00,106.78,107.17,SANEPAR
SAPR11,06/03/2020,103.96,104.05,100.52,101.23,SANEPAR
SAPR11,09/03/2020,93.20,96.85,90.00,93.36,SANEPAR
SAPR11,10/03/2020,95.60,99.90,93.72,99.00,SANEPAR
SAPR11,11/03/2020,96.39,98.66,90.16,94.20,SANEPAR
SAPR11,12/03/2020,88.02,88.49,80.01,84.68,SANEPAR
SAPR11,13/03/2020,89.02,92.98,83.30,90.93,SANEPAR
SAPR11,16/03/2020,81.00,84.50,78.01,80.02,SANEPAR
SAPR11,17/03/2020,81.79,84.68,79.72,80.00,SANEPAR
SAPR11,18/03/2020,77.98,80.26,66.74,68.78,SANEPAR
SAPR11,19/03/2020,68.30,74.61,65.10,72.25,SANEPAR
SAPR11,20/03/2020,75.43,77.28,69.04,69.58,SANEPAR
SAPR11,23/03/2020,68.70,70.28,58.51,59.58,SANEPAR
SAPR11,24/03/2020,61.97,64.46,60.17,60.40,SANEPAR
SAPR11,25/03/2020,61.69,64.44,60.11,64.23,SANEPAR
SAPR11,26/03/2020,65.00,74.44,63.73,73.15,SANEPAR
SAPR11,27/03/2020,71.00,74.73,68.80,73.27,SANEPAR
SAPR11,30/03/2020,25.60,26.50,24.21,25.00,SANEPAR
SAPR11,31/03/2020,25.01,25.48,23.03,23.85,SANEPAR
SAPR11,01/04/2020,23.65,23.97,22.60,22.94,SANEPAR
SAPR11,02/04/2020,23.77,24.00,21.58,21.91,SANEPAR
SAPR11,03/04/2020,22.27,22.40,20.40,20.86,SANEPAR
SAPR11,06/04/2020,22.20,22.90,21.55,21.95,SANEPAR
SAPR11,07/04/2020,22.95,25.00,22.86,23.52,SANEPAR
SAPR11,08/04/2020,23.80,25.09,23.26,24.70,SANEPAR
SAPR11,09/04/2020,24.90,25.75,24.53,25.00,SANEPAR
SAPR11,13/04/2020,25.00,25.45,24.10,25.05,SANEPAR
SAPR11,14/04/2020,25.60,26.47,25.28,25.65,SANEPAR
SAPR11,15/04/2020,25.25,25.35,24.56,24.85,SANEPAR
SAPR11,16/04/2020,25.18,25.50,24.32,24.50,SANEPAR
SAPR11,17/04/2020,25.12,25.68,23.94,24.20,SANEPAR
SAPR11,20/04/2020,24.00,24.70,23.60,24.20,SANEPAR
SAPR11,22/04/2020,24.09,25.95,24.01,25.71,SANEPAR
SAPR11,23/04/2020,25.82,26.34,25.13,25.13,SANEPAR
SAPR11,24/04/2020,24.72,24.87,22.75,23.30,SANEPAR
SAPR11,27/04/2020,23.55,24.97,23.55,24.91,SANEPAR
