Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SBSP3,02/01/2020,60.61,61.00,59.82,60.55,SABESP
SBSP3,03/01/2020,59.56,60.27,59.42,59.51,SABESP
SBSP3,06/01/2020,59.08,59.52,58.24,58.60,SABESP
SBSP3,07/01/2020,58.70,58.79,57.03,57.60,SABESP
SBSP3,08/01/2020,57.83,57.98,56.35,56.75,SABESP
SBSP3,09/01/2020,58.30,58.30,56.73,57.62,SABESP
SBSP3,10/01/2020,57.85,58.20,57.02,57.41,SABESP
SBSP3,13/01/2020,57.65,59.91,57.65,59.91,SABESP
SBSP3,14/01/2020,60.01,61.53,60.01,61.21,SABESP
SBSP3,15/01/2020,61.31,61.69,60.83,60.90,SABESP
SBSP3,16/01/2020,61.14,61.32,60.01,60.55,SABESP
SBSP3,17/01/2020,60.65,60.98,59.92,60.15,SABESP
SBSP3,20/01/2020,60.30,61.04,60.02,60.30,SABESP
SBSP3,21/01/2020,60.08,60.87,60.00,60.33,SABESP
SBSP3,22/01/2020,60.82,61.48,60.45,61.06,SABESP
SBSP3,23/01/2020,60.57,62.72,60.10,62.63,SABESP
SBSP3,24/01/2020,62.77,63.36,61.83,62.47,SABESP
SBSP3,27/01/2020,61.49,61.76,60.72,61.58,SABESP
SBSP3,28/01/2020,61.80,64.85,61.27,64.50,SABESP
SBSP3,29/01/2020,64.53,64.53,62.24,62.40,SABESP
SBSP3,30/01/2020,61.77,62.29,59.60,62.29,SABESP
SBSP3,31/01/2020,61.03,61.63,60.37,61.00,SABESP
SBSP3,03/02/2020,61.00,62.41,60.95,61.76,SABESP
SBSP3,04/02/2020,62.04,64.04,62.04,62.94,SABESP
SBSP3,05/02/2020,64.00,64.95,63.49,64.95,SABESP
SBSP3,06/02/2020,64.99,65.50,63.21,63.80,SABESP
SBSP3,07/02/2020,63.20,64.20,62.75,63.37,SABESP
SBSP3,10/02/2020,63.24,63.57,60.72,61.33,SABESP
SBSP3,11/02/2020,61.57,63.18,61.06,63.04,SABESP
SBSP3,12/02/2020,63.20,64.62,62.40,63.94,SABESP
SBSP3,13/02/2020,63.65,63.81,62.52,63.81,SABESP
SBSP3,14/02/2020,63.70,64.44,62.90,64.44,SABESP
SBSP3,17/02/2020,64.60,65.33,63.89,65.33,SABESP
SBSP3,18/02/2020,64.70,65.13,63.72,65.13,SABESP
SBSP3,19/02/2020,65.25,66.77,64.56,66.47,SABESP
SBSP3,20/02/2020,66.33,66.39,64.02,65.10,SABESP
SBSP3,21/02/2020,64.32,65.83,63.71,65.67,SABESP
SBSP3,26/02/2020,62.90,63.00,59.68,61.40,SABESP
SBSP3,27/02/2020,60.66,61.33,59.27,59.51,SABESP
SBSP3,28/02/2020,59.05,59.45,55.95,58.75,SABESP
SBSP3,02/03/2020,58.25,60.14,57.60,60.14,SABESP
SBSP3,03/03/2020,60.00,62.09,58.78,60.00,SABESP
SBSP3,04/03/2020,60.78,62.86,60.30,62.82,SABESP
SBSP3,05/03/2020,61.53,62.50,59.06,60.16,SABESP
SBSP3,06/03/2020,57.58,58.31,56.03,57.37,SABESP
SBSP3,09/03/2020,53.99,54.00,50.58,52.00,SABESP
SBSP3,10/03/2020,53.10,54.72,51.13,54.72,SABESP
SBSP3,11/03/2020,52.60,53.89,47.59,50.50,SABESP
SBSP3,12/03/2020,43.38,45.50,39.50,42.84,SABESP
SBSP3,13/03/2020,47.00,50.32,42.33,50.32,SABESP
SBSP3,16/03/2020,44.43,47.50,42.38,47.50,SABESP
SBSP3,17/03/2020,47.60,48.00,43.55,45.99,SABESP
SBSP3,18/03/2020,41.00,42.29,30.51,37.79,SABESP
SBSP3,19/03/2020,36.49,37.98,32.17,36.89,SABESP
SBSP3,20/03/2020,37.28,37.69,33.10,33.71,SABESP
SBSP3,23/03/2020,33.69,33.69,28.37,30.55,SABESP
SBSP3,24/03/2020,32.00,32.80,29.79,32.10,SABESP
SBSP3,25/03/2020,31.50,35.60,31.40,35.32,SABESP
SBSP3,26/03/2020,34.90,40.80,34.50,40.01,SABESP
SBSP3,27/03/2020,37.60,41.34,37.60,40.07,SABESP
SBSP3,30/03/2020,40.08,41.59,39.21,40.81,SABESP
SBSP3,31/03/2020,40.64,40.64,37.49,39.11,SABESP
SBSP3,01/04/2020,37.56,37.68,35.80,36.64,SABESP
SBSP3,02/04/2020,36.70,36.90,33.91,35.85,SABESP
SBSP3,03/04/2020,35.61,35.98,33.15,34.18,SABESP
SBSP3,06/04/2020,36.10,36.78,34.86,36.34,SABESP
SBSP3,07/04/2020,38.74,39.85,37.84,38.34,SABESP
SBSP3,08/04/2020,38.39,40.57,37.68,40.40,SABESP
SBSP3,09/04/2020,40.55,42.50,40.14,41.78,SABESP
