Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SCAR3,02/01/2020,47.49,47.50,47.00,47.12,SAO CARLOS
SCAR3,03/01/2020,46.09,47.74,46.09,47.02,SAO CARLOS
SCAR3,06/01/2020,47.00,47.32,45.93,47.00,SAO CARLOS
SCAR3,07/01/2020,46.53,47.25,46.53,47.24,SAO CARLOS
SCAR3,08/01/2020,47.50,49.48,47.15,49.48,SAO CARLOS
SCAR3,09/01/2020,49.41,49.52,48.37,49.25,SAO CARLOS
SCAR3,10/01/2020,48.76,49.49,47.01,47.55,SAO CARLOS
SCAR3,13/01/2020,47.56,49.69,47.32,49.69,SAO CARLOS
SCAR3,14/01/2020,49.74,52.05,49.00,51.00,SAO CARLOS
SCAR3,15/01/2020,50.99,51.81,50.20,51.79,SAO CARLOS
SCAR3,16/01/2020,50.75,51.99,49.60,49.60,SAO CARLOS
SCAR3,17/01/2020,50.27,51.46,50.00,50.84,SAO CARLOS
SCAR3,20/01/2020,51.01,54.00,49.81,53.49,SAO CARLOS
SCAR3,21/01/2020,53.49,53.50,51.01,53.48,SAO CARLOS
SCAR3,22/01/2020,52.50,53.75,52.50,53.75,SAO CARLOS
SCAR3,23/01/2020,53.73,53.98,52.89,53.98,SAO CARLOS
SCAR3,24/01/2020,54.00,54.97,54.00,54.75,SAO CARLOS
SCAR3,27/01/2020,53.18,54.47,51.51,52.49,SAO CARLOS
SCAR3,28/01/2020,51.57,53.80,51.56,53.70,SAO CARLOS
SCAR3,29/01/2020,53.79,53.80,53.05,53.65,SAO CARLOS
SCAR3,30/01/2020,52.26,53.74,51.91,53.00,SAO CARLOS
SCAR3,31/01/2020,53.74,53.74,51.68,51.68,SAO CARLOS
SCAR3,03/02/2020,51.01,52.91,51.00,51.75,SAO CARLOS
SCAR3,04/02/2020,53.25,53.25,52.15,52.40,SAO CARLOS
SCAR3,05/02/2020,52.99,55.50,52.08,54.02,SAO CARLOS
SCAR3,06/02/2020,55.24,55.27,53.86,54.93,SAO CARLOS
SCAR3,07/02/2020,53.45,55.78,52.70,55.55,SAO CARLOS
SCAR3,10/02/2020,55.69,55.69,52.88,52.88,SAO CARLOS
SCAR3,11/02/2020,53.46,54.65,53.03,53.48,SAO CARLOS
SCAR3,12/02/2020,52.88,54.94,52.88,54.80,SAO CARLOS
SCAR3,13/02/2020,53.40,55.49,53.40,55.23,SAO CARLOS
SCAR3,14/02/2020,56.00,56.00,54.78,55.87,SAO CARLOS
SCAR3,17/02/2020,55.95,55.95,54.38,55.87,SAO CARLOS
SCAR3,18/02/2020,54.61,56.64,54.61,56.01,SAO CARLOS
SCAR3,19/02/2020,56.85,58.77,53.00,53.02,SAO CARLOS
SCAR3,20/02/2020,53.13,55.11,52.88,52.88,SAO CARLOS
SCAR3,21/02/2020,52.90,53.46,51.65,52.96,SAO CARLOS
SCAR3,26/02/2020,50.00,50.37,47.99,49.00,SAO CARLOS
