Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SEER3,02/01/2020,27.80,28.51,27.80,28.40,SER EDUCA
SEER3,03/01/2020,28.02,28.20,27.62,28.00,SER EDUCA
SEER3,06/01/2020,28.00,28.01,27.37,27.62,SER EDUCA
SEER3,07/01/2020,27.76,27.85,27.26,27.50,SER EDUCA
SEER3,08/01/2020,27.80,27.80,26.91,27.39,SER EDUCA
SEER3,09/01/2020,27.39,28.38,27.11,28.31,SER EDUCA
SEER3,10/01/2020,28.45,28.96,27.72,28.01,SER EDUCA
SEER3,13/01/2020,28.12,28.75,27.94,28.69,SER EDUCA
SEER3,14/01/2020,28.70,29.94,28.46,29.94,SER EDUCA
SEER3,15/01/2020,29.96,29.96,28.93,29.06,SER EDUCA
SEER3,16/01/2020,29.15,29.60,28.80,29.13,SER EDUCA
SEER3,17/01/2020,29.13,29.36,28.65,28.89,SER EDUCA
SEER3,20/01/2020,28.89,29.96,28.65,29.96,SER EDUCA
SEER3,21/01/2020,29.58,30.69,29.43,30.36,SER EDUCA
SEER3,22/01/2020,30.51,31.14,29.78,31.14,SER EDUCA
SEER3,23/01/2020,31.05,31.44,29.94,31.44,SER EDUCA
SEER3,24/01/2020,31.54,32.27,30.85,31.90,SER EDUCA
SEER3,27/01/2020,31.61,31.61,30.62,31.42,SER EDUCA
SEER3,28/01/2020,30.98,33.07,30.98,32.60,SER EDUCA
SEER3,29/01/2020,32.73,33.24,31.73,31.96,SER EDUCA
SEER3,30/01/2020,31.50,31.50,30.22,31.09,SER EDUCA
SEER3,31/01/2020,31.09,31.23,30.45,30.57,SER EDUCA
SEER3,03/02/2020,30.57,33.55,30.56,33.46,SER EDUCA
SEER3,04/02/2020,33.62,34.14,33.13,33.40,SER EDUCA
SEER3,05/02/2020,33.50,34.16,32.47,32.51,SER EDUCA
SEER3,06/02/2020,32.68,32.87,30.83,30.83,SER EDUCA
SEER3,07/02/2020,30.77,31.24,29.92,30.99,SER EDUCA
