Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SGPS3,02/01/2020,12.44,12.55,12.27,12.49,SPRINGS
SGPS3,03/01/2020,12.11,12.42,11.90,12.20,SPRINGS
SGPS3,06/01/2020,12.44,12.44,12.00,12.42,SPRINGS
SGPS3,07/01/2020,12.41,13.42,12.41,13.42,SPRINGS
SGPS3,08/01/2020,13.42,13.90,13.26,13.79,SPRINGS
SGPS3,09/01/2020,13.86,13.95,13.57,13.64,SPRINGS
SGPS3,10/01/2020,13.64,14.10,13.64,13.95,SPRINGS
SGPS3,13/01/2020,13.95,14.18,13.75,13.98,SPRINGS
SGPS3,14/01/2020,13.99,14.15,13.80,14.00,SPRINGS
SGPS3,15/01/2020,13.98,14.10,13.80,13.95,SPRINGS
SGPS3,16/01/2020,13.88,14.10,13.27,13.65,SPRINGS
SGPS3,17/01/2020,13.85,14.50,13.85,14.25,SPRINGS
SGPS3,20/01/2020,14.27,14.70,14.27,14.59,SPRINGS
SGPS3,21/01/2020,14.59,14.89,14.32,14.60,SPRINGS
SGPS3,22/01/2020,14.60,14.60,14.35,14.60,SPRINGS
SGPS3,23/01/2020,14.60,14.90,14.45,14.80,SPRINGS
SGPS3,24/01/2020,14.89,14.90,14.50,14.70,SPRINGS
SGPS3,27/01/2020,14.44,14.60,13.90,14.33,SPRINGS
SGPS3,28/01/2020,14.10,14.68,13.71,14.68,SPRINGS
SGPS3,29/01/2020,14.67,14.70,14.00,14.00,SPRINGS
SGPS3,30/01/2020,13.90,13.90,12.94,13.32,SPRINGS
SGPS3,31/01/2020,13.32,13.32,12.56,12.68,SPRINGS
SGPS3,03/02/2020,12.68,12.90,12.22,12.41,SPRINGS
SGPS3,04/02/2020,12.55,13.00,12.50,12.70,SPRINGS
SGPS3,05/02/2020,12.72,12.95,12.72,12.95,SPRINGS
SGPS3,06/02/2020,12.81,12.99,12.42,12.57,SPRINGS
SGPS3,07/02/2020,12.40,12.41,12.00,12.06,SPRINGS
SGPS3,10/02/2020,12.06,12.35,11.40,11.60,SPRINGS
SGPS3,11/02/2020,11.69,12.00,11.69,11.94,SPRINGS
SGPS3,12/02/2020,11.88,12.19,11.80,11.93,SPRINGS
SGPS3,13/02/2020,11.78,12.20,11.60,12.18,SPRINGS
SGPS3,14/02/2020,12.24,12.40,11.85,11.85,SPRINGS
SGPS3,17/02/2020,12.16,12.25,11.90,12.25,SPRINGS
SGPS3,18/02/2020,12.15,12.36,11.81,12.10,SPRINGS
SGPS3,19/02/2020,12.20,12.29,12.01,12.29,SPRINGS
SGPS3,20/02/2020,12.27,12.27,11.89,12.16,SPRINGS
SGPS3,21/02/2020,12.05,12.35,11.85,12.28,SPRINGS
SGPS3,26/02/2020,11.15,11.79,11.06,11.79,SPRINGS
SGPS3,27/02/2020,11.32,12.20,11.00,12.20,SPRINGS
SGPS3,28/02/2020,11.90,11.92,11.27,11.74,SPRINGS
SGPS3,02/03/2020,11.74,12.05,11.51,12.00,SPRINGS
SGPS3,03/03/2020,12.00,12.16,11.30,11.41,SPRINGS
SGPS3,04/03/2020,11.41,11.70,11.26,11.27,SPRINGS
SGPS3,05/03/2020,11.27,11.27,10.72,11.00,SPRINGS
SGPS3,06/03/2020,10.58,11.00,10.10,10.49,SPRINGS
SGPS3,09/03/2020,9.96,9.97,8.61,9.10,SPRINGS
SGPS3,10/03/2020,10.70,11.00,9.05,10.10,SPRINGS
