Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SHUL4,02/01/2020,10.28,10.40,10.20,10.32,SCHULZ
SHUL4,03/01/2020,10.31,10.70,10.07,10.52,SCHULZ
SHUL4,06/01/2020,10.52,10.85,10.41,10.74,SCHULZ
SHUL4,07/01/2020,10.85,10.90,10.48,10.50,SCHULZ
SHUL4,08/01/2020,10.60,10.89,10.59,10.89,SCHULZ
SHUL4,09/01/2020,10.91,10.97,10.80,10.94,SCHULZ
SHUL4,10/01/2020,10.98,11.09,10.89,10.89,SCHULZ
SHUL4,13/01/2020,10.99,11.14,10.93,11.09,SCHULZ
SHUL4,14/01/2020,11.20,11.32,11.05,11.14,SCHULZ
SHUL4,15/01/2020,11.17,11.38,11.02,11.21,SCHULZ
SHUL4,16/01/2020,11.27,11.34,11.01,11.01,SCHULZ
SHUL4,17/01/2020,11.15,11.33,10.95,10.98,SCHULZ
SHUL4,20/01/2020,11.03,11.34,11.00,11.34,SCHULZ
SHUL4,21/01/2020,11.34,11.85,11.05,11.10,SCHULZ
SHUL4,22/01/2020,11.19,11.57,11.19,11.53,SCHULZ
SHUL4,23/01/2020,11.53,11.73,11.41,11.50,SCHULZ
SHUL4,24/01/2020,11.78,11.87,11.67,11.80,SCHULZ
SHUL4,27/01/2020,11.74,11.74,11.20,11.30,SCHULZ
SHUL4,28/01/2020,11.20,11.71,11.20,11.53,SCHULZ
SHUL4,29/01/2020,11.68,12.30,11.65,12.19,SCHULZ
SHUL4,30/01/2020,12.10,12.10,11.61,11.70,SCHULZ
SHUL4,31/01/2020,11.71,12.04,11.70,11.80,SCHULZ
SHUL4,03/02/2020,11.80,12.48,11.75,12.48,SCHULZ
SHUL4,04/02/2020,12.67,12.89,12.55,12.80,SCHULZ
SHUL4,05/02/2020,12.83,13.57,12.80,13.49,SCHULZ
SHUL4,06/02/2020,13.69,13.94,12.95,13.16,SCHULZ
SHUL4,07/02/2020,13.10,13.16,12.78,12.93,SCHULZ
SHUL4,10/02/2020,13.07,13.15,11.85,12.25,SCHULZ
SHUL4,11/02/2020,12.41,13.05,12.32,13.05,SCHULZ
SHUL4,12/02/2020,13.11,13.30,12.71,13.30,SCHULZ
SHUL4,13/02/2020,13.26,13.77,12.82,13.77,SCHULZ
SHUL4,14/02/2020,13.88,14.47,13.80,14.39,SCHULZ
SHUL4,17/02/2020,14.41,15.32,14.39,15.00,SCHULZ
SHUL4,18/02/2020,15.00,15.14,14.59,14.90,SCHULZ
SHUL4,19/02/2020,14.90,15.30,14.69,15.30,SCHULZ
SHUL4,20/02/2020,15.36,15.84,15.36,15.80,SCHULZ
SHUL4,21/02/2020,15.68,16.58,15.49,16.58,SCHULZ
