Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SLCE3,02/01/2020,24.94,25.99,24.33,25.99,SLC AGRICOLA
SLCE3,03/01/2020,25.20,26.19,24.80,25.88,SLC AGRICOLA
SLCE3,06/01/2020,25.87,26.06,25.35,25.65,SLC AGRICOLA
SLCE3,07/01/2020,25.70,25.74,24.71,25.00,SLC AGRICOLA
SLCE3,08/01/2020,24.97,25.17,24.45,25.15,SLC AGRICOLA
SLCE3,09/01/2020,25.19,25.47,24.91,25.00,SLC AGRICOLA
SLCE3,10/01/2020,25.04,25.73,24.50,24.82,SLC AGRICOLA
SLCE3,13/01/2020,25.00,25.28,24.52,24.67,SLC AGRICOLA
SLCE3,14/01/2020,24.83,25.04,24.14,24.59,SLC AGRICOLA
SLCE3,15/01/2020,24.53,24.70,23.80,24.20,SLC AGRICOLA
SLCE3,16/01/2020,24.21,24.44,23.21,23.50,SLC AGRICOLA
SLCE3,17/01/2020,23.60,23.73,23.00,23.00,SLC AGRICOLA
SLCE3,20/01/2020,22.99,23.90,22.89,23.80,SLC AGRICOLA
SLCE3,21/01/2020,23.99,24.53,23.65,24.29,SLC AGRICOLA
SLCE3,22/01/2020,24.51,25.15,24.06,25.15,SLC AGRICOLA
SLCE3,23/01/2020,25.00,25.12,24.35,25.12,SLC AGRICOLA
SLCE3,24/01/2020,25.12,25.24,24.38,24.58,SLC AGRICOLA
SLCE3,27/01/2020,24.10,24.40,23.20,23.88,SLC AGRICOLA
SLCE3,28/01/2020,24.18,24.28,23.41,23.78,SLC AGRICOLA
SLCE3,29/01/2020,23.74,24.04,23.52,23.52,SLC AGRICOLA
SLCE3,30/01/2020,23.01,23.01,22.20,22.90,SLC AGRICOLA
SLCE3,31/01/2020,22.94,22.96,22.52,22.78,SLC AGRICOLA
SLCE3,03/02/2020,22.78,24.14,22.78,24.14,SLC AGRICOLA
SLCE3,04/02/2020,24.29,24.62,23.79,23.84,SLC AGRICOLA
SLCE3,05/02/2020,23.98,24.26,23.50,23.56,SLC AGRICOLA
SLCE3,06/02/2020,23.55,23.82,22.85,23.18,SLC AGRICOLA
SLCE3,07/02/2020,23.13,23.13,21.55,21.77,SLC AGRICOLA
SLCE3,10/02/2020,21.75,21.82,21.08,21.45,SLC AGRICOLA
SLCE3,11/02/2020,21.60,22.30,21.36,22.23,SLC AGRICOLA
SLCE3,12/02/2020,22.28,22.68,21.88,22.42,SLC AGRICOLA
SLCE3,13/02/2020,22.29,22.29,21.66,21.90,SLC AGRICOLA
SLCE3,14/02/2020,21.97,22.23,21.62,21.93,SLC AGRICOLA
SLCE3,17/02/2020,22.00,22.50,21.95,22.40,SLC AGRICOLA
SLCE3,18/02/2020,22.29,22.29,21.83,21.88,SLC AGRICOLA
SLCE3,19/02/2020,22.00,23.07,21.92,23.04,SLC AGRICOLA
SLCE3,20/02/2020,23.05,23.18,22.33,22.72,SLC AGRICOLA
SLCE3,21/02/2020,22.60,23.12,22.04,23.09,SLC AGRICOLA
SLCE3,26/02/2020,21.97,21.97,21.19,21.41,SLC AGRICOLA
SLCE3,27/02/2020,21.25,21.25,20.03,20.57,SLC AGRICOLA
SLCE3,28/02/2020,20.41,20.56,19.62,20.17,SLC AGRICOLA
SLCE3,02/03/2020,20.35,21.46,20.20,21.16,SLC AGRICOLA
SLCE3,03/03/2020,21.29,21.97,20.92,20.92,SLC AGRICOLA
SLCE3,04/03/2020,21.31,22.13,21.26,22.01,SLC AGRICOLA
SLCE3,05/03/2020,21.70,22.78,21.62,21.96,SLC AGRICOLA
SLCE3,06/03/2020,21.00,21.64,20.28,21.25,SLC AGRICOLA
SLCE3,09/03/2020,19.50,20.32,19.25,19.86,SLC AGRICOLA
SLCE3,10/03/2020,20.50,21.10,19.90,20.61,SLC AGRICOLA
SLCE3,11/03/2020,20.10,20.55,18.10,19.66,SLC AGRICOLA
SLCE3,12/03/2020,18.00,18.81,17.16,18.60,SLC AGRICOLA
SLCE3,13/03/2020,20.01,20.65,18.60,19.97,SLC AGRICOLA
SLCE3,16/03/2020,18.26,19.22,17.55,18.60,SLC AGRICOLA
SLCE3,17/03/2020,18.90,19.91,18.80,19.91,SLC AGRICOLA
SLCE3,18/03/2020,18.95,19.80,18.60,19.06,SLC AGRICOLA
SLCE3,19/03/2020,18.44,20.36,18.20,19.26,SLC AGRICOLA
SLCE3,20/03/2020,20.00,20.94,18.45,19.67,SLC AGRICOLA
SLCE3,23/03/2020,19.28,19.50,17.60,18.40,SLC AGRICOLA
SLCE3,24/03/2020,19.25,19.71,19.06,19.17,SLC AGRICOLA
SLCE3,25/03/2020,19.18,21.19,19.16,20.74,SLC AGRICOLA
SLCE3,26/03/2020,20.61,22.77,20.61,22.28,SLC AGRICOLA
SLCE3,27/03/2020,21.64,23.45,21.06,22.58,SLC AGRICOLA
SLCE3,30/03/2020,23.14,23.75,22.79,22.86,SLC AGRICOLA
SLCE3,31/03/2020,23.07,23.13,22.20,22.70,SLC AGRICOLA
