Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SMAL11,02/01/2020,138.00,139.50,138.00,139.50,ISHARES SMAL
SMAL11,03/01/2020,138.00,140.90,137.13,140.90,ISHARES SMAL
SMAL11,06/01/2020,139.00,139.66,137.00,139.10,ISHARES SMAL
SMAL11,07/01/2020,139.50,139.71,138.18,139.40,ISHARES SMAL
SMAL11,08/01/2020,139.41,139.79,137.70,138.20,ISHARES SMAL
SMAL11,09/01/2020,138.72,139.59,138.49,138.80,ISHARES SMAL
SMAL11,10/01/2020,139.99,140.91,138.95,139.40,ISHARES SMAL
SMAL11,13/01/2020,139.81,141.90,139.81,141.90,ISHARES SMAL
SMAL11,14/01/2020,141.77,143.20,141.17,143.20,ISHARES SMAL
SMAL11,15/01/2020,143.50,143.68,142.11,142.50,ISHARES SMAL
SMAL11,16/01/2020,143.00,144.00,142.02,142.50,ISHARES SMAL
SMAL11,17/01/2020,143.65,144.00,142.35,143.40,ISHARES SMAL
SMAL11,20/01/2020,143.40,145.72,143.01,145.72,ISHARES SMAL
SMAL11,21/01/2020,145.00,145.72,144.03,144.03,ISHARES SMAL
SMAL11,22/01/2020,145.77,146.29,144.38,146.29,ISHARES SMAL
SMAL11,23/01/2020,145.45,147.30,144.00,146.70,ISHARES SMAL
SMAL11,24/01/2020,146.90,147.67,145.15,145.15,ISHARES SMAL
SMAL11,27/01/2020,142.39,142.90,140.01,140.47,ISHARES SMAL
SMAL11,28/01/2020,141.20,143.65,141.20,142.60,ISHARES SMAL
SMAL11,29/01/2020,143.45,144.35,141.03,141.37,ISHARES SMAL
SMAL11,30/01/2020,139.60,139.79,136.12,138.91,ISHARES SMAL
SMAL11,31/01/2020,137.77,138.99,136.55,136.91,ISHARES SMAL
SMAL11,03/02/2020,136.90,140.33,136.61,139.59,ISHARES SMAL
SMAL11,04/02/2020,141.84,144.49,141.22,141.43,ISHARES SMAL
SMAL11,05/02/2020,143.00,143.64,141.71,141.90,ISHARES SMAL
SMAL11,06/02/2020,142.80,143.47,139.31,139.40,ISHARES SMAL
SMAL11,07/02/2020,137.30,139.40,135.90,135.90,ISHARES SMAL
SMAL11,10/02/2020,135.70,136.86,131.79,132.20,ISHARES SMAL
SMAL11,11/02/2020,133.95,136.84,133.44,136.12,ISHARES SMAL
SMAL11,12/02/2020,137.00,139.32,136.80,138.10,ISHARES SMAL
SMAL11,13/02/2020,136.40,138.31,135.51,138.15,ISHARES SMAL
SMAL11,14/02/2020,138.10,139.45,136.76,137.50,ISHARES SMAL
SMAL11,17/02/2020,138.62,139.03,137.43,138.95,ISHARES SMAL
SMAL11,18/02/2020,138.00,139.41,137.47,138.80,ISHARES SMAL
SMAL11,19/02/2020,139.30,141.89,138.85,141.00,ISHARES SMAL
SMAL11,20/02/2020,141.38,141.85,139.28,139.55,ISHARES SMAL
SMAL11,21/02/2020,139.38,139.38,137.57,139.29,ISHARES SMAL
SMAL11,26/02/2020,132.90,132.90,128.25,129.11,ISHARES SMAL
SMAL11,27/02/2020,128.99,130.11,124.22,125.07,ISHARES SMAL
SMAL11,28/02/2020,124.00,125.90,119.91,125.90,ISHARES SMAL
SMAL11,02/03/2020,125.90,130.98,125.90,130.00,ISHARES SMAL
SMAL11,03/03/2020,130.90,133.72,128.00,128.91,ISHARES SMAL
SMAL11,04/03/2020,131.51,132.95,129.55,131.82,ISHARES SMAL
SMAL11,05/03/2020,130.00,130.87,122.06,124.25,ISHARES SMAL
SMAL11,06/03/2020,119.80,120.38,116.76,119.22,ISHARES SMAL
SMAL11,09/03/2020,106.85,109.79,102.02,103.77,ISHARES SMAL
SMAL11,10/03/2020,110.54,112.82,106.50,110.50,ISHARES SMAL
SMAL11,11/03/2020,108.00,110.65,97.51,102.50,ISHARES SMAL
SMAL11,12/03/2020,88.00,94.00,85.00,87.40,ISHARES SMAL
SMAL11,13/03/2020,104.01,105.00,85.50,97.50,ISHARES SMAL
SMAL11,16/03/2020,83.49,89.56,80.50,80.50,ISHARES SMAL
SMAL11,17/03/2020,86.01,87.96,82.01,85.70,ISHARES SMAL
SMAL11,18/03/2020,75.33,79.99,67.92,72.80,ISHARES SMAL
SMAL11,19/03/2020,68.30,79.00,64.60,75.99,ISHARES SMAL
SMAL11,20/03/2020,81.00,82.44,74.49,75.90,ISHARES SMAL
SMAL11,23/03/2020,74.50,74.50,69.85,71.80,ISHARES SMAL
SMAL11,24/03/2020,76.57,78.71,75.18,75.95,ISHARES SMAL
SMAL11,25/03/2020,76.00,85.00,76.00,81.55,ISHARES SMAL
SMAL11,26/03/2020,82.61,90.56,82.61,88.70,ISHARES SMAL
SMAL11,27/03/2020,85.72,87.45,82.31,84.01,ISHARES SMAL
SMAL11,30/03/2020,84.10,88.72,83.51,83.51,ISHARES SMAL
SMAL11,31/03/2020,84.30,85.60,78.71,78.71,ISHARES SMAL
SMAL11,01/04/2020,77.71,78.90,76.69,77.07,ISHARES SMAL
SMAL11,02/04/2020,79.78,80.37,77.13,78.40,ISHARES SMAL
SMAL11,03/04/2020,78.50,79.00,73.91,75.02,ISHARES SMAL
SMAL11,06/04/2020,80.01,81.49,78.49,79.52,ISHARES SMAL
SMAL11,07/04/2020,83.33,85.80,82.02,82.02,ISHARES SMAL
SMAL11,08/04/2020,82.02,85.45,81.55,84.35,ISHARES SMAL
SMAL11,09/04/2020,84.60,87.00,83.27,83.27,ISHARES SMAL
SMAL11,13/04/2020,83.00,85.20,82.95,83.37,ISHARES SMAL
SMAL11,14/04/2020,86.25,88.40,86.25,87.00,ISHARES SMAL
SMAL11,15/04/2020,85.50,88.54,84.04,87.35,ISHARES SMAL
SMAL11,16/04/2020,88.60,89.86,86.10,86.50,ISHARES SMAL
SMAL11,17/04/2020,88.50,89.95,86.68,87.00,ISHARES SMAL
SMAL11,20/04/2020,85.64,89.99,85.08,88.85,ISHARES SMAL
SMAL11,22/04/2020,89.95,92.59,89.75,91.99,ISHARES SMAL
SMAL11,23/04/2020,93.25,94.40,89.66,90.51,ISHARES SMAL
SMAL11,24/04/2020,89.80,89.80,80.90,83.99,ISHARES SMAL
SMAL11,27/04/2020,86.05,88.53,85.60,88.17,ISHARES SMAL
SMAL11,28/04/2020,90.42,92.43,90.02,91.50,ISHARES SMAL
SMAL11,29/04/2020,93.56,94.50,92.27,94.50,ISHARES SMAL
SMAL11,30/04/2020,93.15,93.47,89.85,90.42,ISHARES SMAL
SMAL11,04/05/2020,86.15,88.31,85.96,88.01,ISHARES SMAL
SMAL11,05/05/2020,88.70,89.70,86.80,86.80,ISHARES SMAL
SMAL11,06/05/2020,86.99,87.90,85.01,85.80,ISHARES SMAL
SMAL11,07/05/2020,86.51,88.50,83.76,84.00,ISHARES SMAL
SMAL11,08/05/2020,85.00,86.15,83.24,84.10,ISHARES SMAL
SMAL11,11/05/2020,83.97,84.95,82.48,82.50,ISHARES SMAL
SMAL11,12/05/2020,83.00,84.40,80.90,80.90,ISHARES SMAL
SMAL11,13/05/2020,81.60,82.10,78.39,78.81,ISHARES SMAL
SMAL11,14/05/2020,77.61,82.01,77.38,80.50,ISHARES SMAL
SMAL11,15/05/2020,80.00,81.94,79.30,80.00,ISHARES SMAL
SMAL11,18/05/2020,82.48,85.48,82.39,85.40,ISHARES SMAL
SMAL11,19/05/2020,85.45,86.93,84.05,85.00,ISHARES SMAL
SMAL11,20/05/2020,85.10,87.48,85.10,85.12,ISHARES SMAL
SMAL11,21/05/2020,86.10,88.79,86.10,88.50,ISHARES SMAL
SMAL11,22/05/2020,87.35,89.60,86.38,89.60,ISHARES SMAL
SMAL11,25/05/2020,91.80,92.36,90.78,91.62,ISHARES SMAL
SMAL11,26/05/2020,92.51,94.77,91.84,91.90,ISHARES SMAL
SMAL11,27/05/2020,93.12,95.97,92.79,95.80,ISHARES SMAL
SMAL11,28/05/2020,95.50,96.42,94.48,94.58,ISHARES SMAL
SMAL11,29/05/2020,94.01,95.24,93.41,94.65,ISHARES SMAL
SMAL11,01/06/2020,94.01,97.59,94.01,96.83,ISHARES SMAL
SMAL11,02/06/2020,98.10,101.49,98.10,101.05,ISHARES SMAL
SMAL11,03/06/2020,104.01,105.80,103.80,105.20,ISHARES SMAL
SMAL11,04/06/2020,104.75,106.60,103.50,105.03,ISHARES SMAL
SMAL11,05/06/2020,109.10,110.36,107.57,107.79,ISHARES SMAL
SMAL11,08/06/2020,109.10,112.98,109.00,112.98,ISHARES SMAL
SMAL11,09/06/2020,110.50,112.22,108.50,110.81,ISHARES SMAL
SMAL11,10/06/2020,112.00,113.38,107.10,107.10,ISHARES SMAL
SMAL11,12/06/2020,103.20,105.93,102.00,104.25,ISHARES SMAL
SMAL11,15/06/2020,102.00,105.50,100.09,104.50,ISHARES SMAL
SMAL11,16/06/2020,108.84,109.00,104.24,104.45,ISHARES SMAL
SMAL11,17/06/2020,105.65,108.07,104.24,107.00,ISHARES SMAL
SMAL11,18/06/2020,107.00,109.18,105.49,107.41,ISHARES SMAL
SMAL11,19/06/2020,109.00,109.77,107.80,108.40,ISHARES SMAL
