Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SMLS3,02/01/2020,39.43,39.99,39.30,39.99,SMILES
SMLS3,03/01/2020,39.77,39.79,39.12,39.74,SMILES
SMLS3,06/01/2020,39.44,39.44,38.43,38.44,SMILES
SMLS3,07/01/2020,38.41,39.09,38.30,39.09,SMILES
SMLS3,08/01/2020,39.00,39.74,38.67,39.41,SMILES
SMLS3,09/01/2020,39.57,40.17,39.39,40.17,SMILES
SMLS3,10/01/2020,40.33,40.44,39.98,40.24,SMILES
SMLS3,13/01/2020,40.40,40.70,40.14,40.60,SMILES
SMLS3,14/01/2020,40.60,40.89,40.00,40.89,SMILES
SMLS3,15/01/2020,40.73,40.78,39.88,39.88,SMILES
SMLS3,16/01/2020,40.04,40.04,39.42,39.44,SMILES
SMLS3,17/01/2020,39.60,40.29,39.46,40.29,SMILES
SMLS3,20/01/2020,39.87,40.38,39.85,40.37,SMILES
SMLS3,21/01/2020,40.22,40.27,39.34,39.52,SMILES
SMLS3,22/01/2020,39.52,40.22,39.52,40.12,SMILES
SMLS3,23/01/2020,39.99,41.01,39.17,40.93,SMILES
SMLS3,24/01/2020,40.90,40.99,39.89,40.23,SMILES
SMLS3,27/01/2020,39.94,39.94,39.10,39.11,SMILES
SMLS3,28/01/2020,39.27,39.63,38.97,39.36,SMILES
SMLS3,29/01/2020,39.52,39.58,38.82,39.02,SMILES
SMLS3,30/01/2020,38.76,38.79,37.61,38.67,SMILES
SMLS3,31/01/2020,38.30,38.90,38.04,38.48,SMILES
SMLS3,03/02/2020,38.48,39.07,38.37,38.62,SMILES
SMLS3,04/02/2020,38.70,39.28,38.52,39.10,SMILES
SMLS3,05/02/2020,39.10,39.74,38.81,39.58,SMILES
SMLS3,06/02/2020,39.78,39.84,38.90,39.12,SMILES
SMLS3,07/02/2020,38.90,38.95,38.00,38.34,SMILES
SMLS3,10/02/2020,38.46,38.46,37.74,38.27,SMILES
SMLS3,11/02/2020,38.42,39.16,38.03,38.82,SMILES
SMLS3,12/02/2020,38.98,39.28,38.40,38.70,SMILES
SMLS3,13/02/2020,38.47,38.84,38.09,38.11,SMILES
SMLS3,14/02/2020,38.21,38.73,37.97,38.45,SMILES
SMLS3,17/02/2020,38.60,38.70,38.35,38.40,SMILES
SMLS3,18/02/2020,38.25,38.38,36.62,37.44,SMILES
SMLS3,19/02/2020,37.50,37.70,36.92,37.61,SMILES
SMLS3,20/02/2020,37.66,38.27,36.88,37.29,SMILES
SMLS3,21/02/2020,37.11,37.41,36.80,37.25,SMILES
SMLS3,26/02/2020,35.75,35.91,33.54,34.19,SMILES
SMLS3,27/02/2020,33.70,34.05,32.52,33.25,SMILES
SMLS3,28/02/2020,32.94,33.25,32.12,32.78,SMILES
SMLS3,02/03/2020,32.78,33.48,32.65,33.15,SMILES
SMLS3,03/03/2020,33.28,34.01,32.09,32.51,SMILES
SMLS3,04/03/2020,33.00,33.42,32.31,33.00,SMILES
SMLS3,05/03/2020,32.60,32.88,30.04,30.40,SMILES
SMLS3,06/03/2020,29.58,31.95,28.63,31.43,SMILES
SMLS3,09/03/2020,29.57,29.93,28.73,28.73,SMILES
SMLS3,10/03/2020,29.76,30.30,29.00,30.00,SMILES
SMLS3,11/03/2020,29.11,29.46,27.28,28.00,SMILES
SMLS3,12/03/2020,25.97,26.31,23.19,23.85,SMILES
SMLS3,13/03/2020,26.32,26.48,23.40,25.00,SMILES
SMLS3,16/03/2020,21.00,21.00,15.65,17.95,SMILES
SMLS3,17/03/2020,18.30,18.30,16.52,16.56,SMILES
SMLS3,18/03/2020,15.56,15.57,9.90,10.30,SMILES
SMLS3,19/03/2020,10.03,10.03,8.35,9.02,SMILES
SMLS3,20/03/2020,9.70,12.12,9.70,10.07,SMILES
SMLS3,23/03/2020,10.07,10.41,9.16,10.00,SMILES
SMLS3,24/03/2020,11.06,11.91,10.93,11.45,SMILES
SMLS3,25/03/2020,11.48,14.09,11.46,13.74,SMILES
SMLS3,26/03/2020,13.70,16.00,13.34,14.70,SMILES
SMLS3,27/03/2020,14.17,14.77,13.05,14.51,SMILES
SMLS3,30/03/2020,14.80,15.58,13.45,13.65,SMILES
SMLS3,31/03/2020,13.81,14.25,11.90,12.35,SMILES
SMLS3,01/04/2020,11.45,12.81,11.27,12.29,SMILES
SMLS3,02/04/2020,12.70,13.30,11.68,12.00,SMILES
SMLS3,03/04/2020,12.00,12.00,10.69,11.37,SMILES
SMLS3,06/04/2020,12.00,12.97,11.92,12.30,SMILES
SMLS3,07/04/2020,13.50,13.90,12.85,13.20,SMILES
SMLS3,08/04/2020,13.30,14.61,12.88,14.30,SMILES
SMLS3,09/04/2020,14.73,15.20,14.13,14.30,SMILES
SMLS3,13/04/2020,14.32,14.94,13.17,13.51,SMILES
SMLS3,14/04/2020,13.75,14.15,13.52,13.75,SMILES
SMLS3,15/04/2020,13.30,14.71,13.16,14.53,SMILES
SMLS3,16/04/2020,14.80,15.15,14.11,14.11,SMILES
SMLS3,17/04/2020,14.55,14.88,13.85,14.20,SMILES
SMLS3,20/04/2020,14.15,14.73,13.75,14.03,SMILES
SMLS3,22/04/2020,14.05,15.39,14.03,14.98,SMILES
SMLS3,23/04/2020,15.30,15.60,14.28,14.52,SMILES
SMLS3,24/04/2020,14.34,14.34,12.25,13.95,SMILES
SMLS3,27/04/2020,13.75,14.23,13.11,13.90,SMILES
SMLS3,28/04/2020,14.32,15.94,14.11,15.70,SMILES
SMLS3,29/04/2020,16.32,16.67,15.40,15.67,SMILES
SMLS3,30/04/2020,15.25,15.25,13.73,14.28,SMILES
SMLS3,04/05/2020,13.52,14.15,13.32,13.64,SMILES
SMLS3,05/05/2020,14.02,14.27,13.36,13.38,SMILES
SMLS3,06/05/2020,13.43,13.83,13.20,13.20,SMILES
SMLS3,07/05/2020,13.45,13.45,12.11,12.29,SMILES
SMLS3,08/05/2020,12.51,12.64,11.91,12.17,SMILES
SMLS3,11/05/2020,12.00,12.05,11.34,11.56,SMILES
SMLS3,12/05/2020,11.60,11.87,11.12,11.12,SMILES
SMLS3,13/05/2020,11.17,11.36,10.61,10.67,SMILES
SMLS3,14/05/2020,10.49,11.09,10.15,10.92,SMILES
SMLS3,15/05/2020,10.78,12.21,10.72,12.03,SMILES
SMLS3,18/05/2020,12.50,12.84,12.06,12.66,SMILES
SMLS3,19/05/2020,12.60,12.87,12.02,12.17,SMILES
SMLS3,20/05/2020,12.28,13.49,12.05,12.68,SMILES
SMLS3,21/05/2020,12.68,13.18,12.27,12.27,SMILES
SMLS3,22/05/2020,12.18,12.60,11.81,12.37,SMILES
SMLS3,25/05/2020,12.88,13.12,12.61,12.70,SMILES
SMLS3,26/05/2020,12.92,13.38,12.25,12.42,SMILES
SMLS3,27/05/2020,12.61,12.90,12.37,12.85,SMILES
SMLS3,28/05/2020,12.85,13.04,12.42,12.53,SMILES
SMLS3,29/05/2020,12.53,12.53,11.95,12.08,SMILES
SMLS3,01/06/2020,12.18,13.49,12.10,13.38,SMILES
SMLS3,02/06/2020,13.55,15.14,13.55,15.01,SMILES
SMLS3,03/06/2020,15.75,17.45,15.74,16.93,SMILES
SMLS3,04/06/2020,17.05,17.35,16.26,16.89,SMILES
SMLS3,05/06/2020,17.81,18.33,17.16,17.64,SMILES
SMLS3,08/06/2020,18.53,19.98,18.44,19.48,SMILES
SMLS3,09/06/2020,18.98,20.04,18.07,19.45,SMILES
SMLS3,10/06/2020,20.00,20.23,17.60,17.60,SMILES
SMLS3,12/06/2020,16.30,17.23,16.10,17.23,SMILES
SMLS3,15/06/2020,16.30,17.07,15.31,16.85,SMILES
