Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SMTO3,02/01/2020,23.72,24.21,23.72,24.00,SAO MARTINHO
SMTO3,03/01/2020,23.80,24.39,23.52,24.34,SAO MARTINHO
SMTO3,06/01/2020,24.35,25.34,24.01,25.10,SAO MARTINHO
SMTO3,07/01/2020,25.26,25.27,24.85,24.90,SAO MARTINHO
SMTO3,08/01/2020,24.93,25.00,24.37,24.70,SAO MARTINHO
SMTO3,09/01/2020,24.89,24.96,24.47,24.79,SAO MARTINHO
SMTO3,10/01/2020,24.98,25.41,24.77,25.01,SAO MARTINHO
SMTO3,13/01/2020,25.11,25.57,25.02,25.23,SAO MARTINHO
SMTO3,14/01/2020,25.26,26.15,25.26,26.02,SAO MARTINHO
SMTO3,15/01/2020,25.89,26.05,25.51,25.51,SAO MARTINHO
SMTO3,16/01/2020,25.73,26.07,25.55,25.55,SAO MARTINHO
SMTO3,17/01/2020,25.63,26.27,25.63,26.27,SAO MARTINHO
SMTO3,20/01/2020,26.19,26.39,25.80,26.15,SAO MARTINHO
SMTO3,21/01/2020,26.14,26.85,25.99,26.85,SAO MARTINHO
SMTO3,22/01/2020,27.00,27.12,26.38,27.01,SAO MARTINHO
SMTO3,23/01/2020,26.98,26.98,26.55,26.89,SAO MARTINHO
SMTO3,24/01/2020,27.00,27.00,26.57,26.70,SAO MARTINHO
SMTO3,27/01/2020,26.71,26.74,25.81,25.81,SAO MARTINHO
SMTO3,28/01/2020,25.81,26.26,25.81,26.11,SAO MARTINHO
SMTO3,29/01/2020,26.13,26.32,25.61,25.61,SAO MARTINHO
SMTO3,30/01/2020,25.40,25.41,24.94,25.25,SAO MARTINHO
SMTO3,31/01/2020,25.24,25.45,24.84,25.07,SAO MARTINHO
SMTO3,03/02/2020,25.06,25.47,25.04,25.04,SAO MARTINHO
SMTO3,04/02/2020,25.32,25.88,25.32,25.63,SAO MARTINHO
SMTO3,05/02/2020,25.71,26.35,25.70,25.73,SAO MARTINHO
SMTO3,06/02/2020,25.80,26.53,25.80,26.14,SAO MARTINHO
SMTO3,07/02/2020,25.98,26.49,25.59,25.89,SAO MARTINHO
