Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
STBP3,02/01/2020,8.19,8.27,8.14,8.27,SANTOS BRP
STBP3,03/01/2020,8.25,8.44,8.10,8.44,SANTOS BRP
STBP3,06/01/2020,8.52,8.66,8.27,8.33,SANTOS BRP
STBP3,07/01/2020,8.38,8.39,8.17,8.33,SANTOS BRP
STBP3,08/01/2020,8.33,8.33,7.97,8.19,SANTOS BRP
STBP3,09/01/2020,8.21,8.27,8.08,8.20,SANTOS BRP
STBP3,10/01/2020,8.19,8.33,8.13,8.26,SANTOS BRP
STBP3,13/01/2020,8.28,8.45,8.21,8.45,SANTOS BRP
STBP3,14/01/2020,8.45,8.45,8.29,8.37,SANTOS BRP
STBP3,15/01/2020,8.40,8.49,8.27,8.29,SANTOS BRP
STBP3,16/01/2020,8.20,8.24,8.06,8.12,SANTOS BRP
STBP3,17/01/2020,8.12,8.17,7.91,8.03,SANTOS BRP
STBP3,20/01/2020,7.96,8.23,7.94,8.23,SANTOS BRP
STBP3,21/01/2020,8.24,8.33,8.14,8.18,SANTOS BRP
STBP3,22/01/2020,8.20,8.28,8.02,8.12,SANTOS BRP
STBP3,23/01/2020,8.12,8.31,7.97,8.31,SANTOS BRP
STBP3,24/01/2020,8.32,8.34,8.13,8.20,SANTOS BRP
STBP3,27/01/2020,8.01,8.01,7.72,7.86,SANTOS BRP
STBP3,28/01/2020,7.88,8.04,7.72,7.94,SANTOS BRP
STBP3,29/01/2020,7.93,7.98,7.79,7.88,SANTOS BRP
STBP3,30/01/2020,7.78,7.78,7.46,7.73,SANTOS BRP
STBP3,31/01/2020,7.68,7.69,7.52,7.52,SANTOS BRP
STBP3,03/02/2020,7.52,7.77,7.36,7.69,SANTOS BRP
STBP3,04/02/2020,7.77,7.88,7.75,7.75,SANTOS BRP
STBP3,05/02/2020,7.82,7.84,7.55,7.60,SANTOS BRP
STBP3,06/02/2020,7.63,7.68,7.35,7.35,SANTOS BRP
STBP3,07/02/2020,7.32,7.33,7.11,7.20,SANTOS BRP
STBP3,10/02/2020,7.13,7.26,6.79,6.79,SANTOS BRP
STBP3,11/02/2020,6.85,7.03,6.77,6.89,SANTOS BRP
STBP3,12/02/2020,6.95,6.99,6.55,6.60,SANTOS BRP
STBP3,13/02/2020,6.46,6.59,6.36,6.50,SANTOS BRP
STBP3,14/02/2020,6.55,6.67,6.43,6.52,SANTOS BRP
STBP3,17/02/2020,6.60,6.61,6.40,6.61,SANTOS BRP
STBP3,18/02/2020,6.52,6.55,6.45,6.50,SANTOS BRP
STBP3,19/02/2020,6.51,7.14,6.45,7.05,SANTOS BRP
STBP3,20/02/2020,7.05,7.17,6.82,6.95,SANTOS BRP
