Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SULA11,02/01/2020,60.06,63.71,59.07,62.33,SUL AMERICA
SULA11,03/01/2020,61.00,64.85,60.81,64.85,SUL AMERICA
SULA11,06/01/2020,63.62,64.92,63.32,64.41,SUL AMERICA
SULA11,07/01/2020,64.35,64.35,62.68,63.55,SUL AMERICA
SULA11,08/01/2020,63.80,64.16,62.39,63.33,SUL AMERICA
SULA11,09/01/2020,63.49,65.07,62.51,64.92,SUL AMERICA
SULA11,10/01/2020,64.99,65.18,63.76,64.32,SUL AMERICA
SULA11,13/01/2020,64.17,64.32,62.48,62.86,SUL AMERICA
SULA11,14/01/2020,62.91,64.39,62.35,64.39,SUL AMERICA
SULA11,15/01/2020,64.00,64.65,63.30,63.30,SUL AMERICA
SULA11,16/01/2020,64.00,64.19,62.98,64.14,SUL AMERICA
SULA11,17/01/2020,64.40,65.00,63.82,65.00,SUL AMERICA
SULA11,20/01/2020,65.31,67.28,65.31,66.59,SUL AMERICA
SULA11,21/01/2020,66.60,67.88,65.74,66.20,SUL AMERICA
SULA11,22/01/2020,66.80,67.40,66.25,66.99,SUL AMERICA
SULA11,23/01/2020,66.33,67.34,65.35,67.15,SUL AMERICA
SULA11,24/01/2020,67.42,67.42,65.88,66.78,SUL AMERICA
SULA11,27/01/2020,65.50,65.52,62.78,63.00,SUL AMERICA
SULA11,28/01/2020,63.56,64.84,63.21,64.47,SUL AMERICA
SULA11,29/01/2020,64.83,65.02,63.37,64.18,SUL AMERICA
SULA11,30/01/2020,63.69,64.00,61.23,63.33,SUL AMERICA
SULA11,31/01/2020,62.05,63.67,61.84,63.00,SUL AMERICA
SULA11,03/02/2020,63.51,63.58,62.34,62.47,SUL AMERICA
SULA11,04/02/2020,63.01,63.19,61.52,62.30,SUL AMERICA
SULA11,05/02/2020,63.20,63.20,61.91,62.29,SUL AMERICA
SULA11,06/02/2020,62.56,63.06,61.51,61.80,SUL AMERICA
SULA11,07/02/2020,61.34,61.83,59.91,60.86,SUL AMERICA
SULA11,10/02/2020,60.95,60.95,57.28,59.50,SUL AMERICA
SULA11,11/02/2020,59.50,61.57,58.64,61.00,SUL AMERICA
SULA11,12/02/2020,61.10,62.19,60.10,62.19,SUL AMERICA
SULA11,13/02/2020,60.90,62.15,60.83,61.63,SUL AMERICA
SULA11,14/02/2020,61.19,61.63,60.67,61.19,SUL AMERICA
SULA11,17/02/2020,61.36,61.86,60.15,60.15,SUL AMERICA
SULA11,18/02/2020,60.00,60.96,58.84,60.94,SUL AMERICA
SULA11,19/02/2020,61.17,62.47,60.16,62.47,SUL AMERICA
SULA11,20/02/2020,62.20,62.64,60.00,60.00,SUL AMERICA
SULA11,21/02/2020,60.95,61.00,58.00,60.00,SUL AMERICA
SULA11,26/02/2020,56.01,57.44,55.15,55.57,SUL AMERICA
SULA11,27/02/2020,53.01,55.11,51.36,53.59,SUL AMERICA
SULA11,28/02/2020,53.38,54.23,52.05,54.06,SUL AMERICA
SULA11,02/03/2020,54.10,55.19,52.20,53.09,SUL AMERICA
SULA11,03/03/2020,52.50,54.30,51.30,52.40,SUL AMERICA
SULA11,04/03/2020,53.16,53.52,51.86,52.41,SUL AMERICA
SULA11,05/03/2020,52.00,52.86,49.53,50.29,SUL AMERICA
SULA11,06/03/2020,48.20,49.33,46.99,49.00,SUL AMERICA
SULA11,09/03/2020,47.00,47.00,42.01,42.01,SUL AMERICA
SULA11,10/03/2020,43.00,46.50,42.53,45.64,SUL AMERICA
SULA11,11/03/2020,43.80,44.74,36.52,42.46,SUL AMERICA
SULA11,12/03/2020,30.00,36.99,29.95,36.99,SUL AMERICA
SULA11,13/03/2020,41.41,41.44,34.53,38.51,SUL AMERICA
SULA11,16/03/2020,32.78,32.97,30.37,31.75,SUL AMERICA
SULA11,17/03/2020,32.68,33.03,30.50,30.58,SUL AMERICA
SULA11,18/03/2020,28.00,28.63,23.08,26.50,SUL AMERICA
SULA11,19/03/2020,25.00,29.93,23.33,28.70,SUL AMERICA
SULA11,20/03/2020,29.15,32.71,29.15,30.26,SUL AMERICA
SULA11,23/03/2020,31.11,31.94,28.09,29.12,SUL AMERICA
SULA11,24/03/2020,30.70,33.99,30.70,32.61,SUL AMERICA
SULA11,25/03/2020,32.32,37.25,31.27,35.96,SUL AMERICA
SULA11,26/03/2020,35.22,39.30,35.22,38.49,SUL AMERICA
SULA11,27/03/2020,36.00,37.60,35.63,36.00,SUL AMERICA
SULA11,30/03/2020,36.32,37.42,35.16,35.90,SUL AMERICA
SULA11,31/03/2020,35.68,35.96,33.67,33.80,SUL AMERICA
SULA11,01/04/2020,32.80,34.56,31.98,34.34,SUL AMERICA
SULA11,02/04/2020,33.94,36.06,33.56,35.55,SUL AMERICA
SULA11,03/04/2020,35.37,36.06,33.12,34.31,SUL AMERICA
SULA11,06/04/2020,35.21,38.61,35.21,38.57,SUL AMERICA
SULA11,07/04/2020,41.50,44.44,39.43,39.72,SUL AMERICA
SULA11,08/04/2020,39.92,42.29,39.09,40.75,SUL AMERICA
SULA11,09/04/2020,41.50,41.82,39.30,39.30,SUL AMERICA
SULA11,13/04/2020,39.26,41.58,38.59,40.75,SUL AMERICA
SULA11,14/04/2020,41.51,45.28,41.36,44.28,SUL AMERICA
SULA11,15/04/2020,43.36,44.50,42.66,43.41,SUL AMERICA
SULA11,16/04/2020,43.51,44.79,42.35,42.35,SUL AMERICA
SULA11,17/04/2020,43.06,44.15,42.62,43.45,SUL AMERICA
SULA11,20/04/2020,42.51,46.32,42.26,45.80,SUL AMERICA
SULA11,22/04/2020,45.80,47.79,45.20,47.60,SUL AMERICA
SULA11,23/04/2020,47.44,48.60,44.00,45.40,SUL AMERICA
SULA11,24/04/2020,44.00,44.72,40.42,44.29,SUL AMERICA
SULA11,27/04/2020,44.63,45.62,43.24,44.86,SUL AMERICA
SULA11,28/04/2020,45.26,46.87,44.66,46.87,SUL AMERICA
SULA11,29/04/2020,47.00,48.13,45.81,47.64,SUL AMERICA
SULA11,30/04/2020,46.75,47.20,44.67,44.75,SUL AMERICA
SULA11,04/05/2020,42.80,44.05,41.90,42.90,SUL AMERICA
SULA11,05/05/2020,43.38,44.78,42.84,43.98,SUL AMERICA
SULA11,06/05/2020,44.15,45.34,42.61,44.64,SUL AMERICA
SULA11,07/05/2020,45.01,45.04,42.87,44.08,SUL AMERICA
SULA11,08/05/2020,44.99,45.02,43.41,43.41,SUL AMERICA
SULA11,11/05/2020,43.30,43.50,41.85,41.85,SUL AMERICA
SULA11,12/05/2020,41.90,43.13,40.68,40.68,SUL AMERICA
SULA11,13/05/2020,40.95,41.85,40.00,40.68,SUL AMERICA
SULA11,14/05/2020,37.99,38.50,35.14,37.87,SUL AMERICA
SULA11,15/05/2020,37.00,37.75,35.58,36.95,SUL AMERICA
SULA11,18/05/2020,38.00,39.73,37.30,39.00,SUL AMERICA
SULA11,19/05/2020,38.99,40.76,38.72,39.98,SUL AMERICA
SULA11,20/05/2020,40.04,41.23,39.76,40.66,SUL AMERICA
SULA11,21/05/2020,40.47,43.15,40.47,42.67,SUL AMERICA
SULA11,22/05/2020,42.79,42.93,41.08,41.25,SUL AMERICA
SULA11,25/05/2020,42.45,44.50,42.12,43.30,SUL AMERICA
SULA11,26/05/2020,44.04,44.84,43.04,44.09,SUL AMERICA
SULA11,27/05/2020,43.74,45.60,43.33,44.01,SUL AMERICA
SULA11,28/05/2020,43.68,45.10,43.09,43.99,SUL AMERICA
SULA11,29/05/2020,43.41,44.85,42.87,44.85,SUL AMERICA
SULA11,01/06/2020,45.00,46.47,44.97,45.61,SUL AMERICA
SULA11,02/06/2020,46.19,46.90,45.55,46.00,SUL AMERICA
SULA11,03/06/2020,45.93,47.54,44.87,47.54,SUL AMERICA
SULA11,04/06/2020,47.22,48.05,46.35,46.80,SUL AMERICA
SULA11,05/06/2020,48.00,48.76,45.67,46.10,SUL AMERICA
SULA11,08/06/2020,47.55,47.80,45.87,46.30,SUL AMERICA
SULA11,09/06/2020,45.67,46.08,44.60,45.82,SUL AMERICA
SULA11,10/06/2020,46.39,47.23,44.51,45.07,SUL AMERICA
SULA11,12/06/2020,43.42,45.16,43.14,44.76,SUL AMERICA
SULA11,15/06/2020,43.39,44.84,43.31,43.55,SUL AMERICA
SULA11,16/06/2020,44.16,45.19,41.90,42.16,SUL AMERICA
SULA11,17/06/2020,42.58,43.06,41.41,42.00,SUL AMERICA
SULA11,18/06/2020,41.69,44.16,41.41,43.74,SUL AMERICA
SULA11,19/06/2020,44.60,46.67,44.51,45.06,SUL AMERICA
SULA11,22/06/2020,45.49,46.64,44.09,44.63,SUL AMERICA
SULA11,23/06/2020,45.12,46.65,44.36,44.60,SUL AMERICA
SULA11,24/06/2020,44.45,45.42,42.71,44.26,SUL AMERICA
SULA11,25/06/2020,44.25,46.66,43.82,46.47,SUL AMERICA
